index,RunID, LON, LAT,tag,Coord_ID,county,YIELD,land cover
1,5,-98.7698,29.2377,-98.7698.29.2377,5,ATASCOSA,7.0518,52
2,8,-98.7798,29.2277,-98.7798.29.2277,8,ATASCOSA,10.5398,82
3,12,-98.7398,29.2277,-98.7398.29.2277,12,ATASCOSA,11.165,81
4,13,-98.7998,29.2177,-98.7998.29.2177,13,ATASCOSA,10.3904,52
5,14,-98.7898,29.2177,-98.7898.29.2177,14,ATASCOSA,10.082,82
6,15,-98.7798,29.2177,-98.7798.29.2177,15,ATASCOSA,10.1876,81
7,16,-98.7698,29.2177,-98.7698.29.2177,16,ATASCOSA,10.082,82
8,17,-98.7598,29.2177,-98.7598.29.2177,17,ATASCOSA,10.5396,82
9,18,-98.7498,29.2177,-98.7498.29.2177,18,ATASCOSA,11.2834,82
10,19,-98.7398,29.2177,-98.7398.29.2177,19,ATASCOSA,11.1648,52
11,20,-98.7298,29.2177,-98.7298.29.2177,20,ATASCOSA,10.713,52
12,24,-98.7898,29.2077,-98.7898.29.2077,24,ATASCOSA,10.3164,52
13,25,-98.7798,29.2077,-98.7798.29.2077,25,ATASCOSA,10.3902,90
14,26,-98.7698,29.2077,-98.7698.29.2077,26,ATASCOSA,10.1876,90
15,27,-98.7598,29.2077,-98.7598.29.2077,27,ATASCOSA,10.5394,82
16,28,-98.7498,29.2077,-98.7498.29.2077,28,ATASCOSA,11.2834,82
17,29,-98.7398,29.2077,-98.7398.29.2077,29,ATASCOSA,10.7626,82
18,30,-98.7298,29.2077,-98.7298.29.2077,30,ATASCOSA,11.1648,82
19,31,-98.7198,29.2077,-98.7198.29.2077,31,ATASCOSA,11.1338,52
20,33,-98.6998,29.2077,-98.6998.29.2077,33,ATASCOSA,11.4344,52
21,34,-98.6898,29.2077,-98.6898.29.2077,34,ATASCOSA,11.2558,81
22,35,-98.6798,29.2077,-98.6798.29.2077,35,ATASCOSA,11.276,81
23,36,-98.7998,29.1977,-98.7998.29.1977,36,ATASCOSA,10.1878,52
24,37,-98.7898,29.1977,-98.7898.29.1977,37,ATASCOSA,10.39,82
25,38,-98.7798,29.1977,-98.7798.29.1977,38,ATASCOSA,10.5394,82
26,39,-98.7698,29.1977,-98.7698.29.1977,39,ATASCOSA,10.5394,81
27,40,-98.7598,29.1977,-98.7598.29.1977,40,ATASCOSA,10.1878,82
28,41,-98.7498,29.1977,-98.7498.29.1977,41,ATASCOSA,11.2834,81
29,42,-98.7398,29.1977,-98.7398.29.1977,42,ATASCOSA,11.1646,81
30,43,-98.7298,29.1977,-98.7298.29.1977,43,ATASCOSA,11.1646,52
31,44,-98.7198,29.1977,-98.7198.29.1977,44,ATASCOSA,11.2558,81
32,45,-98.7098,29.1977,-98.7098.29.1977,45,ATASCOSA,10.7626,90
33,46,-98.6998,29.1977,-98.6998.29.1977,46,ATASCOSA,11.3252,52
34,49,-98.6698,29.1977,-98.6698.29.1977,49,ATASCOSA,11.1646,52
35,50,-98.6598,29.1977,-98.6598.29.1977,50,ATASCOSA,10.939,52
36,51,-98.6498,29.1977,-98.6498.29.1977,51,ATASCOSA,10.939,81
37,52,-98.7998,29.1877,-98.7998.29.1877,52,ATASCOSA,10.6158,81
38,53,-98.7898,29.1877,-98.7898.29.1877,53,ATASCOSA,10.1878,71
39,54,-98.7798,29.1877,-98.7798.29.1877,54,ATASCOSA,10.5394,52
40,55,-98.7698,29.1877,-98.7698.29.1877,55,ATASCOSA,10.6974,82
41,56,-98.7598,29.1877,-98.7598.29.1877,56,ATASCOSA,10.5394,81
42,57,-98.7498,29.1877,-98.7498.29.1877,57,ATASCOSA,11.3828,81
43,58,-98.7398,29.1877,-98.7398.29.1877,58,ATASCOSA,11.3828,52
44,59,-98.7298,29.1877,-98.7298.29.1877,59,ATASCOSA,11.2556,52
45,61,-98.7098,29.1877,-98.7098.29.1877,61,ATASCOSA,11.4344,52
46,65,-98.6698,29.1877,-98.6698.29.1877,65,ATASCOSA,10.939,82
47,66,-98.6598,29.1877,-98.6598.29.1877,66,ATASCOSA,11.0572,81
48,69,-98.6298,29.1877,-98.6298.29.1877,69,ATASCOSA,11.2248,81
49,70,-98.7998,29.1777,-98.7998.29.1777,70,ATASCOSA,10.837,81
50,71,-98.7898,29.1777,-98.7898.29.1777,71,ATASCOSA,10.837,52
51,72,-98.7798,29.1777,-98.7798.29.1777,72,ATASCOSA,10.837,52
52,74,-98.7598,29.1777,-98.7598.29.1777,74,ATASCOSA,10.6156,81
53,75,-98.7498,29.1777,-98.7498.29.1777,75,ATASCOSA,11.3828,81
54,76,-98.7398,29.1777,-98.7398.29.1777,76,ATASCOSA,11.3828,81
55,77,-98.7298,29.1777,-98.7298.29.1777,77,ATASCOSA,11.4344,52
56,86,-98.6398,29.1777,-98.6398.29.1777,86,ATASCOSA,11.2248,71
57,88,-98.6198,29.1777,-98.6198.29.1777,88,ATASCOSA,11.4678,52
58,91,-98.7998,29.1677,-98.7998.29.1677,91,ATASCOSA,10.8368,81
59,92,-98.7898,29.1677,-98.7898.29.1677,92,ATASCOSA,10.8368,82
60,93,-98.7798,29.1677,-98.7798.29.1677,93,ATASCOSA,10.8368,52
61,94,-98.7698,29.1677,-98.7698.29.1677,94,ATASCOSA,10.8368,52
62,95,-98.7598,29.1677,-98.7598.29.1677,95,ATASCOSA,10.6152,81
63,96,-98.7498,29.1677,-98.7498.29.1677,96,ATASCOSA,11.5366,81
64,107,-98.6398,29.1677,-98.6398.29.1677,107,ATASCOSA,11.2246,52
65,108,-98.6298,29.1677,-98.6298.29.1677,108,ATASCOSA,11.2246,71
66,110,-98.6098,29.1677,-98.6098.29.1677,110,ATASCOSA,11.4678,52
67,111,-98.5998,29.1677,-98.5998.29.1677,111,ATASCOSA,11.4678,81
68,112,-98.5898,29.1677,-98.5898.29.1677,112,ATASCOSA,11.4678,52
69,113,-98.5798,29.1677,-98.5798.29.1677,113,ATASCOSA,11.4678,52
70,114,-98.5698,29.1677,-98.5698.29.1677,114,ATASCOSA,11.4678,31
71,115,-98.7998,29.1577,-98.7998.29.1577,115,ATASCOSA,10.8368,81
72,118,-98.7698,29.1577,-98.7698.29.1577,118,ATASCOSA,10.8368,52
73,119,-98.7598,29.1577,-98.7598.29.1577,119,ATASCOSA,10.6152,81
74,120,-98.7498,29.1577,-98.7498.29.1577,120,ATASCOSA,11.3824,90
75,121,-98.7398,29.1577,-98.7398.29.1577,121,ATASCOSA,11.5366,52
76,122,-98.7298,29.1577,-98.7298.29.1577,122,ATASCOSA,11.4338,81
77,124,-98.7098,29.1577,-98.7098.29.1577,124,ATASCOSA,11.4338,52
