index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,Distance to Plant
1,5,-98.7698,29.2377,-98.7698.29.2377,5,7.4264,52,ATASCOSA,50.7105
2,8,-98.7798,29.2277,-98.7798.29.2277,8,10.9616,82,ATASCOSA,52.8821
3,12,-98.7398,29.2277,-98.7398.29.2277,12,11.5022,81,ATASCOSA,50.7265
4,13,-98.7998,29.2177,-98.7998.29.2177,13,10.927,52,ATASCOSA,53.9648
5,14,-98.7898,29.2177,-98.7898.29.2177,14,10.559,82,ATASCOSA,54.0813
6,15,-98.7798,29.2177,-98.7798.29.2177,15,10.563,81,ATASCOSA,58.4046
7,16,-98.7698,29.2177,-98.7698.29.2177,16,10.559,82,ATASCOSA,58.0054
8,17,-98.7598,29.2177,-98.7598.29.2177,17,10.9614,82,ATASCOSA,52.2536
9,18,-98.7498,29.2177,-98.7498.29.2177,18,11.6152,82,ATASCOSA,51.2085
10,19,-98.7398,29.2177,-98.7398.29.2177,19,11.5018,52,ATASCOSA,52.3926
11,20,-98.7298,29.2177,-98.7298.29.2177,20,11.0864,52,ATASCOSA,53.3776
12,24,-98.7898,29.2077,-98.7898.29.2077,24,10.8184,52,ATASCOSA,55.2021
13,25,-98.7798,29.2077,-98.7798.29.2077,25,10.9264,90,ATASCOSA,56.1368
14,26,-98.7698,29.2077,-98.7698.29.2077,26,10.5628,90,ATASCOSA,57.0563
15,27,-98.7598,29.2077,-98.7598.29.2077,27,10.9606,82,ATASCOSA,54.0822
16,28,-98.7498,29.2077,-98.7498.29.2077,28,11.6142,82,ATASCOSA,52.853
17,29,-98.7398,29.2077,-98.7398.29.2077,29,11.047,82,ATASCOSA,54.6291
18,30,-98.7298,29.2077,-98.7298.29.2077,30,11.503,82,ATASCOSA,54.5542
19,31,-98.7198,29.2077,-98.7198.29.2077,31,11.4438,52,ATASCOSA,54.9794
20,33,-98.6998,29.2077,-98.6998.29.2077,33,11.8434,52,ATASCOSA,51.0845
21,34,-98.6898,29.2077,-98.6898.29.2077,34,11.4868,81,ATASCOSA,51.4056
22,35,-98.6798,29.2077,-98.6798.29.2077,35,11.5128,81,ATASCOSA,49.779
23,36,-98.7998,29.1977,-98.7998.29.1977,36,10.5628,52,ATASCOSA,56.5953
24,37,-98.7898,29.1977,-98.7898.29.1977,37,10.9262,82,ATASCOSA,56.7224
25,38,-98.7798,29.1977,-98.7798.29.1977,38,10.9596,82,ATASCOSA,57.2106
26,39,-98.7698,29.1977,-98.7698.29.1977,39,10.9596,81,ATASCOSA,57.8817
27,40,-98.7598,29.1977,-98.7598.29.1977,40,10.5628,82,ATASCOSA,55.1433
28,41,-98.7498,29.1977,-98.7498.29.1977,41,11.6128,81,ATASCOSA,54.06
29,42,-98.7398,29.1977,-98.7398.29.1977,42,11.503,81,ATASCOSA,55.8432
30,43,-98.7298,29.1977,-98.7298.29.1977,43,11.503,52,ATASCOSA,56.0572
31,44,-98.7198,29.1977,-98.7198.29.1977,44,11.4868,81,ATASCOSA,56.5452
32,45,-98.7098,29.1977,-98.7098.29.1977,45,11.0466,90,ATASCOSA,54.293
33,46,-98.6998,29.1977,-98.6998.29.1977,46,11.824,52,ATASCOSA,53.4881
34,49,-98.6698,29.1977,-98.6698.29.1977,49,11.503,52,ATASCOSA,48.9382
35,50,-98.6598,29.1977,-98.6598.29.1977,50,11.3406,52,ATASCOSA,49.6238
36,51,-98.6498,29.1977,-98.6498.29.1977,51,11.3406,81,ATASCOSA,47.2524
37,52,-98.7998,29.1877,-98.7998.29.1877,52,11.0126,81,ATASCOSA,57.4567
38,53,-98.7898,29.1877,-98.7898.29.1877,53,10.563,71,ATASCOSA,57.8776
39,54,-98.7798,29.1877,-98.7798.29.1877,54,10.9592,52,ATASCOSA,58.4798
40,55,-98.7698,29.1877,-98.7698.29.1877,55,11.378,82,ATASCOSA,59.0006
41,56,-98.7598,29.1877,-98.7598.29.1877,56,10.9592,81,ATASCOSA,60.0358
42,57,-98.7498,29.1877,-98.7498.29.1877,57,11.6058,81,ATASCOSA,55.8758
43,58,-98.7398,29.1877,-98.7398.29.1877,58,11.6058,52,ATASCOSA,57.458
44,59,-98.7298,29.1877,-98.7298.29.1877,59,11.487,52,ATASCOSA,57.5477
45,61,-98.7098,29.1877,-98.7098.29.1877,61,11.8432,52,ATASCOSA,54.9096
46,65,-98.6698,29.1877,-98.6698.29.1877,65,11.3408,82,ATASCOSA,50.2784
47,66,-98.6598,29.1877,-98.6598.29.1877,66,11.3388,81,ATASCOSA,50.7362
48,69,-98.6298,29.1877,-98.6298.29.1877,69,11.6528,81,ATASCOSA,45.7271
49,70,-98.7998,29.1777,-98.7998.29.1777,70,11.3162,81,ATASCOSA,59.048
50,71,-98.7898,29.1777,-98.7898.29.1777,71,11.3162,52,ATASCOSA,58.0281
51,72,-98.7798,29.1777,-98.7798.29.1777,72,11.3162,52,ATASCOSA,59.6077
52,74,-98.7598,29.1777,-98.7598.29.1777,74,11.0124,81,ATASCOSA,60.3732
53,75,-98.7498,29.1777,-98.7498.29.1777,75,11.6056,81,ATASCOSA,57.2233
54,76,-98.7398,29.1777,-98.7398.29.1777,76,11.6056,81,ATASCOSA,58.6336
55,77,-98.7298,29.1777,-98.7298.29.1777,77,11.8432,52,ATASCOSA,58.4231
56,86,-98.6398,29.1777,-98.6398.29.1777,86,11.6526,71,ATASCOSA,48.6662
57,88,-98.6198,29.1777,-98.6198.29.1777,88,11.9444,52,ATASCOSA,50.3076
58,91,-98.7998,29.1677,-98.7998.29.1677,91,11.316,81,ATASCOSA,59.2342
59,92,-98.7898,29.1677,-98.7898.29.1677,92,11.316,82,ATASCOSA,58.0281
60,93,-98.7798,29.1677,-98.7798.29.1677,93,11.316,52,ATASCOSA,60.2408
61,94,-98.7698,29.1677,-98.7698.29.1677,94,11.316,52,ATASCOSA,60.2408
62,95,-98.7598,29.1677,-98.7598.29.1677,95,11.0124,81,ATASCOSA,58.8227
63,96,-98.7498,29.1677,-98.7498.29.1677,96,11.9512,81,ATASCOSA,58.4402
64,107,-98.6398,29.1677,-98.6398.29.1677,107,11.6528,52,ATASCOSA,49.9174
65,108,-98.6298,29.1677,-98.6298.29.1677,108,11.6528,71,ATASCOSA,50.0561
