index,RunID, LON, LAT,tag,Coord_ID,YIELD ,land cover,county,
1,5,-98.7698,29.2377,-98.7698.29.2377,5,7.873,52,ATASCOSA,1
2,8,-98.7798,29.2277,-98.7798.29.2277,8,11.4308,82,ATASCOSA,1
3,12,-98.7398,29.2277,-98.7398.29.2277,12,11.9742,81,ATASCOSA,1
4,13,-98.7998,29.2177,-98.7998.29.2177,13,11.3604,52,ATASCOSA,1
5,14,-98.7898,29.2177,-98.7898.29.2177,14,10.9334,82,ATASCOSA,1
6,15,-98.7798,29.2177,-98.7798.29.2177,15,11.0312,81,ATASCOSA,1
7,16,-98.7698,29.2177,-98.7698.29.2177,16,10.9334,82,ATASCOSA,1
8,17,-98.7598,29.2177,-98.7598.29.2177,17,11.4308,82,ATASCOSA,1
9,18,-98.7498,29.2177,-98.7498.29.2177,18,12.1272,82,ATASCOSA,1
10,19,-98.7398,29.2177,-98.7398.29.2177,19,11.9742,52,ATASCOSA,1
11,20,-98.7298,29.2177,-98.7298.29.2177,20,11.426,52,ATASCOSA,1
12,24,-98.7898,29.2077,-98.7898.29.2077,24,11.193,52,ATASCOSA,1
13,25,-98.7798,29.2077,-98.7798.29.2077,25,11.3602,90,ATASCOSA,1
14,26,-98.7698,29.2077,-98.7698.29.2077,26,11.031,90,ATASCOSA,1
15,27,-98.7598,29.2077,-98.7598.29.2077,27,11.4308,82,ATASCOSA,1
16,28,-98.7498,29.2077,-98.7498.29.2077,28,12.1266,82,ATASCOSA,1
17,29,-98.7398,29.2077,-98.7398.29.2077,29,11.5784,82,ATASCOSA,1
18,30,-98.7298,29.2077,-98.7298.29.2077,30,11.974,82,ATASCOSA,1
19,31,-98.7198,29.2077,-98.7198.29.2077,31,11.8628,52,ATASCOSA,1
20,33,-98.6998,29.2077,-98.6998.29.2077,33,12.254,52,ATASCOSA,1
21,34,-98.6898,29.2077,-98.6898.29.2077,34,12.05,81,ATASCOSA,1
22,35,-98.6798,29.2077,-98.6798.29.2077,35,11.9882,81,ATASCOSA,1
23,36,-98.7998,29.1977,-98.7998.29.1977,36,11.0308,52,ATASCOSA,1
