Index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,check,check T3
1,5,-98.7698,29.2377,-98.7698.29.2377,5,8.0662,52,ATASCOSA,1,1
2,8,-98.7798,29.2277,-98.7798.29.2277,8,11.6554,82,ATASCOSA,1,1
3,12,-98.7398,29.2277,-98.7398.29.2277,12,12.4718,81,ATASCOSA,1,1
4,13,-98.7998,29.2177,-98.7998.29.2177,13,11.6168,52,ATASCOSA,1,1
5,14,-98.7898,29.2177,-98.7898.29.2177,14,11.2734,82,ATASCOSA,1,1
6,15,-98.7798,29.2177,-98.7798.29.2177,15,11.3614,81,ATASCOSA,1,1
7,16,-98.7698,29.2177,-98.7698.29.2177,16,11.2734,82,ATASCOSA,1,1
8,17,-98.7598,29.2177,-98.7598.29.2177,17,11.6552,82,ATASCOSA,1,1
9,18,-98.7498,29.2177,-98.7498.29.2177,18,12.5818,82,ATASCOSA,1,1
10,19,-98.7398,29.2177,-98.7398.29.2177,19,12.4718,52,ATASCOSA,1,1
11,20,-98.7298,29.2177,-98.7298.29.2177,20,12.1042,52,ATASCOSA,1,1
12,24,-98.7898,29.2077,-98.7898.29.2077,24,11.4706,52,ATASCOSA,1,1
13,25,-98.7798,29.2077,-98.7798.29.2077,25,11.6168,90,ATASCOSA,1,1
14,26,-98.7698,29.2077,-98.7698.29.2077,26,11.3616,90,ATASCOSA,1,1
15,27,-98.7598,29.2077,-98.7598.29.2077,27,11.6552,82,ATASCOSA,1,1
16,28,-98.7498,29.2077,-98.7498.29.2077,28,12.5816,82,ATASCOSA,1,1
17,29,-98.7398,29.2077,-98.7398.29.2077,29,12.0674,82,ATASCOSA,1,1
18,30,-98.7298,29.2077,-98.7298.29.2077,30,12.4714,82,ATASCOSA,1,1
19,31,-98.7198,29.2077,-98.7198.29.2077,31,12.428,52,ATASCOSA,1,1
20,33,-98.6998,29.2077,-98.6998.29.2077,33,12.683,52,ATASCOSA,1,1
21,34,-98.6898,29.2077,-98.6898.29.2077,34,12.4206,81,ATASCOSA,1,1
22,35,-98.6798,29.2077,-98.6798.29.2077,35,12.398,81,ATASCOSA,1,1
23,36,-98.7998,29.1977,-98.7998.29.1977,36,11.3614,52,ATASCOSA,1,1
24,37,-98.7898,29.1977,-98.7898.29.1977,37,11.6168,82,ATASCOSA,1,1
25,38,-98.7798,29.1977,-98.7798.29.1977,38,11.655,82,ATASCOSA,1,1
26,39,-98.7698,29.1977,-98.7698.29.1977,39,11.655,81,ATASCOSA,1,1
27,40,-98.7598,29.1977,-98.7598.29.1977,40,11.3614,82,ATASCOSA,1,1
28,41,-98.7498,29.1977,-98.7498.29.1977,41,12.5814,81,ATASCOSA,1,1
29,42,-98.7398,29.1977,-98.7398.29.1977,42,12.4712,81,ATASCOSA,1,1
30,43,-98.7298,29.1977,-98.7298.29.1977,43,12.4712,52,ATASCOSA,1,1
31,44,-98.7198,29.1977,-98.7198.29.1977,44,12.4206,81,ATASCOSA,1,1
32,45,-98.7098,29.1977,-98.7098.29.1977,45,12.0672,90,ATASCOSA,1,1
33,46,-98.6998,29.1977,-98.6998.29.1977,46,12.665,52,ATASCOSA,1,1
34,49,-98.6698,29.1977,-98.6698.29.1977,49,12.4712,52,ATASCOSA,1,1
35,50,-98.6598,29.1977,-98.6598.29.1977,50,12.2336,52,ATASCOSA,1,1
36,51,-98.6498,29.1977,-98.6498.29.1977,51,12.2336,81,ATASCOSA,1,1
37,52,-98.7998,29.1877,-98.7998.29.1877,52,11.7318,81,ATASCOSA,1,1
38,53,-98.7898,29.1877,-98.7898.29.1877,53,11.3614,71,ATASCOSA,1,1
39,54,-98.7798,29.1877,-98.7798.29.1877,54,11.655,52,ATASCOSA,1,1
40,55,-98.7698,29.1877,-98.7698.29.1877,55,11.8284,82,ATASCOSA,1,1
41,56,-98.7598,29.1877,-98.7598.29.1877,56,11.655,81,ATASCOSA,1,1
42,57,-98.7498,29.1877,-98.7498.29.1877,57,12.5168,81,ATASCOSA,1,1
43,58,-98.7398,29.1877,-98.7398.29.1877,58,12.5168,52,ATASCOSA,1,1
44,59,-98.7298,29.1877,-98.7298.29.1877,59,12.4206,52,ATASCOSA,1,1
45,61,-98.7098,29.1877,-98.7098.29.1877,61,12.6826,52,ATASCOSA,1,1
46,65,-98.6698,29.1877,-98.6698.29.1877,65,12.2336,82,ATASCOSA,1,1
47,66,-98.6598,29.1877,-98.6598.29.1877,66,12.2388,81,ATASCOSA,1,1
48,69,-98.6298,29.1877,-98.6298.29.1877,69,12.4844,81,ATASCOSA,1,1
49,70,-98.7998,29.1777,-98.7998.29.1777,70,11.9794,81,ATASCOSA,1,1
50,71,-98.7898,29.1777,-98.7898.29.1777,71,11.9794,52,ATASCOSA,1,1
51,72,-98.7798,29.1777,-98.7798.29.1777,72,11.9794,52,ATASCOSA,1,1
52,74,-98.7598,29.1777,-98.7598.29.1777,74,11.732,81,ATASCOSA,1,1
53,75,-98.7498,29.1777,-98.7498.29.1777,75,12.5166,81,ATASCOSA,1,1
54,76,-98.7398,29.1777,-98.7398.29.1777,76,12.5166,81,ATASCOSA,1,1
55,77,-98.7298,29.1777,-98.7298.29.1777,77,12.6826,52,ATASCOSA,1,1
56,86,-98.6398,29.1777,-98.6398.29.1777,86,12.4844,71,ATASCOSA,1,1
57,88,-98.6198,29.1777,-98.6198.29.1777,88,12.8288,52,ATASCOSA,1,1
58,91,-98.7998,29.1677,-98.7998.29.1677,91,11.9794,81,ATASCOSA,1,1
59,92,-98.7898,29.1677,-98.7898.29.1677,92,11.9794,82,ATASCOSA,1,1
60,93,-98.7798,29.1677,-98.7798.29.1677,93,11.9794,52,ATASCOSA,1,1
61,94,-98.7698,29.1677,-98.7698.29.1677,94,11.9794,52,ATASCOSA,1,1
62,95,-98.7598,29.1677,-98.7598.29.1677,95,11.7322,81,ATASCOSA,1,1
63,96,-98.7498,29.1677,-98.7498.29.1677,96,12.7912,81,ATASCOSA,1,1
64,107,-98.6398,29.1677,-98.6398.29.1677,107,12.4842,52,ATASCOSA,1,1
65,108,-98.6298,29.1677,-98.6298.29.1677,108,12.4842,71,ATASCOSA,1,1
66,110,-98.6098,29.1677,-98.6098.29.1677,110,12.8286,52,ATASCOSA,1,1
67,111,-98.5998,29.1677,-98.5998.29.1677,111,12.8286,81,ATASCOSA,1,1
68,112,-98.5898,29.1677,-98.5898.29.1677,112,12.8286,52,ATASCOSA,1,1
69,113,-98.5798,29.1677,-98.5798.29.1677,113,12.8286,52,ATASCOSA,1,1
70,114,-98.5698,29.1677,-98.5698.29.1677,114,12.8286,31,ATASCOSA,1,1
71,115,-98.7998,29.1577,-98.7998.29.1577,115,11.9794,81,ATASCOSA,1,1
72,118,-98.7698,29.1577,-98.7698.29.1577,118,11.9794,52,ATASCOSA,1,1
73,119,-98.7598,29.1577,-98.7598.29.1577,119,11.732,81,ATASCOSA,1,1
