Index,RunID, LON, LAT,tag,coord_id,YIELD,land cover,check,check T3,county
1,5,-98.7698,29.2377,-98.7698.29.2377,5,7.6136,52,1,1,ATASCOSA
2,8,-98.7798,29.2277,-98.7798.29.2277,8,10.8108,82,1,1,ATASCOSA
3,12,-98.7398,29.2277,-98.7398.29.2277,12,11.2332,81,1,1,ATASCOSA
4,13,-98.7998,29.2177,-98.7998.29.2177,13,10.6492,52,1,1,ATASCOSA
5,14,-98.7898,29.2177,-98.7898.29.2177,14,10.2918,82,1,1,ATASCOSA
6,15,-98.7798,29.2177,-98.7798.29.2177,15,10.4302,81,1,1,ATASCOSA
7,16,-98.7698,29.2177,-98.7698.29.2177,16,10.2918,82,1,1,ATASCOSA
8,17,-98.7598,29.2177,-98.7598.29.2177,17,10.8108,82,1,1,ATASCOSA
9,18,-98.7498,29.2177,-98.7498.29.2177,18,11.3444,82,1,1,ATASCOSA
10,19,-98.7398,29.2177,-98.7398.29.2177,19,11.2332,52,1,1,ATASCOSA
11,20,-98.7298,29.2177,-98.7298.29.2177,20,10.841,52,1,1,ATASCOSA
12,24,-98.7898,29.2077,-98.7898.29.2077,24,10.5278,52,1,1,ATASCOSA
13,25,-98.7798,29.2077,-98.7798.29.2077,25,10.6492,90,1,1,ATASCOSA
14,26,-98.7698,29.2077,-98.7698.29.2077,26,10.4298,90,1,1,ATASCOSA
15,27,-98.7598,29.2077,-98.7598.29.2077,27,10.8106,82,1,1,ATASCOSA
16,28,-98.7498,29.2077,-98.7498.29.2077,28,11.3444,82,1,1,ATASCOSA
17,29,-98.7398,29.2077,-98.7398.29.2077,29,10.966,82,1,1,ATASCOSA
18,30,-98.7298,29.2077,-98.7298.29.2077,30,11.233,82,1,1,ATASCOSA
19,31,-98.7198,29.2077,-98.7198.29.2077,31,11.0636,52,1,1,ATASCOSA
20,33,-98.6998,29.2077,-98.6998.29.2077,33,11.6054,52,1,1,ATASCOSA
21,34,-98.6898,29.2077,-98.6898.29.2077,34,11.2668,81,1,1,ATASCOSA
22,35,-98.6798,29.2077,-98.6798.29.2077,35,11.226,81,1,1,ATASCOSA
23,36,-98.7998,29.1977,-98.7998.29.1977,36,10.4296,52,1,1,ATASCOSA
24,37,-98.7898,29.1977,-98.7898.29.1977,37,10.649,82,1,1,ATASCOSA
25,38,-98.7798,29.1977,-98.7798.29.1977,38,10.811,82,1,1,ATASCOSA
26,39,-98.7698,29.1977,-98.7698.29.1977,39,10.811,81,1,1,ATASCOSA
27,40,-98.7598,29.1977,-98.7598.29.1977,40,10.4296,82,1,1,ATASCOSA
28,41,-98.7498,29.1977,-98.7498.29.1977,41,11.3442,81,1,1,ATASCOSA
29,42,-98.7398,29.1977,-98.7398.29.1977,42,11.233,81,1,1,ATASCOSA
30,43,-98.7298,29.1977,-98.7298.29.1977,43,11.233,52,1,1,ATASCOSA
31,44,-98.7198,29.1977,-98.7198.29.1977,44,11.2666,81,1,1,ATASCOSA
32,45,-98.7098,29.1977,-98.7098.29.1977,45,10.9658,90,1,1,ATASCOSA
33,46,-98.6998,29.1977,-98.6998.29.1977,46,11.3546,52,1,1,ATASCOSA
34,49,-98.6698,29.1977,-98.6698.29.1977,49,11.233,52,1,1,ATASCOSA
35,50,-98.6598,29.1977,-98.6598.29.1977,50,11.028,52,1,1,ATASCOSA
36,51,-98.6498,29.1977,-98.6498.29.1977,51,11.028,81,1,1,ATASCOSA
37,52,-98.7998,29.1877,-98.7998.29.1877,52,10.8072,81,1,1,ATASCOSA
38,53,-98.7898,29.1877,-98.7898.29.1877,53,10.4292,71,1,1,ATASCOSA
39,54,-98.7798,29.1877,-98.7798.29.1877,54,10.8108,52,1,1,ATASCOSA
40,55,-98.7698,29.1877,-98.7698.29.1877,55,10.758,82,1,1,ATASCOSA
41,56,-98.7598,29.1877,-98.7598.29.1877,56,10.8108,81,1,1,ATASCOSA
42,57,-98.7498,29.1877,-98.7498.29.1877,57,11.3752,81,1,1,ATASCOSA
43,58,-98.7398,29.1877,-98.7398.29.1877,58,11.3752,52,1,1,ATASCOSA
44,59,-98.7298,29.1877,-98.7298.29.1877,59,11.2664,52,1,1,ATASCOSA
45,61,-98.7098,29.1877,-98.7098.29.1877,61,11.6052,52,1,1,ATASCOSA
46,65,-98.6698,29.1877,-98.6698.29.1877,65,11.028,82,1,1,ATASCOSA
47,66,-98.6598,29.1877,-98.6598.29.1877,66,11.0484,81,1,1,ATASCOSA
48,69,-98.6298,29.1877,-98.6298.29.1877,69,11.379,81,1,1,ATASCOSA
49,70,-98.7998,29.1777,-98.7998.29.1777,70,11.1256,81,1,1,ATASCOSA
50,71,-98.7898,29.1777,-98.7898.29.1777,71,11.1256,52,1,1,ATASCOSA
51,72,-98.7798,29.1777,-98.7798.29.1777,72,11.1256,52,1,1,ATASCOSA
52,74,-98.7598,29.1777,-98.7598.29.1777,74,10.8074,81,1,1,ATASCOSA
53,75,-98.7498,29.1777,-98.7498.29.1777,75,11.3748,81,1,1,ATASCOSA
54,76,-98.7398,29.1777,-98.7398.29.1777,76,11.3748,81,1,1,ATASCOSA
55,77,-98.7298,29.1777,-98.7298.29.1777,77,11.6052,52,1,1,ATASCOSA
56,86,-98.6398,29.1777,-98.6398.29.1777,86,11.379,71,1,1,ATASCOSA
57,88,-98.6198,29.1777,-98.6198.29.1777,88,11.7106,52,1,1,ATASCOSA
58,91,-98.7998,29.1677,-98.7998.29.1677,91,11.1254,81,1,1,ATASCOSA
59,92,-98.7898,29.1677,-98.7898.29.1677,92,11.1254,82,1,1,ATASCOSA
60,93,-98.7798,29.1677,-98.7798.29.1677,93,11.1254,52,1,1,ATASCOSA
61,94,-98.7698,29.1677,-98.7698.29.1677,94,11.1254,52,1,1,ATASCOSA
62,95,-98.7598,29.1677,-98.7598.29.1677,95,10.8074,81,1,1,ATASCOSA
63,96,-98.7498,29.1677,-98.7498.29.1677,96,11.7214,81,1,1,ATASCOSA
64,107,-98.6398,29.1677,-98.6398.29.1677,107,11.3792,52,1,1,ATASCOSA
65,108,-98.6298,29.1677,-98.6298.29.1677,108,11.3792,71,1,1,ATASCOSA
66,110,-98.6098,29.1677,-98.6098.29.1677,110,11.711,52,1,1,ATASCOSA
67,111,-98.5998,29.1677,-98.5998.29.1677,111,11.711,81,1,1,ATASCOSA
68,112,-98.5898,29.1677,-98.5898.29.1677,112,11.711,52,1,1,ATASCOSA
69,113,-98.5798,29.1677,-98.5798.29.1677,113,11.711,52,1,1,ATASCOSA
70,114,-98.5698,29.1677,-98.5698.29.1677,114,11.711,31,1,1,ATASCOSA
71,115,-98.7998,29.1577,-98.7998.29.1577,115,11.1254,81,1,1,ATASCOSA
72,118,-98.7698,29.1577,-98.7698.29.1577,118,11.1254,52,1,1,ATASCOSA
73,119,-98.7598,29.1577,-98.7598.29.1577,119,10.8072,81,1,1,ATASCOSA
74,120,-98.7498,29.1577,-98.7498.29.1577,120,11.3748,90,1,1,ATASCOSA
75,121,-98.7398,29.1577,-98.7398.29.1577,121,11.7214,52,1,1,ATASCOSA
76,122,-98.7298,29.1577,-98.7298.29.1577,122,11.6048,81,1,1,ATASCOSA
77,124,-98.7098,29.1577,-98.7098.29.1577,124,11.6048,52,1,1,ATASCOSA
78,125,-98.6998,29.1577,-98.6998.29.1577,125,11.6048,52,1,1,ATASCOSA
79,126,-98.6898,29.1577,-98.6898.29.1577,126,11.3792,81,1,1,ATASCOSA
80,130,-98.6498,29.1577,-98.6498.29.1577,130,11.3792,52,1,1,ATASCOSA
81,131,-98.6398,29.1577,-98.6398.29.1577,131,11.0488,71,1,1,ATASCOSA
82,132,-98.6298,29.1577,-98.6298.29.1577,132,11.0488,52,1,1,ATASCOSA
83,135,-98.5998,29.1577,-98.5998.29.1577,135,11.711,81,1,1,ATASCOSA
84,136,-98.5898,29.1577,-98.5898.29.1577,136,11.711,31,1,1,ATASCOSA
85,137,-98.5798,29.1577,-98.5798.29.1577,137,11.711,71,1,1,ATASCOSA
86,138,-98.5698,29.1577,-98.5698.29.1577,138,11.711,81,1,1,ATASCOSA
87,139,-98.5598,29.1577,-98.5598.29.1577,139,11.711,31,1,1,ATASCOSA
88,146,-98.7598,29.1477,-98.7598.29.1477,146,11.1252,81,1,1,ATASCOSA
89,147,-98.7498,29.1477,-98.7498.29.1477,147,11.721,81,1,1,ATASCOSA
90,148,-98.7398,29.1477,-98.7398.29.1477,148,11.3744,52,1,1,ATASCOSA
91,149,-98.7298,29.1477,-98.7298.29.1477,149,11.721,81,1,1,ATASCOSA
92,150,-98.7198,29.1477,-98.7198.29.1477,150,11.2666,52,1,1,ATASCOSA
93,154,-98.6798,29.1477,-98.6798.29.1477,154,11.3792,71,1,1,ATASCOSA
94,156,-98.6598,29.1477,-98.6598.29.1477,156,11.3792,52,1,1,ATASCOSA
95,161,-98.6098,29.1477,-98.6098.29.1477,161,11.711,52,1,1,ATASCOSA
96,163,-98.5898,29.1477,-98.5898.29.1477,163,11.711,90,1,1,ATASCOSA
97,164,-98.5798,29.1477,-98.5798.29.1477,164,11.711,52,1,1,ATASCOSA
