Index,RunID, LON, LAT,tag,coord_id,YIELD,land cover,county,check
1,5,-98.7698,29.2377,-98.7698.29.2377,5,7.5004,52,ATASCOSA,1
2,8,-98.7798,29.2277,-98.7798.29.2277,8,10.7532,82,ATASCOSA,1
3,12,-98.7398,29.2277,-98.7398.29.2277,12,11.2578,81,ATASCOSA,1
4,13,-98.7998,29.2177,-98.7998.29.2177,13,10.5106,52,ATASCOSA,1
5,14,-98.7898,29.2177,-98.7898.29.2177,14,10.2808,82,ATASCOSA,1
6,15,-98.7798,29.2177,-98.7798.29.2177,15,10.4636,81,ATASCOSA,1
7,16,-98.7698,29.2177,-98.7698.29.2177,16,10.2808,82,ATASCOSA,1
8,17,-98.7598,29.2177,-98.7598.29.2177,17,10.754,82,ATASCOSA,1
9,18,-98.7498,29.2177,-98.7498.29.2177,18,11.4576,82,ATASCOSA,1
10,19,-98.7398,29.2177,-98.7398.29.2177,19,11.2576,52,ATASCOSA,1
11,20,-98.7298,29.2177,-98.7298.29.2177,20,10.7824,52,ATASCOSA,1
12,24,-98.7898,29.2077,-98.7898.29.2077,24,10.4654,52,ATASCOSA,1
13,25,-98.7798,29.2077,-98.7798.29.2077,25,10.5116,90,ATASCOSA,1
14,26,-98.7698,29.2077,-98.7698.29.2077,26,10.4634,90,ATASCOSA,1
15,27,-98.7598,29.2077,-98.7598.29.2077,27,10.7542,82,ATASCOSA,1
16,28,-98.7498,29.2077,-98.7498.29.2077,28,11.4576,82,ATASCOSA,1
17,29,-98.7398,29.2077,-98.7398.29.2077,29,10.955,82,ATASCOSA,1
18,30,-98.7298,29.2077,-98.7298.29.2077,30,11.2574,82,ATASCOSA,1
19,31,-98.7198,29.2077,-98.7198.29.2077,31,11.0356,52,ATASCOSA,1
20,33,-98.6998,29.2077,-98.6998.29.2077,33,11.6156,52,ATASCOSA,1
21,34,-98.6898,29.2077,-98.6898.29.2077,34,11.3372,81,ATASCOSA,1
22,35,-98.6798,29.2077,-98.6798.29.2077,35,11.1748,81,ATASCOSA,1
23,36,-98.7998,29.1977,-98.7998.29.1977,36,10.4632,52,ATASCOSA,1
24,37,-98.7898,29.1977,-98.7898.29.1977,37,10.5104,82,ATASCOSA,1
25,38,-98.7798,29.1977,-98.7798.29.1977,38,10.7536,82,ATASCOSA,1
26,39,-98.7698,29.1977,-98.7698.29.1977,39,10.7536,81,ATASCOSA,1
27,40,-98.7598,29.1977,-98.7598.29.1977,40,10.4632,82,ATASCOSA,1
28,41,-98.7498,29.1977,-98.7498.29.1977,41,11.457,81,ATASCOSA,1
29,42,-98.7398,29.1977,-98.7398.29.1977,42,11.2574,81,ATASCOSA,1
30,43,-98.7298,29.1977,-98.7298.29.1977,43,11.2574,52,ATASCOSA,1
