Index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county
1,5,-98.7698,29.2377,-98.7698.29.2377,5,9.3308,52,ATASCOSA
2,8,-98.7798,29.2277,-98.7798.29.2277,8,12.9204,82,ATASCOSA
3,12,-98.7398,29.2277,-98.7398.29.2277,12,13.3946,81,ATASCOSA
4,13,-98.7998,29.2177,-98.7998.29.2177,13,12.7566,52,ATASCOSA
5,14,-98.7898,29.2177,-98.7898.29.2177,14,12.476,82,ATASCOSA
6,15,-98.7798,29.2177,-98.7798.29.2177,15,12.5298,81,ATASCOSA
7,16,-98.7698,29.2177,-98.7698.29.2177,16,12.476,82,ATASCOSA
8,17,-98.7598,29.2177,-98.7598.29.2177,17,12.9206,82,ATASCOSA
9,18,-98.7498,29.2177,-98.7498.29.2177,18,13.5158,82,ATASCOSA
10,19,-98.7398,29.2177,-98.7398.29.2177,19,13.3948,52,ATASCOSA
11,20,-98.7298,29.2177,-98.7298.29.2177,20,13.1088,52,ATASCOSA
12,24,-98.7898,29.2077,-98.7898.29.2077,24,12.648,52,ATASCOSA
13,25,-98.7798,29.2077,-98.7798.29.2077,25,12.7546,90,ATASCOSA
14,26,-98.7698,29.2077,-98.7698.29.2077,26,12.5298,90,ATASCOSA
15,27,-98.7598,29.2077,-98.7598.29.2077,27,12.9204,82,ATASCOSA
16,28,-98.7498,29.2077,-98.7498.29.2077,28,13.5158,82,ATASCOSA
17,29,-98.7398,29.2077,-98.7398.29.2077,29,12.898,82,ATASCOSA
18,30,-98.7298,29.2077,-98.7298.29.2077,30,13.395,82,ATASCOSA
19,31,-98.7198,29.2077,-98.7198.29.2077,31,13.2872,52,ATASCOSA
20,33,-98.6998,29.2077,-98.6998.29.2077,33,13.6692,52,ATASCOSA
21,34,-98.6898,29.2077,-98.6898.29.2077,34,13.2082,81,ATASCOSA
22,35,-98.6798,29.2077,-98.6798.29.2077,35,12.8696,81,ATASCOSA
23,36,-98.7998,29.1977,-98.7998.29.1977,36,12.5296,52,ATASCOSA
24,37,-98.7898,29.1977,-98.7898.29.1977,37,12.7544,82,ATASCOSA
25,38,-98.7798,29.1977,-98.7798.29.1977,38,12.9202,82,ATASCOSA
26,39,-98.7698,29.1977,-98.7698.29.1977,39,12.9202,81,ATASCOSA
27,40,-98.7598,29.1977,-98.7598.29.1977,40,12.5296,82,ATASCOSA
28,41,-98.7498,29.1977,-98.7498.29.1977,41,13.5154,81,ATASCOSA
29,42,-98.7398,29.1977,-98.7398.29.1977,42,13.3948,81,ATASCOSA
30,43,-98.7298,29.1977,-98.7298.29.1977,43,13.3948,52,ATASCOSA
31,44,-98.7198,29.1977,-98.7198.29.1977,44,13.208,81,ATASCOSA
32,45,-98.7098,29.1977,-98.7098.29.1977,45,12.8978,90,ATASCOSA
33,46,-98.6998,29.1977,-98.6998.29.1977,46,13.5154,52,ATASCOSA
34,49,-98.6698,29.1977,-98.6698.29.1977,49,13.3948,52,ATASCOSA
35,50,-98.6598,29.1977,-98.6598.29.1977,50,13.1678,52,ATASCOSA
36,51,-98.6498,29.1977,-98.6498.29.1977,51,13.1678,81,ATASCOSA
37,52,-98.7998,29.1877,-98.7998.29.1877,52,12.884,81,ATASCOSA
38,53,-98.7898,29.1877,-98.7898.29.1877,53,12.5296,71,ATASCOSA
39,54,-98.7798,29.1877,-98.7798.29.1877,54,12.92,52,ATASCOSA
40,55,-98.7698,29.1877,-98.7698.29.1877,55,12.8996,82,ATASCOSA
41,56,-98.7598,29.1877,-98.7598.29.1877,56,12.92,81,ATASCOSA
42,57,-98.7498,29.1877,-98.7498.29.1877,57,13.2748,81,ATASCOSA
43,58,-98.7398,29.1877,-98.7398.29.1877,58,13.2748,52,ATASCOSA
44,59,-98.7298,29.1877,-98.7298.29.1877,59,13.208,52,ATASCOSA
45,61,-98.7098,29.1877,-98.7098.29.1877,61,13.6692,52,ATASCOSA
46,65,-98.6698,29.1877,-98.6698.29.1877,65,13.168,82,ATASCOSA
47,66,-98.6598,29.1877,-98.6598.29.1877,66,13.0756,81,ATASCOSA
48,69,-98.6298,29.1877,-98.6298.29.1877,69,13.439,81,ATASCOSA
49,70,-98.7998,29.1777,-98.7998.29.1777,70,13.2348,81,ATASCOSA
50,71,-98.7898,29.1777,-98.7898.29.1777,71,13.2348,52,ATASCOSA
51,72,-98.7798,29.1777,-98.7798.29.1777,72,13.2348,52,ATASCOSA
52,74,-98.7598,29.1777,-98.7598.29.1777,74,12.884,81,ATASCOSA
53,75,-98.7498,29.1777,-98.7498.29.1777,75,13.2746,81,ATASCOSA
54,76,-98.7398,29.1777,-98.7398.29.1777,76,13.2746,81,ATASCOSA
55,77,-98.7298,29.1777,-98.7298.29.1777,77,13.669,52,ATASCOSA
56,86,-98.6398,29.1777,-98.6398.29.1777,86,13.439,71,ATASCOSA
57,88,-98.6198,29.1777,-98.6198.29.1777,88,13.7924,52,ATASCOSA
58,91,-98.7998,29.1677,-98.7998.29.1677,91,13.2346,81,ATASCOSA
59,92,-98.7898,29.1677,-98.7898.29.1677,92,13.2346,82,ATASCOSA
60,93,-98.7798,29.1677,-98.7798.29.1677,93,13.2346,52,ATASCOSA
61,94,-98.7698,29.1677,-98.7698.29.1677,94,13.2346,52,ATASCOSA
62,95,-98.7598,29.1677,-98.7598.29.1677,95,12.885,81,ATASCOSA
63,96,-98.7498,29.1677,-98.7498.29.1677,96,13.8044,81,ATASCOSA
64,107,-98.6398,29.1677,-98.6398.29.1677,107,13.4388,52,ATASCOSA
65,108,-98.6298,29.1677,-98.6298.29.1677,108,13.4388,71,ATASCOSA
66,110,-98.6098,29.1677,-98.6098.29.1677,110,13.7924,52,ATASCOSA
67,111,-98.5998,29.1677,-98.5998.29.1677,111,13.7924,81,ATASCOSA
68,112,-98.5898,29.1677,-98.5898.29.1677,112,13.7924,52,ATASCOSA
69,113,-98.5798,29.1677,-98.5798.29.1677,113,13.7924,52,ATASCOSA
70,114,-98.5698,29.1677,-98.5698.29.1677,114,13.7924,31,ATASCOSA
71,115,-98.7998,29.1577,-98.7998.29.1577,115,13.2342,81,ATASCOSA
72,118,-98.7698,29.1577,-98.7698.29.1577,118,13.2342,52,ATASCOSA
73,119,-98.7598,29.1577,-98.7598.29.1577,119,12.8852,81,ATASCOSA
74,120,-98.7498,29.1577,-98.7498.29.1577,120,13.2738,90,ATASCOSA
75,121,-98.7398,29.1577,-98.7398.29.1577,121,13.8042,52,ATASCOSA
76,122,-98.7298,29.1577,-98.7298.29.1577,122,13.6696,81,ATASCOSA
