index,RunID, LON, LAT,tag,Coordinate_ID,check,YIELD,land cover,county,county
1,5,-98.7698,29.2377,-98.7698.29.2377,5,1,8.0572,52,AT_5,ATASCOSA
2,8,-98.7798,29.2277,-98.7798.29.2277,8,1,10.925,82,AT_8,ATASCOSA
3,12,-98.7398,29.2277,-98.7398.29.2277,12,1,10.8602,81,AT_12,ATASCOSA
4,13,-98.7998,29.2177,-98.7998.29.2177,13,1,10.6824,52,AT_13,ATASCOSA
5,14,-98.7898,29.2177,-98.7898.29.2177,14,1,10.6378,82,AT_14,ATASCOSA
6,15,-98.7798,29.2177,-98.7798.29.2177,15,1,10.7206,81,AT_15,ATASCOSA
7,16,-98.7698,29.2177,-98.7698.29.2177,16,1,10.6378,82,AT_16,ATASCOSA
8,17,-98.7598,29.2177,-98.7598.29.2177,17,1,10.925,82,AT_17,ATASCOSA
9,18,-98.7498,29.2177,-98.7498.29.2177,18,1,10.925,82,AT_18,ATASCOSA
10,19,-98.7398,29.2177,-98.7398.29.2177,19,1,10.8602,52,AT_19,ATASCOSA
11,20,-98.7298,29.2177,-98.7298.29.2177,20,1,10.5644,52,AT_20,ATASCOSA
12,24,-98.7898,29.2077,-98.7898.29.2077,24,1,10.7854,52,AT_24,ATASCOSA
13,25,-98.7798,29.2077,-98.7798.29.2077,25,1,10.6824,90,AT_25,ATASCOSA
14,26,-98.7698,29.2077,-98.7698.29.2077,26,1,10.7206,90,AT_26,ATASCOSA
15,27,-98.7598,29.2077,-98.7598.29.2077,27,1,10.9248,82,AT_27,ATASCOSA
16,28,-98.7498,29.2077,-98.7498.29.2077,28,1,10.9248,82,AT_28,ATASCOSA
17,29,-98.7398,29.2077,-98.7398.29.2077,29,1,10.6402,82,AT_29,ATASCOSA
18,30,-98.7298,29.2077,-98.7298.29.2077,30,1,10.8402,82,AT_30,ATASCOSA
19,31,-98.7198,29.2077,-98.7198.29.2077,31,1,10.5912,52,AT_31,ATASCOSA
20,33,-98.6998,29.2077,-98.6998.29.2077,33,1,11.286,52,AT_33,ATASCOSA
21,34,-98.6898,29.2077,-98.6898.29.2077,34,1,10.8786,81,AT_34,ATASCOSA
22,35,-98.6798,29.2077,-98.6798.29.2077,35,1,10.602,81,AT_35,ATASCOSA
23,36,-98.7998,29.1977,-98.7998.29.1977,36,1,10.7206,52,AT_36,ATASCOSA
24,37,-98.7898,29.1977,-98.7898.29.1977,37,1,10.6824,82,AT_37,ATASCOSA
25,38,-98.7798,29.1977,-98.7798.29.1977,38,1,10.9248,82,AT_38,ATASCOSA
26,39,-98.7698,29.1977,-98.7698.29.1977,39,1,10.9248,81,AT_39,ATASCOSA
27,40,-98.7598,29.1977,-98.7598.29.1977,40,1,10.7206,82,AT_40,ATASCOSA
28,41,-98.7498,29.1977,-98.7498.29.1977,41,1,10.9248,81,AT_41,ATASCOSA
29,42,-98.7398,29.1977,-98.7398.29.1977,42,1,10.8402,81,AT_42,ATASCOSA
30,43,-98.7298,29.1977,-98.7298.29.1977,43,1,10.8402,52,AT_43,ATASCOSA
31,44,-98.7198,29.1977,-98.7198.29.1977,44,1,10.8786,81,AT_44,ATASCOSA
32,45,-98.7098,29.1977,-98.7098.29.1977,45,1,10.64,90,AT_45,ATASCOSA
33,46,-98.6998,29.1977,-98.6998.29.1977,46,1,10.7978,52,AT_46,ATASCOSA
34,49,-98.6698,29.1977,-98.6698.29.1977,49,1,10.8402,52,AT_49,ATASCOSA
35,50,-98.6598,29.1977,-98.6598.29.1977,50,1,10.8642,52,AT_50,ATASCOSA
36,51,-98.6498,29.1977,-98.6498.29.1977,51,1,10.8642,81,AT_51,ATASCOSA
37,52,-98.7998,29.1877,-98.7998.29.1877,52,1,10.939,81,AT_52,ATASCOSA
38,53,-98.7898,29.1877,-98.7898.29.1877,53,1,10.7206,71,AT_53,ATASCOSA
39,54,-98.7798,29.1877,-98.7798.29.1877,54,1,10.9248,52,AT_54,ATASCOSA
40,55,-98.7698,29.1877,-98.7698.29.1877,55,1,10.943,82,AT_55,ATASCOSA
41,56,-98.7598,29.1877,-98.7598.29.1877,56,1,10.9248,81,AT_56,ATASCOSA
42,57,-98.7498,29.1877,-98.7498.29.1877,57,1,10.939,81,AT_57,ATASCOSA
43,58,-98.7398,29.1877,-98.7398.29.1877,58,1,10.939,52,AT_58,ATASCOSA
44,59,-98.7298,29.1877,-98.7298.29.1877,59,1,10.8786,52,AT_59,ATASCOSA
45,61,-98.7098,29.1877,-98.7098.29.1877,61,1,11.286,52,AT_61,ATASCOSA
46,65,-98.6698,29.1877,-98.6698.29.1877,65,1,10.8642,82,AT_65,ATASCOSA
47,66,-98.6598,29.1877,-98.6598.29.1877,66,1,10.8814,81,AT_66,ATASCOSA
48,69,-98.6298,29.1877,-98.6298.29.1877,69,1,11.2994,81,AT_69,ATASCOSA
49,70,-98.7998,29.1777,-98.7998.29.1777,70,1,11.3616,81,AT_70,ATASCOSA
50,71,-98.7898,29.1777,-98.7898.29.1777,71,1,11.3616,52,AT_71,ATASCOSA
51,72,-98.7798,29.1777,-98.7798.29.1777,72,1,11.3616,52,AT_72,ATASCOSA
52,74,-98.7598,29.1777,-98.7598.29.1777,74,1,10.939,81,AT_74,ATASCOSA
53,75,-98.7498,29.1777,-98.7498.29.1777,75,1,10.939,81,AT_75,ATASCOSA
54,76,-98.7398,29.1777,-98.7398.29.1777,76,1,10.939,81,AT_76,ATASCOSA
55,77,-98.7298,29.1777,-98.7298.29.1777,77,1,11.2858,52,AT_77,ATASCOSA
56,86,-98.6398,29.1777,-98.6398.29.1777,86,1,11.2994,71,AT_86,ATASCOSA
57,88,-98.6198,29.1777,-98.6198.29.1777,88,1,11.2994,52,AT_88,ATASCOSA
58,91,-98.7998,29.1677,-98.7998.29.1677,91,1,11.3616,81,AT_91,ATASCOSA
59,92,-98.7898,29.1677,-98.7898.29.1677,92,1,11.3616,82,AT_92,ATASCOSA
