VARIABLE, PARCEL, DEPOT, PLANT, VALUE,,,,
TC,,,,3.70E+07,,,,
D,,11,,1,,,,
D,,31,,1,,,,
D,,36,,1,,,,
D,,52,,1,,,,
X,1,31,,805.72,X,834,,
X,2,31,,1092.5,Y,4,,
X,5,36,,1063.78,Z,104,,
X,71,52,,1136.16,,,,
X,72,36,,1136.16,Y,124270.62,843905.22,38782.40901
X,73,11,,1094.04,,209692.1,,
X,74,52,,1094.04,,286157.38,,957706
X,75,31,,1136.16,,223785.12,,
X,76,11,,0,Z,1076.32,113800.78,31350.07713
X,76,52,,1128.58,,1002.28,,1027838.486
X,77,31,,1128.58,,1140.94,,
X,80,36,,1129.94,,1002.22,,
X,141,11,,1129.92,,1140.94,,
X,142,31,,1088.12,,1140.94,,
X,211,36,,1085.26,,1140.94,,
X,212,11,,1086.4,,1140.96,,
X,213,11,,1088.1,,1140.96,,
X,214,52,,1063.68,,1140.96,,
X,215,31,,1088.1,,1140.96,,
X,216,31,,1086.4,,1002.22,,
X,217,52,,1076.32,,1140.94,,
X,218,31,,1047.76,,1140.94,,
X,219,52,,1063.68,,1140.94,,
X,220,52,,1063.68,,1140.94,,
X,221,31,,1086.4,,1140.94,,
X,222,31,,1008.4,,1029.18,,
X,223,11,,1136.1,,1140.92,,
X,224,36,,1136.1,,1029.18,,
X,225,31,,1136.1,,1140.92,,
X,280,31,,1086.38,,1140.92,,
X,281,31,,1086.38,,1140.92,,
X,282,31,,1086.38,,1140.92,,
X,283,36,,1086.38,,1140.92,,
X,284,11,,0,,1140.92,,
X,284,52,,1086.38,,1140.92,,
X,285,31,,1086.38,,1140.92,,
X,286,52,,1063.66,,1140.92,,
X,287,36,,1091.08,,1140.92,,
X,288,31,,1088.1,,1029.16,,
X,289,52,,1076.3,,1029.16,,
X,290,36,,1086.38,,1140.92,,
X,291,31,,1088.1,,1140.92,,
X,292,11,,1086.38,,1140.92,,
X,293,52,,1088.1,,1140.92,,
X,294,31,,1088.1,,962.1,,
X,295,31,,1063.66,,962.1,,
X,297,52,,1091.08,,1140.92,,
X,300,36,,1063.66,,1140.92,,
X,352,36,,1064.04,,990.24,,
X,353,31,,1086.4,,1096.74,,
X,354,52,,1063.68,,1057.6,,
X,355,31,,1065.06,,1029.14,,
X,356,52,,1063.68,,1029.14,,
X,357,36,,1086.4,,1140.9,,
X,358,31,,1063.68,,1140.9,,
X,359,52,,1088.1,,1140.9,,
X,360,36,,1086.4,,1140.9,,
X,361,31,,1086.4,,1140.9,,
X,362,11,,1086.4,,1140.9,,
X,363,36,,1076.3,,1031.34,,
X,364,36,,1063.68,,1029.12,,
X,366,11,,1086.4,,1041.38,,
X,367,52,,1086.4,,1140.86,,
X,370,36,,1076.3,,1140.86,,
X,371,36,,1085.26,,1140.86,,
X,410,36,,1008.36,,1140.86,,
X,422,52,,1063.68,,1030.52,,
X,423,31,,1063.68,,1002.14,,
X,424,36,,1086.42,,1041.38,,
X,425,31,,1090.92,,1140.86,,
X,426,52,,1045.58,,1140.86,,
X,427,36,,1019.56,,1140.86,,
X,437,52,,1066.38,,1140.86,,
X,438,36,,1076.28,,1140.86,,
X,439,36,,1086.36,,1140.86,,
X,480,31,,1129.88,,1101.12,,
X,482,31,,1065,,1009.08,,
X,483,11,,1063.7,,1009.08,,
X,484,31,,1088.08,,1031.36,,
X,485,31,,1088.08,,1140.86,,
X,493,36,,1085.24,,1140.86,,
X,494,52,,1085.24,,1002.12,,
X,495,36,,1086.36,,1030.54,,
X,496,52,,1063.7,,1030.54,,
X,497,36,,1063.7,,1140.86,,
X,498,31,,1088.08,,1140.86,,
X,499,52,,1090.92,,1140.86,,
X,500,52,,1088.08,,1018.36,,
X,501,31,,1086.36,,1140.86,,
X,502,31,,1088.08,,1098.58,,
X,503,11,,0,,1098.58,,
X,503,52,,1063.7,,1098.58,,
X,504,36,,1135.26,,990.94,,
X,505,31,,1073.58,,1010.6,,
X,506,31,,1091,,1010.6,,
X,507,11,,1102.36,,1101.14,,
X,508,11,,1086.36,,1140.86,,
X,509,11,,1085.24,,1140.86,,
X,510,52,,1030.28,,1096.66,,
X,510,58,,0,,1078.34,,
X,511,52,,959.82,,1017.08,,
X,512,52,,959.82,,1029.12,,
X,513,52,,959.82,,1017.08,,
X,569,52,,1054.92,,1098.58,,
X,569,58,,0,,1030.54,,
X,570,36,,1068.52,,1002.1,,
X,571,31,,1085.24,,1140.86,,
X,572,52,,1085.24,,1140.86,,
X,573,52,,1036.44,,1098.58,,
X,574,31,,1063.62,,1098.58,,
X,575,31,,1085.24,,1098.58,,
X,576,11,,1088.04,,1101.12,,
X,577,11,,1088.04,,,,
X,578,11,,0,,,,
X,578,52,,1063.62,,,,
X,579,11,,1066.36,,,,
X,580,36,,1086.32,,,,
X,581,36,,1090.92,,,,
X,582,36,,1076.26,,,,
X,586,52,,1088.04,,,,
X,630,36,,1090.9,,,,
X,631,36,,1090.9,,,,
X,632,36,,1086.3,,,,
X,633,11,,0,,,,
X,633,52,,1090.9,,,,
X,634,36,,1088,,,,
X,635,31,,1086.3,,,,
X,636,52,,1088,,,,
X,637,31,,1063.6,,,,
X,638,31,,1088,,,,
X,639,52,,1039.12,,,,
X,640,36,,1047.78,,,,
X,641,31,,1039.82,,,,
X,642,52,,1039.82,,,,
X,643,36,,1055.78,,,,
X,644,31,,1008.28,,,,
X,645,31,,1008.28,,,,
X,646,11,,1090.9,,,,
X,647,11,,0,,,,
X,647,52,,959.8,,,,
X,648,52,,959.8,,,,
X,649,52,,959.8,,,,
X,650,36,,1074.2,,,,
X,651,36,,959.8,,,,
X,701,31,,959.8,,,,
X,715,11,,1057.22,,,,
X,716,11,,1083,,,,
X,717,52,,1057.22,,,,
X,718,52,,1056.3,,,,
X,719,36,,1046.88,,,,
X,720,36,,1056.3,,,,
X,721,31,,1054.88,,,,
X,722,36,,1054.88,,,,
X,723,31,,1075.36,,,,
X,724,36,,1135.22,,,,
X,725,52,,1086.3,,,,
X,726,36,,1088,,,,
X,765,36,,1075.32,,,,
X,773,52,,1086.32,,,,
X,774,31,,1087.98,,,,
X,775,11,,1086.32,,,,
X,776,36,,1087.98,,,,
X,778,52,,1090.88,,,,
X,779,36,,1063.6,,,,
X,780,31,,1073.58,,,,
X,781,11,,1008.28,,,,
X,782,52,,1015.76,,,,
X,783,36,,1039.8,,,,
X,784,31,,1039.8,,,,
X,785,11,,1008.28,,,,
X,786,11,,1090.88,,,,
X,787,11,,1044.82,,,,
X,788,52,,1016.96,,,,
X,789,52,,1034.28,,,,
X,792,36,,1016.96,,,,
X,831,36,,1078.28,,,,
X,832,11,,1034.28,,,,
X,833,31,,1034.28,,,,
X,834,31,,1016.96,,,,
X,835,52,,1034.76,,,,
X,837,36,,1074.14,,,,
X,849,36,,1068.52,,,,
X,850,36,,1075.28,,,,
X,851,36,,1075.28,,,,
X,852,52,,1075.28,,,,
