VARIABLE, PARCEL, DEPOT, PLANT, VALUE
TC,,,,5.79E+07
D,,7,,1
D,,31,,1
D,,36,,1
D,,44,,1
D,,52,,1
D,,58,,1
X,1,31,,805.72
X,2,31,,1092.5
X,5,36,,1063.78
X,70,58,,1129.94
X,71,36,,1136.16
X,72,36,,1136.16
X,73,36,,1094.04
X,74,52,,1094.04
X,75,31,,1136.16
X,76,7,,1128.58
X,77,31,,1128.58
X,79,44,,1129.94
X,80,36,,1129.94
X,83,36,,1129.94
X,141,44,,1129.92
X,142,31,,1088.12
X,143,31,,1129.92
X,210,44,,1063.68
X,211,36,,1085.26
X,212,44,,1086.4
X,213,44,,1088.1
X,214,52,,1063.68
X,215,31,,1088.1
X,216,58,,1086.4
X,217,44,,1076.32
X,218,31,,1047.76
X,219,7,,1063.68
X,220,44,,1063.68
X,221,36,,1086.4
X,222,31,,1008.4
X,223,7,,1136.1
X,224,36,,1136.1
X,225,31,,1136.1
X,280,44,,1086.38
X,281,31,,1086.38
X,282,31,,1086.38
X,283,36,,1086.38
X,284,52,,1086.38
X,285,31,,1086.38
X,286,52,,1063.66
X,287,36,,1091.08
X,288,31,,1088.1
X,289,7,,1076.3
X,290,36,,1086.38
X,291,31,,1088.1
X,292,58,,1086.38
X,293,7,,1088.1
X,294,31,,1088.1
X,295,31,,1063.66
X,296,7,,1063.66
X,297,52,,1091.08
X,298,44,,1063.66
X,299,36,,1063.66
X,300,36,,1063.66
X,352,36,,1064.04
X,353,31,,1086.4
X,354,52,,1063.68
X,355,31,,1065.06
X,356,52,,1063.68
X,357,36,,1086.4
X,359,7,,1088.1
X,360,36,,1086.4
X,361,31,,1086.4
X,362,7,,1086.4
X,363,44,,1076.3
X,364,36,,1063.68
X,365,7,,1091.06
X,366,7,,1086.4
X,367,52,,1086.4
X,368,44,,1065.06
X,369,44,,1076.3
X,370,36,,1076.3
X,371,36,,1085.26
X,372,36,,1063.68
X,374,31,,1063.68
X,375,36,,1008.36
X,409,44,,1008.36
X,410,36,,1008.36
X,421,44,,1088.1
X,422,52,,1063.68
X,423,31,,1063.68
X,424,44,,1086.42
X,425,31,,1090.92
X,426,52,,1045.58
X,427,36,,1019.56
X,437,52,,1066.38
X,438,36,,1076.28
X,439,36,,1086.36
X,440,36,,1055.88
X,480,31,,1129.88
X,481,52,,1065
X,482,31,,1065
X,484,31,,1088.08
X,485,31,,1088.08
X,492,58,,1076.26
X,493,36,,1085.24
X,494,52,,1085.24
X,495,36,,1086.36
X,496,58,,1063.7
X,497,36,,1063.7
X,498,31,,1088.08
X,499,52,,1090.92
X,500,44,,1088.08
X,501,31,,1086.36
X,502,31,,1088.08
X,503,52,,1063.7
X,504,36,,1135.26
X,505,31,,1073.58
X,506,31,,1091
X,508,7,,1086.36
X,509,58,,1085.24
X,510,52,,1030.28
X,511,52,,959.82
X,512,52,,959.82
X,513,52,,959.82
X,569,52,,1054.92
X,570,36,,1068.52
X,571,31,,1085.24
X,572,58,,1085.24
X,573,44,,1036.44
X,574,31,,1063.62
X,575,31,,1085.24
X,576,31,,1088.04
X,577,58,,1088.04
X,578,52,,1063.62
X,579,44,,1066.36
X,580,44,,1086.32
X,581,36,,1090.92
X,582,36,,1076.26
X,583,44,,1085.24
X,584,44,,1088.04
X,585,44,,1129.84
X,586,44,,1088.04
X,587,52,,1129.84
X,591,36,,1088.04
X,630,36,,1090.9
X,631,36,,1090.9
X,632,36,,1086.3
X,633,52,,1090.9
X,634,36,,1088
X,635,31,,1086.3
X,636,44,,1088
X,637,31,,1063.6
X,638,58,,1088
X,639,44,,1039.12
X,640,36,,1047.78
X,641,31,,1039.82
X,642,52,,1039.82
X,643,36,,1055.78
X,644,31,,1008.28
X,645,31,,1008.28
X,646,7,,1090.9
X,647,7,,959.8
X,648,52,,959.8
X,649,52,,959.8
X,650,44,,1074.2
X,651,44,,959.8
X,664,36,,1083
X,692,36,,915.48
X,701,36,,959.8
X,716,7,,1083
X,717,7,,1057.22
X,718,44,,1056.3
X,719,44,,1046.88
X,720,36,,1056.3
X,721,31,,1054.88
X,722,36,,1054.88
X,723,36,,1075.36
X,724,36,,1135.22
X,725,52,,1086.3
X,726,36,,1088
X,762,31,,1068.52
X,763,44,,1054.88
X,765,36,,1075.32
X,773,52,,1086.32
X,774,31,,1087.98
X,775,58,,1086.32
X,776,36,,1087.98
X,777,58,,1125.06
X,778,7,,1090.88
X,779,44,,1063.6
X,780,31,,1073.58
X,781,58,,1008.28
X,782,44,,1015.76
X,783,36,,1039.8
X,784,31,,1039.8
X,785,7,,1008.28
X,786,7,,1090.88
X,787,7,,1044.82
X,788,52,,1016.96
