VARIABLE	 PARCEL	coord_ID	 DEPOT	 VALUE	LAT 	LON
X	1	5	31	805.72	29.2377	-98.7698
X	2	8	31	1092.5	29.2277	-98.7798
X	5	14	36	1063.78	29.2177	-98.7898
X	70	114	58	1129.94	29.1677	-98.5698
X	71	115	36	1136.16	29.1577	-98.7998
X	72	118	36	1136.16	29.1577	-98.7698
X	73	119	36	1094.04	29.1577	-98.7598
X	74	120	52	1094.04	29.1577	-98.7498
X	75	121	31	1136.16	29.1577	-98.7398
X	76	122	7	1128.58	29.1577	-98.7298
X	77	124	31	1128.58	29.1577	-98.7098
X	79	126	44	1129.94	29.1577	-98.6898
X	80	130	36	1129.94	29.1577	-98.6498
X	83	135	36	1129.94	29.1577	-98.5998
X	141	259	44	1129.92	29.1177	-98.6198
X	142	260	31	1088.12	29.1177	-98.6098
X	143	261	31	1129.92	29.1177	-98.5998
X	210	347	44	1063.68	29.0977	-98.5298
X	211	348	36	1085.26	29.0977	-98.5198
X	212	349	44	1086.4	29.0977	-98.5098
X	213	350	44	1088.1	29.0977	-98.4998
X	214	351	52	1063.68	29.0977	-98.4898
X	215	352	31	1088.1	29.0977	-98.4798
X	216	353	58	1086.4	29.0977	-98.4698
X	217	355	44	1076.32	29.0977	-98.4498
X	218	356	31	1047.76	29.0977	-98.4398
X	219	357	7	1063.68	29.0977	-98.4298
X	220	358	44	1063.68	29.0977	-98.4198
X	221	359	36	1086.4	29.0977	-98.4098
X	222	360	31	1008.4	29.0977	-98.3998
X	223	361	7	1136.1	29.0877	-98.7998
X	224	362	36	1136.1	29.0877	-98.7898
X	225	363	31	1136.1	29.0877	-98.7798
X	280	422	44	1086.38	29.0777	-98.6098
X	281	423	31	1086.38	29.0777	-98.5998
X	282	424	31	1086.38	29.0777	-98.5898
X	283	425	36	1086.38	29.0777	-98.5798
X	284	426	52	1086.38	29.0777	-98.5698
X	285	427	31	1086.38	29.0777	-98.5598
X	286	428	52	1063.66	29.0777	-98.5498
X	287	429	36	1091.08	29.0777	-98.5398
X	288	430	31	1088.1	29.0777	-98.5298
X	289	432	7	1076.3	29.0777	-98.5098
X	290	433	36	1086.38	29.0777	-98.4998
X	291	434	31	1088.1	29.0777	-98.4898
X	292	435	58	1086.38	29.0777	-98.4798
X	293	436	7	1088.1	29.0777	-98.4698
X	294	437	31	1088.1	29.0777	-98.4598
X	295	438	31	1063.66	29.0777	-98.4498
X	296	439	7	1063.66	29.0777	-98.4398
X	297	440	52	1091.08	29.0777	-98.4298
X	298	441	44	1063.66	29.0777	-98.4198
X	299	442	36	1063.66	29.0777	-98.4098
X	300	443	36	1063.66	29.0777	-98.3998
X	352	499	36	1064.04	29.0577	-98.7098
X	353	500	31	1086.4	29.0577	-98.6998
X	354	502	52	1063.68	29.0577	-98.6798
X	355	503	31	1065.06	29.0577	-98.6698
X	356	504	52	1063.68	29.0577	-98.6598
X	357	505	36	1086.4	29.0577	-98.6498
X	359	507	7	1088.1	29.0577	-98.6298
X	360	508	36	1086.4	29.0577	-98.6198
X	361	509	31	1086.4	29.0577	-98.6098
X	362	510	7	1086.4	29.0577	-98.5998
X	363	511	44	1076.3	29.0577	-98.5898
X	364	512	36	1063.68	29.0577	-98.5798
X	365	513	7	1091.06	29.0577	-98.5698
X	366	514	7	1086.4	29.0577	-98.5598
X	367	515	52	1086.4	29.0577	-98.5498
X	368	516	44	1065.06	29.0577	-98.5398
X	369	517	44	1076.3	29.0577	-98.5298
X	370	518	36	1076.3	29.0577	-98.5198
X	371	519	36	1085.26	29.0577	-98.5098
X	372	520	36	1063.68	29.0577	-98.4998
X	374	522	31	1063.68	29.0577	-98.4798
X	375	523	36	1008.36	29.0577	-98.4698
X	409	560	44	1008.36	29.0477	-98.5498
X	410	561	36	1008.36	29.0477	-98.5398
X	421	572	44	1088.1	29.0477	-98.4298
X	422	573	52	1063.68	29.0477	-98.4198
X	423	574	31	1063.68	29.0477	-98.4098
X	424	575	44	1086.42	29.0477	-98.3998
X	425	576	31	1090.92	29.0477	-98.3898
X	426	579	52	1045.58	29.0477	-98.3598
X	427	580	36	1019.56	29.0477	-98.3498
X	437	592	52	1066.38	29.0377	-98.6898
X	438	593	36	1076.28	29.0377	-98.6798
X	439	594	36	1086.36	29.0377	-98.6698
X	440	595	36	1055.88	29.0377	-98.6598
X	480	638	31	1129.88	29.0277	-98.6898
X	481	640	52	1065	29.0277	-98.6698
X	482	641	31	1065	29.0277	-98.6598
X	484	643	31	1088.08	29.0277	-98.6398
X	485	644	31	1088.08	29.0277	-98.6298
X	492	651	58	1076.26	29.0277	-98.5598
X	493	652	36	1085.24	29.0277	-98.5498
X	494	654	52	1085.24	29.0277	-98.5298
X	495	655	36	1086.36	29.0277	-98.5198
X	496	656	58	1063.7	29.0277	-98.5098
X	497	657	36	1063.7	29.0277	-98.4998
X	498	658	31	1088.08	29.0277	-98.4898
X	499	659	52	1090.92	29.0277	-98.4798
X	500	660	44	1088.08	29.0277	-98.4698
X	501	661	31	1086.36	29.0277	-98.4598
X	502	662	31	1088.08	29.0277	-98.4498
X	503	664	52	1063.7	29.0277	-98.4298
X	504	665	36	1135.26	29.0277	-98.4198
X	505	666	31	1073.58	29.0277	-98.4098
X	506	667	31	1091	29.0277	-98.3998
X	508	669	7	1086.36	29.0277	-98.3798
X	509	670	58	1085.24	29.0277	-98.3698
X	510	671	52	1030.28	29.0277	-98.3598
X	511	672	52	959.82	29.0277	-98.3498
X	512	673	52	959.82	29.0277	-98.3398
X	513	674	52	959.82	29.0277	-98.3298
X	569	736	52	1054.92	29.0077	-98.6798
X	570	737	36	1068.52	29.0077	-98.6698
X	571	738	31	1085.24	29.0077	-98.6598
X	572	739	58	1085.24	29.0077	-98.6498
X	573	740	44	1036.44	29.0077	-98.6398
X	574	741	31	1063.62	29.0077	-98.6298
X	575	742	31	1085.24	29.0077	-98.6198
X	576	743	31	1088.04	29.0077	-98.6098
X	577	744	58	1088.04	29.0077	-98.5998
X	578	745	52	1063.62	29.0077	-98.5898
X	579	747	44	1066.36	29.0077	-98.5698
X	580	748	44	1086.32	29.0077	-98.5598
X	581	749	36	1090.92	29.0077	-98.5498
X	582	750	36	1076.26	29.0077	-98.5398
X	583	751	44	1085.24	29.0077	-98.5298
X	584	752	44	1088.04	29.0077	-98.5198
X	585	753	44	1129.84	29.0077	-98.5098
X	586	754	44	1088.04	29.0077	-98.4998
X	587	755	52	1129.84	29.0077	-98.4898
X	591	759	36	1088.04	29.0077	-98.4498
X	630	799	36	1090.9	28.9977	-98.5498
X	631	800	36	1090.9	28.9977	-98.5398
X	632	801	36	1086.3	28.9977	-98.5298
X	633	802	52	1090.9	28.9977	-98.5198
X	634	803	36	1088	28.9977	-98.5098
X	635	804	31	1086.3	28.9977	-98.4998
X	636	805	44	1088	28.9977	-98.4898
X	637	807	31	1063.6	28.9977	-98.4698
X	638	808	58	1088	28.9977	-98.4598
X	639	809	44	1039.12	28.9977	-98.4498
X	640	810	36	1047.78	28.9977	-98.4398
X	641	811	31	1039.82	28.9977	-98.4298
X	642	812	52	1039.82	28.9977	-98.4198
X	643	814	36	1055.78	28.9977	-98.3998
X	644	815	31	1008.28	28.9977	-98.3898
X	645	817	31	1008.28	28.9977	-98.3698
X	646	818	7	1090.9	28.9977	-98.3598
X	647	819	7	959.8	28.9977	-98.3498
X	648	820	52	959.8	28.9977	-98.3398
X	649	821	52	959.8	28.9977	-98.3298
X	650	823	44	1074.2	28.9977	-98.3098
X	651	824	44	959.8	28.9977	-98.2998
X	664	838	36	1083	28.9877	-98.6698
X	692	867	36	915.48	28.9877	-98.3798
X	701	876	36	959.8	28.9877	-98.2898
X	716	892	7	1083	28.9777	-98.6498
X	717	893	7	1057.22	28.9777	-98.6398
X	718	894	44	1056.3	28.9777	-98.6298
X	719	895	44	1046.88	28.9777	-98.6198
X	720	896	36	1056.3	28.9777	-98.6098
X	721	897	31	1054.88	28.9777	-98.5998
X	722	898	36	1054.88	28.9777	-98.5898
X	723	899	36	1075.36	28.9777	-98.5798
X	724	901	36	1135.22	28.9777	-98.5598
X	725	902	52	1086.3	28.9777	-98.5498
X	726	903	36	1088	28.9777	-98.5398
X	762	944	31	1068.52	28.9677	-98.6398
X	763	945	44	1054.88	28.9677	-98.6298
X	765	947	36	1075.32	28.9677	-98.6098
X	773	955	52	1086.32	28.9677	-98.5298
X	774	956	31	1087.98	28.9677	-98.5198
X	775	957	58	1086.32	28.9677	-98.5098
X	776	961	36	1087.98	28.9677	-98.4698
X	777	962	58	1125.06	28.9677	-98.4598
X	778	963	7	1090.88	28.9677	-98.4498
X	779	965	44	1063.6	28.9677	-98.4298
X	780	967	31	1073.58	28.9677	-98.4098
X	781	968	58	1008.28	28.9677	-98.3998
X	782	969	44	1015.76	28.9677	-98.3898
X	783	970	36	1039.8	28.9677	-98.3798
X	784	971	31	1039.8	28.9677	-98.3698
X	785	972	7	1008.28	28.9677	-98.3598
X	786	973	7	1090.88	28.9677	-98.3498
X	787	974	7	1044.82	28.9677	-98.3398
X	788	975	52	1016.96	28.9677	-98.3298
X	789	976	44	1034.28	28.9677	-98.3198
X	790	977	44	991.58	28.9677	-98.3098
X	791	978	44	1016.96	28.9677	-98.2998
X	792	979	36	1016.96	28.9677	-98.2898
