index,parcels,yield,county
1,5,8.0572,ATASCOSA
2,8,10.925,ATASCOSA
3,12,10.8602,ATASCOSA
4,13,10.6824,ATASCOSA
5,14,10.6378,ATASCOSA
6,15,10.7206,ATASCOSA
7,16,10.6378,ATASCOSA
8,17,10.925,ATASCOSA
9,18,10.925,ATASCOSA
10,19,10.8602,ATASCOSA
11,20,10.5644,ATASCOSA
12,24,10.7854,ATASCOSA
13,25,10.6824,ATASCOSA
14,26,10.7206,ATASCOSA
15,27,10.9248,ATASCOSA
16,28,10.9248,ATASCOSA
17,29,10.6402,ATASCOSA
18,30,10.8402,ATASCOSA
19,31,10.5912,ATASCOSA
20,33,11.286,ATASCOSA
21,34,10.8786,ATASCOSA
22,35,10.602,ATASCOSA
23,36,10.7206,ATASCOSA
24,37,10.6824,ATASCOSA
25,38,10.9248,ATASCOSA
26,39,10.9248,ATASCOSA
27,40,10.7206,ATASCOSA
28,41,10.9248,ATASCOSA
29,42,10.8402,ATASCOSA
30,43,10.8402,ATASCOSA
31,44,10.8786,ATASCOSA
32,45,10.64,ATASCOSA
33,46,10.7978,ATASCOSA
34,49,10.8402,ATASCOSA
35,50,10.8642,ATASCOSA
36,51,10.8642,ATASCOSA
37,52,10.939,ATASCOSA
38,53,10.7206,ATASCOSA
39,54,10.9248,ATASCOSA
40,55,10.943,ATASCOSA
41,56,10.9248,ATASCOSA
42,57,10.939,ATASCOSA
43,58,10.939,ATASCOSA
44,59,10.8786,ATASCOSA
45,61,11.286,ATASCOSA
46,65,10.8642,ATASCOSA
47,66,10.8814,ATASCOSA
48,69,11.2994,ATASCOSA
49,70,11.3616,ATASCOSA
50,71,11.3616,ATASCOSA
51,72,11.3616,ATASCOSA
52,74,10.939,ATASCOSA
53,75,10.939,ATASCOSA
54,76,10.939,ATASCOSA
55,77,11.2858,ATASCOSA
56,86,11.2994,ATASCOSA
57,88,11.2994,ATASCOSA
58,91,11.3616,ATASCOSA
59,92,11.3616,ATASCOSA
60,93,11.3616,ATASCOSA
61,94,11.3616,ATASCOSA
62,95,10.939,ATASCOSA
63,96,11.3616,ATASCOSA
64,107,11.2994,ATASCOSA
65,108,11.2994,ATASCOSA
66,110,11.2994,ATASCOSA
67,111,11.2994,ATASCOSA
68,112,11.2994,ATASCOSA
69,113,11.2994,ATASCOSA
70,114,11.2994,ATASCOSA
71,115,11.3616,ATASCOSA
72,118,11.3616,ATASCOSA
73,119,10.9404,ATASCOSA
74,120,10.9404,ATASCOSA
75,121,11.3616,ATASCOSA
76,122,11.2858,ATASCOSA
77,124,11.2858,ATASCOSA
78,125,11.2858,ATASCOSA
79,126,11.2994,ATASCOSA
80,130,11.2994,ATASCOSA
81,131,10.8812,ATASCOSA
82,132,10.8812,ATASCOSA
83,135,11.2994,ATASCOSA
84,136,11.2994,ATASCOSA
85,137,11.2994,ATASCOSA
86,138,11.2994,ATASCOSA
87,139,11.2994,ATASCOSA
88,146,11.3616,ATASCOSA
89,147,11.3616,ATASCOSA
90,148,10.9404,ATASCOSA
91,149,11.3616,ATASCOSA
92,150,10.8772,ATASCOSA
93,154,11.2994,ATASCOSA
94,156,11.2994,ATASCOSA
95,161,11.2994,ATASCOSA
96,163,11.2994,ATASCOSA
97,164,11.2994,ATASCOSA
98,166,11.2994,ATASCOSA
99,167,11.2994,ATASCOSA
100,168,11.2994,ATASCOSA
101,169,11.2994,ATASCOSA
102,176,11.3616,ATASCOSA
103,177,11.3616,ATASCOSA
104,178,10.9404,ATASCOSA
105,179,10.9404,ATASCOSA
106,184,11.2992,ATASCOSA
107,190,10.8814,ATASCOSA
108,191,11.2992,ATASCOSA
109,192,11.2992,ATASCOSA
110,193,11.2992,ATASCOSA
111,194,11.2992,ATASCOSA
112,195,10.8814,ATASCOSA
113,196,11.2992,ATASCOSA
114,199,11.2992,ATASCOSA
115,203,11.2992,ATASCOSA
116,204,11.2992,ATASCOSA
117,215,11.2992,ATASCOSA
118,219,11.2992,ATASCOSA
119,220,11.2992,ATASCOSA
120,224,11.2992,ATASCOSA
121,225,11.2992,ATASCOSA
122,226,11.2992,ATASCOSA
123,227,11.2992,ATASCOSA
124,228,10.8812,ATASCOSA
125,230,10.8812,ATASCOSA
126,231,11.2992,ATASCOSA
127,233,10.8812,ATASCOSA
128,235,10.8812,ATASCOSA
129,236,10.8812,ATASCOSA
130,238,10.8812,ATASCOSA
131,239,10.864,ATASCOSA
132,240,10.8812,ATASCOSA
133,241,10.9402,ATASCOSA
134,249,11.3736,ATASCOSA
135,250,10.8812,ATASCOSA
136,251,10.3938,ATASCOSA
137,253,11.2992,ATASCOSA
138,254,11.2992,ATASCOSA
139,255,11.2992,ATASCOSA
140,257,10.8812,ATASCOSA
141,259,11.2992,ATASCOSA
142,260,10.8812,ATASCOSA
143,261,11.2992,ATASCOSA
144,262,11.2992,ATASCOSA
145,263,11.2992,ATASCOSA
146,264,11.2992,ATASCOSA
147,266,10.8812,ATASCOSA
148,267,10.8812,ATASCOSA
149,268,11.2992,ATASCOSA
150,269,10.8812,ATASCOSA
151,270,10.8812,ATASCOSA
152,271,10.6374,ATASCOSA
153,273,10.8812,ATASCOSA
154,274,11.3532,ATASCOSA
155,275,10.651,ATASCOSA
156,276,10.864,ATASCOSA
157,277,10.864,ATASCOSA
158,278,10.7632,ATASCOSA
159,279,10.864,ATASCOSA
160,280,11.3612,ATASCOSA
161,281,11.3612,ATASCOSA
162,285,11.3612,ATASCOSA
163,289,10.881,ATASCOSA
164,290,10.881,ATASCOSA
165,291,11.2992,ATASCOSA
166,292,11.2992,ATASCOSA
167,293,11.2992,ATASCOSA
168,294,10.881,ATASCOSA
169,295,10.881,ATASCOSA
170,296,10.881,ATASCOSA
171,297,10.881,ATASCOSA
172,298,10.881,ATASCOSA
173,302,11.2992,ATASCOSA
174,303,11.2992,ATASCOSA
175,304,10.881,ATASCOSA
176,305,10.881,ATASCOSA
177,306,10.864,ATASCOSA
178,307,10.864,ATASCOSA
179,308,10.7632,ATASCOSA
180,309,10.881,ATASCOSA
181,310,10.6368,ATASCOSA
182,311,10.7364,ATASCOSA
183,312,10.651,ATASCOSA
184,313,10.6368,ATASCOSA
185,314,10.7632,ATASCOSA
186,315,10.864,ATASCOSA
187,316,10.864,ATASCOSA
188,317,10.864,ATASCOSA
189,318,10.6368,ATASCOSA
190,319,10.5582,ATASCOSA
191,321,11.361,ATASCOSA
192,322,11.361,ATASCOSA
193,324,10.9402,ATASCOSA
194,325,11.361,ATASCOSA
195,326,11.3734,ATASCOSA
196,329,11.2992,ATASCOSA
197,330,10.881,ATASCOSA
198,332,10.881,ATASCOSA
199,333,10.881,ATASCOSA
200,334,10.881,ATASCOSA
201,336,10.881,ATASCOSA
202,337,10.881,ATASCOSA
203,338,10.881,ATASCOSA
204,339,10.881,ATASCOSA
205,340,10.881,ATASCOSA
206,342,10.881,ATASCOSA
207,343,10.864,ATASCOSA
208,344,10.864,ATASCOSA
209,345,10.864,ATASCOSA
210,347,10.6368,ATASCOSA
211,348,10.8526,ATASCOSA
212,349,10.864,ATASCOSA
213,350,10.881,ATASCOSA
214,351,10.6368,ATASCOSA
215,352,10.881,ATASCOSA
216,353,10.864,ATASCOSA
217,355,10.7632,ATASCOSA
218,356,10.4776,ATASCOSA
219,357,10.6368,ATASCOSA
220,358,10.6368,ATASCOSA
221,359,10.864,ATASCOSA
222,360,10.084,ATASCOSA
223,361,11.361,ATASCOSA
224,362,11.361,ATASCOSA
225,363,11.361,ATASCOSA
226,364,1.5276,ATASCOSA
227,365,1.5276,ATASCOSA
228,366,1.5276,ATASCOSA
229,367,1.5276,ATASCOSA
230,368,11.3734,ATASCOSA
231,369,11.3734,ATASCOSA
232,370,11.3734,ATASCOSA
233,371,10.881,ATASCOSA
234,372,8.18,ATASCOSA
235,373,10.881,ATASCOSA
236,374,10.881,ATASCOSA
237,375,11.353,ATASCOSA
238,376,8.18,ATASCOSA
239,377,10.558,ATASCOSA
240,378,10.637,ATASCOSA
241,379,11.353,ATASCOSA
242,380,10.8636,ATASCOSA
243,381,10.8636,ATASCOSA
244,382,10.8636,ATASCOSA
245,383,10.8636,ATASCOSA
246,384,10.637,ATASCOSA
247,385,10.8636,ATASCOSA
248,386,10.8636,ATASCOSA
249,387,10.558,ATASCOSA
250,388,10.8636,ATASCOSA
251,389,10.881,ATASCOSA
252,390,10.637,ATASCOSA
253,391,11.2992,ATASCOSA
254,392,10.8636,ATASCOSA
255,394,10.637,ATASCOSA
256,395,10.637,ATASCOSA
257,396,10.3934,ATASCOSA
258,398,10.3934,ATASCOSA
