var, orig, dest, value,
0,,,5.271759306582806e7,
1,7,,1,
1,36,,1,
1,45,,1,
3,16,45,1061.20,
3,17,7,1036.10,
3,21,45,1149.00,
3,30,45,1110.70,
3,36,36,1070.60,
3,43,45,1099.00,
3,87,36,1099.00,
3,92,45,987.60,
3,96,7,1059.90,
3,97,36,987.60,
3,110,7,1077.00,
3,118,36,1050.70,
3,120,7,1044.20,
3,121,7,1099.00,
3,122,36,1028.20,
3,123,36,1065.90,
3,124,36,1126.00,
3,127,36,999.40,
3,186,7,1111.20,
3,187,36,1159.20,
3,197,45,1159.20,
3,201,36,1057.60,
3,243,7,999.40,
3,246,45,1044.20,
3,247,7,1126.00,
3,250,36,1040.00,
3,252,36,978.10,
3,263,36,1044.20,
3,265,7,1044.20,
3,277,7,1055.40,
3,278,36,1070.50,
3,279,36,999.90,
3,280,7,1063.80,
3,281,45,1059.90,
3,282,36,1059.90,
3,283,36,1060.50,
3,284,36,1149.00,
3,323,45,1011.30,
3,324,45,1044.20,
3,325,45,1044.20,
3,326,7,1053.20,
3,327,36,1099.00,
3,334,36,1080.00,
3,341,7,1060.50,
3,345,36,1088.30,
3,361,36,1061.20,
3,370,45,1011.30,
3,371,36,1011.30,
3,403,36,1082.40,
3,404,36,1099.00,
3,405,36,1070.40,
3,406,36,1082.40,
3,407,36,1055.40,
3,408,45,1016.20,
3,409,45,1060.50,
3,410,45,1087.80,
3,439,7,1044.20,
3,440,45,1040.00,
3,441,36,1076.00,
3,442,7,1011.20,
3,443,7,999.40,
3,444,7,1011.20,
3,445,36,999.40,
3,446,36,999.40,
3,447,36,1099.00,
3,448,36,1006.40,
3,449,36,1044.20,
3,450,7,1044.20,
3,491,36,1159.20,
3,509,45,1044.20,
3,519,45,1048.60,
3,520,36,999.40,
3,521,7,1065.80,
3,522,7,1159.20,
3,523,7,1039.90,
3,524,45,999.40,
3,525,36,1050.60,
3,526,7,1050.60,
3,527,7,1103.00,
3,528,7,991.10,
3,529,7,1062.00,
3,530,7,1062.00,
3,531,7,1062.00,
3,537,45,1060.00,
3,538,45,1114.60,
3,539,36,1080.90,
3,543,45,1080.90,
3,566,7,1105.60,
3,570,36,1011.20,
3,571,36,1011.20,
3,572,36,1011.20,
3,573,45,999.30,
3,576,7,1044.20,
3,578,36,1065.80,
3,579,45,1050.60,
3,583,45,1065.80,
3,600,45,1051.30,
