VARIABLE, PARCEL, DEPOT, PLANT, VALUE
TC,,,,5.71E+07
D,,3,,1
D,,11,,1
D,,31,,1
D,,36,,1
D,,45,,1
D,,52,,1
X,1,31,,705.18
X,2,3,,1053.98
X,3,45,,1116.5
X,5,36,,1008.2
X,71,36,,1083.68
X,72,36,,1083.68
X,73,36,,1061.52
X,74,52,,1138.24
X,75,36,,1153.66
X,76,52,,1143.38
X,77,36,,1143.38
X,79,44,,0
X,79,45,,1122.46
X,80,36,,1122.46
X,83,36,,1146.78
X,141,44,,0
X,141,45,,1103.06
X,142,3,,1083.46
X,211,31,,0
X,211,44,,0
X,211,45,,1084.86
X,212,43,,0
X,212,44,,0
X,212,45,,1074.02
X,213,11,,0
X,213,44,,0
X,213,45,,1077.2
X,214,56,,0
X,215,36,,1077.2
X,217,3,,0
X,217,45,,1066.34
X,218,31,,991
X,219,11,,1031.18
X,220,43,,0
X,220,44,,0
X,220,45,,1031.18
X,220,50,,0
X,221,31,,1069.52
X,222,31,,1035.08
X,223,11,,1080.62
X,224,3,,0
X,224,44,,0
X,224,45,,1080.62
X,225,31,,1080.62
X,280,36,,1074.04
X,281,36,,1074.04
X,282,36,,1074.04
X,283,36,,1074.04
X,284,52,,1074.04
X,285,36,,1074.04
X,286,56,,0
X,287,44,,0
X,287,45,,1087.8
X,288,36,,1083.44
X,289,11,,1070.5
X,290,36,,1069.52
X,291,36,,1077.06
X,292,36,,1069.52
X,293,3,,0
X,293,45,,1077.06
X,294,36,,1077.06
X,295,36,,1031.18
X,297,3,,1080.5
X,299,45,,1031.18
X,352,36,,1016.66
X,353,36,,1051.82
X,354,52,,1014.6
X,355,36,,1036.84
X,356,52,,1014.6
X,357,36,,1051.82
X,358,31,,1014.6
X,359,52,,1057.28
X,360,44,,0
X,360,45,,1073.96
X,361,36,,1073.96
X,362,31,,1073.96
X,363,3,,0
X,363,45,,1070.44
X,364,31,,1030.6
X,365,31,,1087.8
X,367,3,,1073.96
X,368,3,,1064.26
X,369,44,,0
X,369,45,,1070.44
X,370,36,,0
X,370,45,,1070.44
X,371,36,,1084.7
X,372,36,,1031.18
X,374,36,,1031.18
X,410,44,,0
X,422,31,,1031.16
X,423,31,,1031.16
X,424,52,,1069.54
X,425,31,,1087.74
X,426,56,,0
X,427,36,,1069.34
X,439,45,,1051.74
X,480,31,,1082
X,484,36,,1057.24
X,485,36,,1057.24
X,492,31,,1070.42
X,493,36,,0
X,493,44,,0
X,493,45,,1084.68
X,495,36,,1073.94
X,496,31,,1030.58
X,497,43,,0
X,497,44,,0
X,497,45,,1031.12
X,498,36,,1077
X,499,11,,1087.72
X,500,45,,1077
X,500,52,,0
X,501,36,,1069.56
X,502,31,,1077
X,503,11,,1031.12
X,504,43,,0
X,504,44,,0
X,504,45,,1154.5
X,505,36,,1046.22
X,506,31,,1080.26
X,507,31,,1087.86
X,508,11,,1069.56
X,509,11,,1097.12
X,510,3,,1074.4
X,511,3,,1048.16
X,512,3,,1048.16
X,513,3,,1048.16
X,569,52,,1014.58
X,570,3,,0
X,570,44,,0
X,570,45,,1046.7
X,571,36,,1060.56
X,572,31,,1060.56
X,573,3,,1020.66
X,574,36,,1014.52
X,575,31,,1084.6
X,576,36,,1083.42
X,577,11,,1083.42
X,578,3,,1030.56
X,579,52,,1075.36
