VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
D,0,3,1,-98.55479,29.1627
D,0,31,1,-98.20511,29.3224
D,0,36,1,-98.28511,29.2424
D,0,52,1,-98.20511,29.08235
X,1,31,705.18,-98.7698,29.2377
X,2,3,1053.98,-98.7798,29.2277
X,71,36,1083.68,-98.7998,29.1577
X,72,36,1083.68,-98.7698,29.1577
X,73,36,1061.52,-98.7598,29.1577
X,74,52,1138.24,-98.7498,29.1577
X,75,31,1153.66,-98.7398,29.1577
X,76,52,1143.38,-98.7298,29.1577
X,77,36,1143.38,-98.7098,29.1577
X,80,36,1122.46,-98.6498,29.1577
X,142,3,1083.46,-98.6098,29.1177
X,213,52,1077.2,-98.4998,29.0977
X,214,31,1031.18,-98.4898,29.0977
X,215,36,1077.2,-98.4798,29.0977
X,216,31,1069.52,-98.4698,29.0977
X,217,3,1066.34,-98.4498,29.0977
X,218,31,991,-98.4398,29.0977
X,220,52,1031.18,-98.4198,29.0977
X,221,31,1069.52,-98.4098,29.0977
X,222,31,1035.08,-98.3998,29.0977
X,225,31,1080.62,-98.7798,29.0877
X,280,36,1074.04,-98.6098,29.0777
X,281,36,1074.04,-98.5998,29.0777
X,282,36,1074.04,-98.5898,29.0777
X,283,36,1074.04,-98.5798,29.0777
X,284,52,1074.04,-98.5698,29.0777
X,285,36,1074.04,-98.5598,29.0777
X,286,52,1030.64,-98.5498,29.0777
X,287,3,1087.8,-98.5398,29.0777
X,288,31,1083.44,-98.5298,29.0777
X,289,52,1070.5,-98.5098,29.0777
X,290,36,1069.52,-98.4998,29.0777
X,291,36,1077.06,-98.4898,29.0777
X,292,36,1069.52,-98.4798,29.0777
X,293,3,1077.06,-98.4698,29.0777
X,294,36,1077.06,-98.4598,29.0777
X,297,3,1080.5,-98.4298,29.0777
X,352,36,1016.66,-98.7098,29.0577
X,353,36,1051.82,-98.6998,29.0577
X,354,52,1014.6,-98.6798,29.0577
X,355,36,1036.84,-98.6698,29.0577
X,356,52,1014.6,-98.6598,29.0577
X,357,36,1051.82,-98.6498,29.0577
X,358,31,1014.6,-98.6398,29.0577
X,359,52,1057.28,-98.6298,29.0577
X,360,36,1073.96,-98.6198,29.0577
X,361,36,1073.96,-98.6098,29.0577
X,362,31,1073.96,-98.5998,29.0577
X,363,3,1070.44,-98.5898,29.0577
X,364,31,1030.6,-98.5798,29.0577
X,365,31,1087.8,-98.5698,29.0577
X,367,3,1073.96,-98.5498,29.0577
X,368,3,1064.26,-98.5398,29.0577
X,422,3,1031.16,-98.4198,29.0477
X,423,31,1031.16,-98.4098,29.0477
X,424,52,1069.54,-98.3998,29.0477
X,425,31,1087.74,-98.3898,29.0477
X,426,52,1098.78,-98.3598,29.0477
X,427,36,1069.34,-98.3498,29.0477
X,480,31,1082,-98.6898,29.0277
X,484,36,1057.24,-98.6398,29.0277
X,485,36,1057.24,-98.6298,29.0277
X,492,31,1070.42,-98.5598,29.0277
X,493,3,1084.68,-98.5498,29.0277
X,494,52,1084.68,-98.5298,29.0277
X,495,36,1073.94,-98.5198,29.0277
X,496,31,1030.58,-98.5098,29.0277
X,497,3,1031.12,-98.4998,29.0277
X,498,36,1077,-98.4898,29.0277
X,500,52,1077,-98.4698,29.0277
X,501,36,1069.56,-98.4598,29.0277
X,502,31,1077,-98.4498,29.0277
X,504,52,1154.5,-98.4198,29.0277
X,505,36,1046.22,-98.4098,29.0277
X,506,31,1080.26,-98.3998,29.0277
X,507,31,1087.86,-98.3898,29.0277
X,510,3,1074.4,-98.3598,29.0277
X,511,3,1048.16,-98.3498,29.0277
X,512,3,1048.16,-98.3398,29.0277
X,569,52,1014.58,-98.6798,29.0077
X,570,3,1046.7,-98.6698,29.0077
X,571,36,1060.56,-98.6598,29.0077
X,572,31,1060.56,-98.6498,29.0077
X,573,3,1020.66,-98.6398,29.0077
X,574,36,1014.52,-98.6298,29.0077
X,575,31,1084.6,-98.6198,29.0077
X,576,31,1083.42,-98.6098,29.0077
X,577,31,1083.42,-98.5998,29.0077
X,578,3,1030.56,-98.5898,29.0077
X,579,52,1075.36,-98.5698,29.0077
X,580,52,1073.88,-98.5598,29.0077
X,581,3,1089.82,-98.5498,29.0077
X,583,3,1084.6,-98.5298,29.0077
X,584,52,1083.42,-98.5198,29.0077
X,585,52,1102.98,-98.5098,29.0077
X,632,52,1021.12,-98.5298,28.9977
X,633,31,1038.22,-98.5198,28.9977
X,634,3,1022.76,-98.5098,28.9977
X,635,31,1038.58,-98.4998,28.9977
X,636,52,1044.06,-98.4898,28.9977
X,637,36,1002.5,-98.4698,28.9977
X,638,31,1044.06,-98.4598,28.9977
X,639,52,982.48,-98.4498,28.9977
X,640,52,967.46,-98.4398,28.9977
X,641,36,962.32,-98.4298,28.9977
X,642,31,962.32,-98.4198,28.9977
X,643,3,993.84,-98.3998,28.9977
X,644,36,1006.1,-98.3898,28.9977
X,645,31,1036.02,-98.3698,28.9977
X,646,31,1092.38,-98.3598,28.9977
X,647,31,1032.32,-98.3498,28.9977
X,648,3,1032.32,-98.3398,28.9977
X,649,3,1032.32,-98.3298,28.9977
X,650,3,1145.6,-98.3098,28.9977
X,651,52,1032.32,-98.2998,28.9977
X,715,31,1014.56,-98.6598,28.9777
X,716,31,1028.02,-98.6498,28.9777
X,717,3,1014.56,-98.6398,28.9777
X,718,3,1001.8,-98.6298,28.9777
X,719,3,974.2,-98.6198,28.9777
X,720,3,1009.7,-98.6098,28.9777
X,721,36,985.72,-98.5998,28.9777
X,722,36,985.72,-98.5898,28.9777
X,723,36,1020.04,-98.5798,28.9777
X,724,52,1095.3,-98.5598,28.9777
X,725,3,1021.1,-98.5498,28.9777
X,726,3,1022.72,-98.5398,28.9777
X,774,3,1022.74,-98.5198,28.9677
X,776,52,1043.94,-98.4698,28.9677
X,777,36,1079.66,-98.4598,28.9677
X,779,52,1002.48,-98.4298,28.9677
X,780,36,1014.56,-98.4098,28.9677
X,781,31,1006.14,-98.3998,28.9677
X,782,52,969.32,-98.3898,28.9677
X,783,3,962.12,-98.3798,28.9677
X,784,36,994.36,-98.3698,28.9677
X,785,31,1035.92,-98.3598,28.9677
X,789,3,1082.34,-98.3198,28.9677
X,790,3,1011.18,-98.3098,28.9677
X,791,52,1063.62,-98.2998,28.9677
X,830,36,1041.2,-98.3398,28.9577
X,831,52,1102.22,-98.3298,28.9577
X,832,31,1082.3,-98.3198,28.9577
X,833,3,1082.3,-98.3098,28.9577
X,835,36,1078.14,-98.2898,28.9577
X,836,52,1082.3,-98.2798,28.9577
X,837,36,1145.56,-98.2698,28.9577
X,851,36,1019.98,-98.5998,28.9477
X,853,3,1009.66,-98.5798,28.9477
X,854,36,1009.66,-98.5698,28.9477
X,855,31,974.2,-98.5598,28.9477
X,856,36,974.2,-98.5498,28.9477
X,857,31,985.7,-98.5398,28.9477
X,860,3,962.78,-98.4998,28.9477
X,861,3,1016.42,-98.4898,28.9477
X,862,3,1006.14,-98.4798,28.9477
X,863,3,1006.14,-98.4698,28.9477
X,864,3,1035.52,-98.4598,28.9477
X,865,3,993.66,-98.4498,28.9477
X,867,31,1044.02,-98.4198,28.9477
X,868,31,1014.08,-98.4098,28.9477
X,869,31,1044.02,-98.3998,28.9477
X,870,36,1014.08,-98.3898,28.9477
X,871,52,1053.54,-98.3798,28.9477
X,872,52,1059.92,-98.3698,28.9477
X,874,52,1086.96,-98.3498,28.9477
X,876,36,1081.06,-98.3198,28.9477
X,877,36,1032.26,-98.3098,28.9477
X,920,36,1031.5,-98.3698,28.9377
X,921,36,1035.9,-98.3598,28.9377
X,922,52,1086.96,-98.3498,28.9377
X,923,36,1082.62,-98.3398,28.9377
X,924,36,1078.16,-98.3298,28.9377
X,925,31,1083.16,-98.3198,28.9377
X,926,31,1032.24,-98.2998,28.9377
X,927,3,1026.64,-98.2898,28.9377
X,928,3,1007.44,-98.2798,28.9377
X,929,3,1063.6,-98.2698,28.9377
X,930,3,1032.24,-98.2598,28.9377
X,931,52,1048.16,-98.2498,28.9377
X,1001,52,946.6,-98.6198,28.9177
X,1002,52,946.6,-98.6098,28.9177
X,1003,52,1009.64,-98.5998,28.9177
X,1004,3,1009.64,-98.5898,28.9177
X,1005,3,1098.36,-98.5798,28.9177
X,1006,3,1099.54,-98.5698,28.9177
X,1008,31,932.42,-98.5298,28.9177
X,1009,31,1009.64,-98.5198,28.9177
X,1010,36,1030.48,-98.5098,28.9177
X,1011,36,962.74,-98.4998,28.9177
X,1012,52,1055,-98.4898,28.9177
X,1013,52,1055.68,-98.4798,28.9177
X,1015,36,1055,-98.4598,28.9177
X,1016,36,1055,-98.4498,28.9177
X,1017,31,1032.36,-98.4298,28.9177
X,1056,36,946.6,-98.5898,28.9077
X,1059,3,1035.18,-98.5398,28.9077
X,1060,36,1009.6,-98.5298,28.9077
X,1061,52,979.38,-98.5198,28.9077
X,1062,3,1009.6,-98.5098,28.9077
X,1063,36,1055,-98.4998,28.9077
X,1064,31,1008.9,-98.4898,28.9077
X,1065,31,1055,-98.4798,28.9077
X,1067,3,1055.68,-98.4498,28.9077
X,1068,3,1008.9,-98.4398,28.9077
X,1069,52,1032.34,-98.4298,28.9077
X,1070,52,1032.34,-98.4198,28.9077
X,1071,52,1045.64,-98.4098,28.9077
X,1072,52,1055,-98.3998,28.9077
X,1073,52,1045.64,-98.3898,28.9077
X,1074,3,1001.66,-98.3798,28.9077
X,1075,3,1041.98,-98.3698,28.9077
X,1076,3,1078.84,-98.3598,28.9077
X,1079,31,1078.18,-98.3298,28.9077
X,1080,31,1063.66,-98.3098,28.9077
X,1081,31,1078.18,-98.2998,28.9077
X,1129,36,1096.18,-98.3698,28.8977
X,1131,52,1080.24,-98.3498,28.8977
X,1132,52,1154.4,-98.3398,28.8977
X,1133,31,1063.64,-98.3298,28.8977
X,1134,36,1083.3,-98.3198,28.8977
X,1135,31,1078.14,-98.3098,28.8977
X,1136,3,991.92,-98.2998,28.8977
X,1137,3,1087.5,-98.2898,28.8977
X,1138,52,1087.5,-98.2698,28.8977
X,1139,3,1041.2,-98.2598,28.8977
X,1140,52,1059.02,-98.2498,28.8977
X,1141,52,1111.88,-98.2398,28.8977
X,1142,52,1170.54,-98.2298,28.8977
X,1143,52,1081.96,-98.2198,28.8977
X,1144,3,1065.2,-98.2098,28.8977
X,1185,36,1084.76,-98.3298,28.8877
X,1186,36,1081.42,-98.3198,28.8877
X,1217,3,946.56,-98.5898,28.8777
X,1221,31,946.56,-98.5398,28.8777
X,1222,36,979.3,-98.5298,28.8777
X,1223,36,1009.52,-98.5098,28.8777
X,1224,31,993.26,-98.4998,28.8777
X,1278,3,1040.82,-98.4898,28.8677
X,1279,3,1030.52,-98.4798,28.8677
X,1280,52,1038.22,-98.4698,28.8677
X,1281,52,1006.16,-98.4598,28.8677
X,1282,52,1056.96,-98.4498,28.8677
X,1283,3,1056.96,-98.4398,28.8677
X,1284,3,1004.48,-98.4298,28.8677
X,1285,3,1056.96,-98.4198,28.8677
X,1289,31,1041.58,-98.3698,28.8677
X,1290,36,1127.44,-98.3598,28.8677
X,1294,31,1128.68,-98.3198,28.8677
X,1295,36,1128.68,-98.3098,28.8677
X,1296,31,1127.12,-98.2998,28.8677
X,1342,31,1038.2,-98.4198,28.8577
X,1346,3,1027.28,-98.3798,28.8577
X,1347,52,1127.5,-98.3598,28.8577
X,1348,52,1127.5,-98.3498,28.8577
X,1350,52,1079.66,-98.3298,28.8577
X,1351,52,1019.48,-98.3198,28.8577
X,1352,52,1039.02,-98.3098,28.8577
X,1353,52,1039.02,-98.2998,28.8577
X,1354,52,1111.54,-98.2898,28.8577
X,1355,3,1039.02,-98.2798,28.8577
X,1356,3,1139.8,-98.2698,28.8577
X,1357,31,1197.54,-98.2598,28.8577
X,1358,31,1250.38,-98.2498,28.8577
X,1359,31,1109.06,-98.2398,28.8577
X,1360,36,1152.72,-98.2298,28.8577
X,1361,36,1122.66,-98.2198,28.8577
X,1362,36,1109.06,-98.2098,28.8577
X,1363,36,1071.88,-98.1898,28.8577
X,1364,31,1071.88,-98.1798,28.8577
X,1365,31,647.4,-98.1698,28.8577
X,1412,36,1039.02,-98.2898,28.8477
X,1417,3,1152.72,-98.2398,28.8477
X,1418,52,921.2,-98.2298,28.8477
X,1419,52,1152.72,-98.2198,28.8477
X,1420,52,1141,-98.2098,28.8477
X,1422,52,1109.06,-98.1898,28.8477
X,1425,3,743.22,-98.1598,28.8477
X,1572,36,953.36,-98.5498,28.8177
X,1573,31,1001.62,-98.5398,28.8177
X,1577,3,1121.16,-98.4998,28.8177
X,1637,3,1001.6,-98.5298,28.8077
X,1639,31,953.36,-98.5098,28.8077
X,1640,31,1067.82,-98.4998,28.8077
X,1641,36,1121.16,-98.4898,28.8077
X,1642,36,1056.82,-98.4798,28.8077
X,1643,31,1051.2,-98.4698,28.8077
X,1644,31,1019.44,-98.4598,28.8077
X,1647,3,1027.28,-98.4298,28.8077
X,1676,31,1152.62,-98.1298,28.8077
X,1703,36,953.36,-98.5298,28.7977
X,1704,52,1008.52,-98.5198,28.7977
X,1706,3,1052.06,-98.4898,28.7977
X,1707,3,1121.12,-98.4798,28.7977
X,1711,31,1056.1,-98.4398,28.7977
X,1712,31,1077.52,-98.4298,28.7977
X,1717,3,1004.54,-98.3798,28.7977
X,1771,36,953.36,-98.5298,28.7877
X,1777,3,1027.2,-98.4498,28.7877
X,1781,31,1038.18,-98.4098,28.7877
X,1786,3,1127.32,-98.3598,28.7877
X,1787,52,1127.32,-98.3498,28.7877
X,1842,36,1056.78,-98.4598,28.7777
X,1843,36,1056.78,-98.4498,28.7777
X,1844,52,1056.78,-98.4398,28.7777
X,1845,52,1056.78,-98.4298,28.7777
X,1847,3,1121.16,-98.3998,28.7777
X,1848,3,1045.8,-98.3898,28.7777
X,1850,31,1127.34,-98.3698,28.7777
X,1852,31,1127.22,-98.3498,28.7777
X,1853,31,1067.26,-98.3398,28.7777
X,1855,3,1114.6,-98.3198,28.7777
X,1856,3,1140.24,-98.3098,28.7777
X,1857,52,1149.58,-98.2998,28.7777
X,1858,36,1123.18,-98.2898,28.7777
X,1908,31,1121.12,-98.4698,28.7677
X,1910,31,962.2,-98.4498,28.7677
X,1911,36,1056.06,-98.4398,28.7677
X,1912,36,962.2,-98.4298,28.7677
X,1913,36,1056.8,-98.4198,28.7677
X,1915,52,1121.12,-98.3898,28.7677
X,1917,3,1069.24,-98.3698,28.7677
X,1921,31,1129.78,-98.3298,28.7677
X,1925,3,1139.66,-98.2798,28.7677
X,1926,3,1126.84,-98.2698,28.7677
X,1928,3,805.58,-98.2498,28.7677
X,1989,31,1139.66,-98.2898,28.7577
X,1990,31,1039,-98.2798,28.7577
X,1991,31,1197.34,-98.2698,28.7577
X,1993,3,1122.02,-98.2498,28.7577
X,1996,3,1250.16,-98.2198,28.7577
X,1997,52,1250.16,-98.2098,28.7577
