VARIABLE,DEPOT,PARCEL,VALUE,Coord_ID,YLT,XLON
D,3,0,1,0,29.1627,-98.5548
D,11,0,1,0,28.9628,-98.4548
D,31,0,1,0,29.3224,-98.2051
D,36,0,1,0,29.2424,-98.2851
D,45,0,1,0,29.1624,-98.2051
D,52,0,1,0,29.0824,-98.2051
X,0,1,705.18,5,29.2377,-98.7698
X,0,2,1053.98,8,29.2277,-98.7798
X,0,3,1116.5,12,29.2277,-98.7398
X,0,5,1008.2,14,29.2177,-98.7898
X,0,71,1083.68,115,29.1577,-98.7998
X,0,72,1083.68,118,29.1577,-98.7698
X,0,73,1061.52,119,29.1577,-98.7598
X,0,74,1138.24,120,29.1577,-98.7498
X,0,75,1153.66,121,29.1577,-98.7398
X,0,76,1143.38,122,29.1577,-98.7298
X,0,77,1143.38,124,29.1577,-98.7098
X,0,79,0,126,29.1577,-98.6898
X,0,79,1122.46,126,29.1577,-98.6898
X,0,80,1122.46,130,29.1577,-98.6498
X,0,83,1146.78,135,29.1577,-98.5998
X,0,141,0,259,29.1177,-98.6198
X,0,141,1103.06,259,29.1177,-98.6198
X,0,142,1083.46,260,29.1177,-98.6098
X,0,211,0,348,29.0977,-98.5198
X,0,211,0,348,29.0977,-98.5198
X,0,211,1084.86,348,29.0977,-98.5198
X,0,212,0,349,29.0977,-98.5098
X,0,212,0,349,29.0977,-98.5098
X,0,212,1074.02,349,29.0977,-98.5098
X,0,213,0,350,29.0977,-98.4998
X,0,213,0,350,29.0977,-98.4998
X,0,213,1077.2,350,29.0977,-98.4998
X,0,214,0,351,29.0977,-98.4898
X,0,215,1077.2,352,29.0977,-98.4798
X,0,217,0,355,29.0977,-98.4498
X,0,217,1066.34,355,29.0977,-98.4498
X,0,218,991,356,29.0977,-98.4398
X,0,219,1031.18,357,29.0977,-98.4298
X,0,220,0,358,29.0977,-98.4198
X,0,220,0,358,29.0977,-98.4198
X,0,220,1031.18,358,29.0977,-98.4198
X,0,220,0,358,29.0977,-98.4198
X,0,221,1069.52,359,29.0977,-98.4098
X,0,222,1035.08,360,29.0977,-98.3998
X,0,223,1080.62,361,29.0877,-98.7998
X,0,224,0,362,29.0877,-98.7898
X,0,224,0,362,29.0877,-98.7898
X,0,224,1080.62,362,29.0877,-98.7898
X,0,225,1080.62,363,29.0877,-98.7798
