index,parcels,yield,county
1,5,7.0518,ATASCOSA
2,8,10.5398,ATASCOSA
3,12,11.165,ATASCOSA
4,13,10.3904,ATASCOSA
5,14,10.082,ATASCOSA
6,15,10.1876,ATASCOSA
7,16,10.082,ATASCOSA
8,17,10.5396,ATASCOSA
9,18,11.2834,ATASCOSA
10,19,11.1648,ATASCOSA
11,20,10.713,ATASCOSA
12,24,10.3164,ATASCOSA
13,25,10.3902,ATASCOSA
14,26,10.1876,ATASCOSA
15,27,10.5394,ATASCOSA
16,28,11.2834,ATASCOSA
17,29,10.7626,ATASCOSA
18,30,11.1648,ATASCOSA
19,31,11.1338,ATASCOSA
20,33,11.4344,ATASCOSA
21,34,11.2558,ATASCOSA
22,35,11.276,ATASCOSA
23,36,10.1878,ATASCOSA
24,37,10.39,ATASCOSA
25,38,10.5394,ATASCOSA
26,39,10.5394,ATASCOSA
27,40,10.1878,ATASCOSA
28,41,11.2834,ATASCOSA
29,42,11.1646,ATASCOSA
30,43,11.1646,ATASCOSA
31,44,11.2558,ATASCOSA
32,45,10.7626,ATASCOSA
33,46,11.3252,ATASCOSA
34,49,11.1646,ATASCOSA
35,50,10.939,ATASCOSA
36,51,10.939,ATASCOSA
37,52,10.6158,ATASCOSA
38,53,10.1878,ATASCOSA
39,54,10.5394,ATASCOSA
40,55,10.6974,ATASCOSA
41,56,10.5394,ATASCOSA
42,57,11.3828,ATASCOSA
43,58,11.3828,ATASCOSA
44,59,11.2556,ATASCOSA
45,61,11.4344,ATASCOSA
46,65,10.939,ATASCOSA
47,66,11.0572,ATASCOSA
48,69,11.2248,ATASCOSA
49,70,10.837,ATASCOSA
50,71,10.837,ATASCOSA
51,72,10.837,ATASCOSA
52,74,10.6156,ATASCOSA
53,75,11.3828,ATASCOSA
54,76,11.3828,ATASCOSA
55,77,11.4344,ATASCOSA
56,86,11.2248,ATASCOSA
57,88,11.4678,ATASCOSA
58,91,10.8368,ATASCOSA
59,92,10.8368,ATASCOSA
60,93,10.8368,ATASCOSA
61,94,10.8368,ATASCOSA
62,95,10.6152,ATASCOSA
63,96,11.5366,ATASCOSA
64,107,11.2246,ATASCOSA
65,108,11.2246,ATASCOSA
66,110,11.4678,ATASCOSA
67,111,11.4678,ATASCOSA
68,112,11.4678,ATASCOSA
69,113,11.4678,ATASCOSA
70,114,11.4678,ATASCOSA
71,115,10.8368,ATASCOSA
72,118,10.8368,ATASCOSA
73,119,10.6152,ATASCOSA
74,120,11.3824,ATASCOSA
75,121,11.5366,ATASCOSA
76,122,11.4338,ATASCOSA
77,124,11.4338,ATASCOSA
78,125,11.4338,ATASCOSA
79,126,11.2246,ATASCOSA
80,130,11.2246,ATASCOSA
81,131,11.057,ATASCOSA
82,132,11.057,ATASCOSA
83,135,11.4678,ATASCOSA
84,136,11.4678,ATASCOSA
85,137,11.4678,ATASCOSA
86,138,11.4678,ATASCOSA
87,139,11.4678,ATASCOSA
88,146,10.8366,ATASCOSA
89,147,11.5366,ATASCOSA
90,148,11.3822,ATASCOSA
91,149,11.5366,ATASCOSA
92,150,11.255,ATASCOSA
93,154,11.2244,ATASCOSA
94,156,11.2244,ATASCOSA
95,161,11.4678,ATASCOSA
96,163,11.4678,ATASCOSA
97,164,11.4678,ATASCOSA
98,166,11.4678,ATASCOSA
99,167,11.4678,ATASCOSA
100,168,11.4678,ATASCOSA
101,169,11.4678,ATASCOSA
102,176,10.8364,ATASCOSA
103,177,11.5366,ATASCOSA
104,178,11.3822,ATASCOSA
105,179,11.3822,ATASCOSA
106,184,11.2244,ATASCOSA
107,190,11.3326,ATASCOSA
108,191,11.4678,ATASCOSA
109,192,11.4678,ATASCOSA
110,193,11.4678,ATASCOSA
111,194,11.4678,ATASCOSA
112,195,11.3326,ATASCOSA
113,196,11.4678,ATASCOSA
114,199,11.4678,ATASCOSA
115,203,11.2236,ATASCOSA
116,204,11.2236,ATASCOSA
117,215,11.2244,ATASCOSA
118,219,11.2244,ATASCOSA
119,220,11.2244,ATASCOSA
120,224,11.4676,ATASCOSA
121,225,11.4676,ATASCOSA
122,226,11.4676,ATASCOSA
123,227,11.4676,ATASCOSA
124,228,11.3326,ATASCOSA
125,230,11.3326,ATASCOSA
126,231,11.4676,ATASCOSA
127,233,11.3326,ATASCOSA
128,235,11.0462,ATASCOSA
129,236,11.0462,ATASCOSA
130,238,11.0462,ATASCOSA
131,239,10.9586,ATASCOSA
132,240,11.0462,ATASCOSA
133,241,10.571,ATASCOSA
134,249,10.9456,ATASCOSA
135,250,10.5732,ATASCOSA
