VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
TC,,,, 3.640835266016549e7,
D,,31,,1,
D,,36,,1,
D,,44,,1,
D,,52,,1,
X,1,31,,714.2000,
X,2,31,,1049.5200,
X,5,36,,999.2200,
X,71,36,,1074.8600,
X,72,36,,1074.8600,
X,73,36,,1059.3200,
X,74,52,,1118.3400,
X,75,31,,1133.7400,
X,76,52,,1123.2600,
X,77,36,,1123.2600,
X,79,44,,1097.1400,
X,80,36,,1097.1400,
X,141,44,,1109.5400,
X,211,44,,1092.4800,
X,212,44,,1081.9200,
X,213,44,,1069.3800,
X,214,17,,0.0000,
X,214,31,,1025.3600,
X,215,36,,1069.3800,
X,216,31,,1062.2400,
X,217,44,,1059.1000,
X,218,31,,987.0000,
X,220,44,,1025.3600,
X,221,31,,1062.2400,
X,222,31,,1037.7800,
X,224,44,,1062.2800,
X,225,31,,1062.2800,
X,280,36,,1081.8800,
X,281,36,,1081.8800,
X,282,36,,1081.8800,
X,283,36,,1081.8800,
X,284,52,,1081.8800,
X,285,36,,1081.8800,
X,286,52,,1049.6200,
X,287,44,,1094.8200,
X,288,31,,1088.6000,
X,289,52,,1080.3800,
X,290,36,,1062.2400,
X,291,36,,1069.3400,
X,292,36,,1062.2400,
X,293,44,,0.0000,
X,293,52,,1069.3400,
X,294,36,,1069.3400,
X,295,31,,1025.3200,
X,352,36,,1007.8200,
X,353,36,,1042.5200,
X,354,52,,1010.7600,
X,355,36,,1029.3600,
X,356,52,,1010.7600,
X,357,36,,1042.5200,
X,358,31,,1010.7600,
X,359,44,,0.0000,
X,359,52,,1046.9000,
X,360,44,,1081.9000,
X,361,36,,1081.9000,
X,362,17,,0.0000,
X,362,31,,1081.9000,
X,363,52,,1080.3600,
X,364,31,,1049.6200,
X,365,31,,1094.8200,
X,368,52,,1072.6800,
X,369,44,,1080.3600,
X,370,44,,1080.3600,
X,410,44,,1052.7000,
X,422,31,,1025.2600,
X,423,31,,1025.2600,
X,424,44,,0.0000,
X,424,52,,1062.2400,
X,425,31,,1075.5800,
X,426,52,,1094.7600,
X,427,36,,1062.9400,
X,480,31,,1062.8000,
X,484,36,,1046.9000,
X,485,36,,1046.9000,
X,492,31,,1080.3800,
X,493,44,,1092.4200,
X,494,52,,1092.4200,
X,495,36,,1081.8400,
X,496,31,,1049.5800,
X,497,44,,1025.2400,
X,498,36,,1069.2600,
X,499,17,,0.0000,
X,500,44,,0.0000,
X,500,52,,1069.2600,
X,501,36,,1062.2400,
X,502,31,,1069.2600,
X,504,44,,1139.0000,
X,505,36,,1041.6400,
X,506,31,,1073.8000,
X,507,17,,0.0000,
X,507,31,,1076.2200,
X,512,52,,1053.4400,
X,569,52,,1008.7400,
X,570,44,,1039.1400,
X,571,36,,1047.0800,
X,572,31,,1047.0800,
X,573,52,,1016.5000,
X,574,36,,1010.7600,
