VARIABLE,INDEX,DEPOT,VALUE,YLT,XLN
D,0,3,1,29.16274,-98.55479
D,0,11,1,28.96275,-98.45479
D,0,31,1,29.32235,-98.20511
D,0,36,1,29.24235,-98.28511
D,0,45,1,29.16235,-98.20511
D,0,52,1,29.08235,-98.20511
X,1,31,714.2,29.2377,-98.7698
X,2,3,1049.52,29.2277,-98.7798
X,3,45,1101.9,29.2277,-98.7398
X,5,36,999.22,29.2177,-98.7898
X,71,36,1074.86,29.1577,-98.7998
X,72,36,1074.86,29.1577,-98.7698
X,73,36,1059.32,29.1577,-98.7598
X,74,52,1118.34,29.1577,-98.7498
X,75,36,1133.74,29.1577,-98.7398
X,76,52,1123.26,29.1577,-98.7298
X,77,36,1123.26,29.1577,-98.7098
X,79,45,1097.14,29.1577,-98.6898
X,80,36,1097.14,29.1577,-98.6498
X,83,36,1112.72,29.1577,-98.5998
X,141,45,1109.54,29.1177,-98.6198
X,142,3,1088.6,29.1177,-98.6098
X,211,45,1092.48,29.0977,-98.5198
X,212,45,1081.92,29.0977,-98.5098
X,213,45,1069.38,29.0977,-98.4998
X,215,36,1069.38,29.0977,-98.4798
X,217,45,1059.1,29.0977,-98.4498
X,218,31,987,29.0977,-98.4398
X,219,11,1025.36,29.0977,-98.4298
X,220,45,1025.36,29.0977,-98.4198
X,221,31,1062.24,29.0977,-98.4098
X,222,31,1037.78,29.0977,-98.3998
X,223,11,1062.28,29.0877,-98.7998
X,224,45,1062.28,29.0877,-98.7898
X,225,31,1062.28,29.0877,-98.7798
X,280,36,1081.88,29.0777,-98.6098
X,281,36,1081.88,29.0777,-98.5998
X,282,36,1081.88,29.0777,-98.5898
X,283,36,1081.88,29.0777,-98.5798
X,284,52,1081.88,29.0777,-98.5698
X,285,36,1081.88,29.0777,-98.5598
X,287,45,1094.82,29.0777,-98.5398
X,288,36,1088.6,29.0777,-98.5298
X,289,11,1080.38,29.0777,-98.5098
X,290,36,1062.24,29.0777,-98.4998
X,291,36,1069.34,29.0777,-98.4898
X,292,36,1062.24,29.0777,-98.4798
X,293,45,1069.34,29.0777,-98.4698
X,294,36,1069.34,29.0777,-98.4598
X,295,36,1025.32,29.0777,-98.4498
X,297,3,1073.96,29.0777,-98.4298
X,299,45,1025.32,29.0777,-98.4098
X,300,36,82.84,29.0777,-98.3998
X,352,36,1007.82,29.0577,-98.7098
X,353,36,1042.52,29.0577,-98.6998
X,354,52,1010.76,29.0577,-98.6798
X,355,36,1029.36,29.0577,-98.6698
X,356,52,1010.76,29.0577,-98.6598
X,357,36,1042.52,29.0577,-98.6498
X,358,31,1010.76,29.0577,-98.6398
