Index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county ,
1,5,-98.7698,29.2377,-98.7698.29.2377,5,7.142,52,ATASCOSA,1
2,8,-98.7798,29.2277,-98.7798.29.2277,8,10.4952,82,ATASCOSA,1
3,12,-98.7398,29.2277,-98.7398.29.2277,12,11.019,81,ATASCOSA,1
4,13,-98.7998,29.2177,-98.7998.29.2177,13,10.4154,52,ATASCOSA,1
5,14,-98.7898,29.2177,-98.7898.29.2177,14,9.9922,82,ATASCOSA,1
6,15,-98.7798,29.2177,-98.7798.29.2177,15,10.1126,81,ATASCOSA,1
7,16,-98.7698,29.2177,-98.7698.29.2177,16,9.9922,82,ATASCOSA,1
8,17,-98.7598,29.2177,-98.7598.29.2177,17,10.4952,82,ATASCOSA,1
9,18,-98.7498,29.2177,-98.7498.29.2177,18,11.1068,82,ATASCOSA,1
10,19,-98.7398,29.2177,-98.7398.29.2177,19,11.019,52,ATASCOSA,1
11,20,-98.7298,29.2177,-98.7298.29.2177,20,10.5324,52,ATASCOSA,1
12,24,-98.7898,29.2077,-98.7898.29.2077,24,10.2894,52,ATASCOSA,1
13,25,-98.7798,29.2077,-98.7798.29.2077,25,10.4152,90,ATASCOSA,1
14,26,-98.7698,29.2077,-98.7698.29.2077,26,10.112,90,ATASCOSA,1
15,27,-98.7598,29.2077,-98.7598.29.2077,27,10.4952,82,ATASCOSA,1
16,28,-98.7498,29.2077,-98.7498.29.2077,28,11.1066,82,ATASCOSA,1
17,29,-98.7398,29.2077,-98.7398.29.2077,29,10.6004,82,ATASCOSA,1
18,30,-98.7298,29.2077,-98.7298.29.2077,30,11.019,82,ATASCOSA,1
19,31,-98.7198,29.2077,-98.7198.29.2077,31,10.9428,52,ATASCOSA,1
20,33,-98.6998,29.2077,-98.6998.29.2077,33,11.2332,52,ATASCOSA,1
21,34,-98.6898,29.2077,-98.6898.29.2077,34,11.0754,81,ATASCOSA,1
22,35,-98.6798,29.2077,-98.6798.29.2077,35,11.07,81,ATASCOSA,1
23,36,-98.7998,29.1977,-98.7998.29.1977,36,10.112,52,ATASCOSA,1
24,37,-98.7898,29.1977,-98.7898.29.1977,37,10.415,82,ATASCOSA,1
25,38,-98.7798,29.1977,-98.7798.29.1977,38,10.4952,82,ATASCOSA,1
26,39,-98.7698,29.1977,-98.7698.29.1977,39,10.4952,81,ATASCOSA,1
27,40,-98.7598,29.1977,-98.7598.29.1977,40,10.112,82,ATASCOSA,1
28,41,-98.7498,29.1977,-98.7498.29.1977,41,11.1066,81,ATASCOSA,1
29,42,-98.7398,29.1977,-98.7398.29.1977,42,11.0188,81,ATASCOSA,1
30,43,-98.7298,29.1977,-98.7298.29.1977,43,11.0188,52,ATASCOSA,1
31,44,-98.7198,29.1977,-98.7198.29.1977,44,11.0754,81,ATASCOSA,1
32,45,-98.7098,29.1977,-98.7098.29.1977,45,10.6004,90,ATASCOSA,1
33,46,-98.6998,29.1977,-98.6998.29.1977,46,11.1638,52,ATASCOSA,1
34,49,-98.6698,29.1977,-98.6698.29.1977,49,11.0188,52,ATASCOSA,1
35,50,-98.6598,29.1977,-98.6598.29.1977,50,10.7456,52,ATASCOSA,1
36,51,-98.6498,29.1977,-98.6498.29.1977,51,10.7456,81,ATASCOSA,1
37,52,-98.7998,29.1877,-98.7998.29.1877,52,10.5928,81,ATASCOSA,1
38,53,-98.7898,29.1877,-98.7898.29.1877,53,10.112,71,ATASCOSA,1
39,54,-98.7798,29.1877,-98.7798.29.1877,54,10.4952,52,ATASCOSA,1
40,55,-98.7698,29.1877,-98.7698.29.1877,55,10.6392,82,ATASCOSA,1
41,56,-98.7598,29.1877,-98.7598.29.1877,56,10.4952,81,ATASCOSA,1
42,57,-98.7498,29.1877,-98.7498.29.1877,57,11.1836,81,ATASCOSA,1
43,58,-98.7398,29.1877,-98.7398.29.1877,58,11.1836,52,ATASCOSA,1
44,59,-98.7298,29.1877,-98.7298.29.1877,59,11.0754,52,ATASCOSA,1
45,61,-98.7098,29.1877,-98.7098.29.1877,61,11.233,52,ATASCOSA,1
46,65,-98.6698,29.1877,-98.6698.29.1877,65,10.7456,82,ATASCOSA,1
47,66,-98.6598,29.1877,-98.6598.29.1877,66,10.8184,81,ATASCOSA,1
48,69,-98.6298,29.1877,-98.6298.29.1877,69,10.9716,81,ATASCOSA,1
49,70,-98.7998,29.1777,-98.7998.29.1777,70,10.7486,81,ATASCOSA,1
50,71,-98.7898,29.1777,-98.7898.29.1777,71,10.7486,52,ATASCOSA,1
51,72,-98.7798,29.1777,-98.7798.29.1777,72,10.7486,52,ATASCOSA,1
52,74,-98.7598,29.1777,-98.7598.29.1777,74,10.5928,81,ATASCOSA,1
53,75,-98.7498,29.1777,-98.7498.29.1777,75,11.1834,81,ATASCOSA,1
54,76,-98.7398,29.1777,-98.7398.29.1777,76,11.1834,81,ATASCOSA,1
