VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
D,0,31,1,-98.20511,29.32235
D,0,36,1,-98.28511,29.24235
D,0,44,1,-98.28511,29.16235
D,0,52,1,-98.20511,29.08235
X,1,31,714.2,-98.7698,29.2377
X,2,31,1049.52,-98.7798,29.2277
X,5,36,999.22,-98.7898,29.2177
X,71,36,1074.86,-98.7998,29.1577
X,72,36,1074.86,-98.7698,29.1577
X,73,36,1059.32,-98.7598,29.1577
X,74,52,1118.34,-98.7498,29.1577
X,75,31,1133.74,-98.7398,29.1577
X,76,52,1123.26,-98.7298,29.1577
X,77,36,1123.26,-98.7098,29.1577
X,79,44,1097.14,-98.6898,29.1577
X,80,36,1097.14,-98.6498,29.1577
X,141,44,1109.54,-98.6198,29.1177
X,211,44,1092.48,-98.5198,29.0977
X,212,44,1081.92,-98.5098,29.0977
X,213,44,1069.38,-98.4998,29.0977
X,214,31,1025.36,-98.4898,29.0977
X,215,36,1069.38,-98.4798,29.0977
X,216,31,1062.24,-98.4698,29.0977
X,217,44,1059.1,-98.4498,29.0977
X,218,31,987,-98.4398,29.0977
X,220,44,1025.36,-98.4198,29.0977
X,221,31,1062.24,-98.4098,29.0977
X,222,31,1037.78,-98.3998,29.0977
X,224,44,1062.28,-98.7898,29.0877
X,225,31,1062.28,-98.7798,29.0877
X,280,36,1081.88,-98.6098,29.0777
X,281,36,1081.88,-98.5998,29.0777
X,282,36,1081.88,-98.5898,29.0777
X,283,36,1081.88,-98.5798,29.0777
X,284,52,1081.88,-98.5698,29.0777
X,285,36,1081.88,-98.5598,29.0777
X,286,52,1049.62,-98.5498,29.0777
X,287,44,1094.82,-98.5398,29.0777
X,288,31,1088.6,-98.5298,29.0777
X,289,52,1080.38,-98.5098,29.0777
X,290,36,1062.24,-98.4998,29.0777
X,291,36,1069.34,-98.4898,29.0777
X,292,36,1062.24,-98.4798,29.0777
X,293,52,1069.34,-98.4698,29.0777
X,294,36,1069.34,-98.4598,29.0777
X,295,31,1025.32,-98.4498,29.0777
X,352,36,1007.82,-98.7098,29.0577
X,353,36,1042.52,-98.6998,29.0577
X,354,52,1010.76,-98.6798,29.0577
X,355,36,1029.36,-98.6698,29.0577
X,356,52,1010.76,-98.6598,29.0577
X,357,36,1042.52,-98.6498,29.0577
X,358,31,1010.76,-98.6398,29.0577
X,359,52,1046.9,-98.6298,29.0577
X,360,44,1081.9,-98.6198,29.0577
X,361,36,1081.9,-98.6098,29.0577
X,362,31,1081.9,-98.5998,29.0577
X,363,52,1080.36,-98.5898,29.0577
X,364,31,1049.62,-98.5798,29.0577
X,365,31,1094.82,-98.5698,29.0577
X,368,52,1072.68,-98.5398,29.0577
X,369,44,1080.36,-98.5298,29.0577
X,370,44,1080.36,-98.5198,29.0577
X,410,44,1052.7,-98.5398,29.0477
X,422,31,1025.26,-98.4198,29.0477
X,423,31,1025.26,-98.4098,29.0477
X,424,52,1062.24,-98.3998,29.0477
X,425,31,1075.58,-98.3898,29.0477
X,426,52,1094.76,-98.3598,29.0477
X,427,36,1062.94,-98.3498,29.0477
X,480,31,1062.8,-98.6898,29.0277
X,484,36,1046.9,-98.6398,29.0277
X,485,36,1046.9,-98.6298,29.0277
X,492,31,1080.38,-98.5598,29.0277
X,493,44,1092.42,-98.5498,29.0277
X,494,52,1092.42,-98.5298,29.0277
X,495,36,1081.84,-98.5198,29.0277
X,496,31,1049.58,-98.5098,29.0277
X,497,44,1025.24,-98.4998,29.0277
X,498,36,1069.26,-98.4898,29.0277
X,500,52,1069.26,-98.4698,29.0277
X,501,36,1062.24,-98.4598,29.0277
X,502,31,1069.26,-98.4498,29.0277
X,504,44,1139,-98.4198,29.0277
X,505,36,1041.64,-98.4098,29.0277
X,506,31,1073.8,-98.3998,29.0277
X,507,31,1076.22,-98.3898,29.0277
X,512,52,1053.44,-98.3398,29.0277
X,569,52,1008.74,-98.6798,29.0077
X,570,44,1039.14,-98.6698,29.0077
X,571,36,1047.08,-98.6598,29.0077
X,572,31,1047.08,-98.6498,29.0077
X,573,52,1016.5,-98.6398,29.0077
X,574,36,1010.76,-98.6298,29.0077
X,575,31,1092.42,-98.6198,29.0077
X,576,31,1088.46,-98.6098,29.0077
X,577,31,1088.46,-98.5998,29.0077
X,579,52,1086.84,-98.5698,29.0077
X,580,52,1081.82,-98.5598,29.0077
X,581,44,1095.44,-98.5498,29.0077
X,582,44,1080.34,-98.5398,29.0077
X,583,52,1092.42,-98.5298,29.0077
X,584,52,1088.46,-98.5198,29.0077
X,585,52,1109.48,-98.5098,29.0077
X,631,44,1013,-98.5398,28.9977
X,632,44,1003.2,-98.5298,28.9977
X,633,31,1013,-98.5198,28.9977
X,634,44,1010.68,-98.5098,28.9977
X,635,31,1039.98,-98.4998,28.9977
X,636,52,1044.58,-98.4898,28.9977
X,637,36,1006.62,-98.4698,28.9977
X,638,31,1044.58,-98.4598,28.9977
X,639,52,989.46,-98.4498,28.9977
X,640,44,970.32,-98.4398,28.9977
X,641,36,967,-98.4298,28.9977
X,642,31,967,-98.4198,28.9977
X,643,52,989.72,-98.3998,28.9977
X,644,36,1005.84,-98.3898,28.9977
X,645,31,1049.78,-98.3698,28.9977
X,646,31,1093.08,-98.3598,28.9977
X,647,31,1046.12,-98.3498,28.9977
X,648,52,1046.12,-98.3398,28.9977
X,649,52,1046.12,-98.3298,28.9977
X,650,52,1156.28,-98.3098,28.9977
X,651,52,1046.12,-98.2998,28.9977
X,701,44,1046.08,-98.2898,28.9877
X,715,31,971.96,-98.6598,28.9777
X,716,31,981.08,-98.6498,28.9777
X,717,52,971.96,-98.6398,28.9777
X,718,52,955.28,-98.6298,28.9777
X,719,52,961.62,-98.6198,28.9777
X,720,52,989.02,-98.6098,28.9777
X,721,44,973.46,-98.5998,28.9777
X,722,36,973.46,-98.5898,28.9777
X,723,44,1001.46,-98.5798,28.9777
X,724,52,1069.86,-98.5598,28.9777
X,774,44,1010.68,-98.5198,28.9677
X,776,52,1044.54,-98.4698,28.9677
X,777,36,1063.46,-98.4598,28.9677
X,779,52,1006.68,-98.4298,28.9677
X,780,44,1014.18,-98.4098,28.9677
X,781,31,1005.82,-98.3998,28.9677
X,782,52,970.06,-98.3898,28.9677
X,783,44,966.98,-98.3798,28.9677
X,784,36,989.02,-98.3698,28.9677
X,785,31,1049.74,-98.3598,28.9677
X,790,52,1019.26,-98.3098,28.9677
X,791,52,1066.78,-98.2998,28.9677
X,792,52,1066.78,-98.2898,28.9677
X,830,36,1045.42,-98.3398,28.9577
X,831,52,1101.16,-98.3298,28.9577
X,832,31,1083.54,-98.3198,28.9577
X,833,44,1083.54,-98.3098,28.9577
X,834,44,1066.76,-98.2998,28.9577
X,835,36,1084.06,-98.2898,28.9577
X,836,52,1083.54,-98.2798,28.9577
X,837,36,1156.58,-98.2698,28.9577
X,850,44,1001.46,-98.6098,28.9477
X,851,36,1001.46,-98.5998,28.9477
X,853,44,989,-98.5798,28.9477
X,854,36,989,-98.5698,28.9477
X,855,31,961.58,-98.5598,28.9477
X,856,36,961.58,-98.5498,28.9477
X,857,31,973.46,-98.5398,28.9477
X,867,31,1044.5,-98.4198,28.9477
