index,depots,plants,distance
1,1,10000,58.8227
2,2,10000,53.9963
3,3,10000,38.1006
4,4,10000,88.6376
5,5,10000,64.0995
6,6,10000,49.712
7,7,10000,41.5642
8,8,10000,83.5136
9,9,10000,71.2353
10,10,10000,57.3744
11,11,10000,53.5285
12,12,10000,56.8325
13,13,10000,81.0452
14,14,10000,75.0491
15,15,10000,65.7539
16,16,10000,63.4579
17,17,10000,65.1951
18,18,10000,79.9776
19,19,10000,89.2002
20,20,10000,89.0572
21,21,10000,80.0035
22,22,10000,90.1841
23,23,10000,101.094
24,24,10000,85.0626
25,25,10000,94.5022
26,26,10000,102.739
27,27,10000,98.6268
28,28,10000,88.9039
29,29,10000,93.9781
30,30,10000,89.1328
31,1146,10000,25.0501
32,1147,10000,43.149
33,1148,10000,47.8141
34,1149,10000,64.4281
35,1150,10000,70.4103
36,1151,10000,15.617
37,1152,10000,22.4011
38,1153,10000,35.8332
39,1154,10000,45.5277
40,1155,10000,55.0218
41,1156,10000,61.957
42,1157,10000,70.3467
43,1158,10000,29.4652
44,1159,10000,26.9814
45,1160,10000,27.1886
46,1161,10000,35.6617
47,1162,10000,48.6149
48,1163,10000,63.5427
49,1164,10000,66.4437
50,1165,10000,39.1488
51,1166,10000,50.9371
52,1167,10000,39.7829
53,1168,10000,45.8325
54,1169,10000,54.2663
55,1170,10000,59.648
56,1171,10000,51.6151
57,1172,10000,54.4479
58,1173,10000,50.1278
59,1174,10000,81.6711
