,Origin GEOID,Destination GID,Distance (km)
0,1,1,54.7807
0,2,1,53.4237
0,3,1,52.6497
0,4,1,53.5103
1,5,1,50.7105
0,6,1,53.6647
0,7,1,52.6169
1,8,1,52.8821
0,9,1,53.8524
0,10,1,51.2653
0,11,1,50.295
1,12,1,50.7265
1,13,1,53.9648
1,14,1,54.0813
1,15,1,58.4046
1,16,1,58.0054
1,17,1,52.2536
1,18,1,51.2085
1,19,1,52.3926
1,20,1,53.3776
0,21,1,53.1012
0,22,1,51.8181
0,23,1,55.6784
1,24,1,55.2021
1,25,1,56.1368
1,26,1,57.0563
1,27,1,54.0822
1,28,1,52.853
1,29,1,54.6291
1,30,1,54.5542
1,31,1,54.9794
0,32,1,52.4648
1,33,1,51.0845
1,34,1,51.4056
1,35,1,49.779
1,36,1,56.5953
1,37,1,56.7224
1,38,1,57.2106
1,39,1,57.8817
1,40,1,55.1433
1,41,1,54.06
1,42,1,55.8432
1,43,1,56.0572
1,44,1,56.5452
1,45,1,54.293
1,46,1,53.4881
0,47,1,51.3554
0,48,1,51.2651
1,49,1,48.9382
1,50,1,49.6238
1,51,1,47.2524
1,52,1,57.4567
1,53,1,57.8776
1,54,1,58.4798
1,55,1,59.0006
1,56,1,60.0358
1,57,1,55.8758
1,58,1,57.458
1,59,1,57.5477
0,60,1,55.8419
1,61,1,54.9096
0,62,1,53.4851
0,63,1,52.8032
0,64,1,52.1494
1,65,1,50.2784
1,66,1,50.7362
0,67,1,51.6948
0,68,1,46.8976
1,69,1,45.7271
1,70,1,59.048
1,71,1,58.0281
1,72,1,59.6077
0,73,1,60.1322
1,74,1,60.3732
1,75,1,57.2233
1,76,1,58.6336
1,77,1,58.4231
0,78,1,59.2457
0,79,1,55.9564
0,80,1,56.1689
0,81,1,54.2763
0,82,1,53.243
0,83,1,53.5343
0,84,1,51.8473
0,85,1,49.4537
1,86,1,48.6662
0,87,1,48.9711
1,88,1,50.3076
0,89,1,45.2342
0,90,1,45.3389
1,91,1,59.2342
1,92,1,58.0281
1,93,1,60.2408
1,94,1,60.2408
1,95,1,58.8227
1,96,1,58.4402
0,97,1,59.2043
0,98,1,59.7701
0,99,1,59.7809
0,100,1,56.3575
0,101,1,55.6423
0,102,1,55.0746
0,103,1,54.2341
0,104,1,52.5103
0,105,1,53.5076
0,106,1,54.1442
1,107,1,49.9174
1,108,1,50.0561
0,109,1,50.3231
1,110,1,47.15
1,111,1,45.7742
1,112,1,44.6372
1,113,1,46.867
1,114,1,49.6214
1,115,1,65.0154
0,116,1,59.2342
0,117,1,60.2408
1,118,1,64.1389
1,119,1,64.1389
1,120,1,64.0091
1,121,1,62.1916
1,122,1,60.9594
0,123,1,61.5894
1,124,1,61.9987
1,125,1,56.9081
1,126,1,56.4127
0,127,1,55.3472
0,128,1,57.8356
0,129,1,54.7996
1,130,1,51.9425
1,131,1,52.223
1,132,1,51.7534
0,133,1,51.5394
0,134,1,47.7264
1,135,1,46.3855
1,136,1,45.5354
1,137,1,48.7327
1,138,1,48.4408
1,139,1,49.4458
0,140,1,38.1434
0,141,1,38.1434
0,142,1,69.5607
0,143,1,69.6073
0,144,1,69.6218
0,145,1,64.1389
1,146,1,64.1389
1,147,1,63.8468
1,148,1,62.7564
1,149,1,62.5608
1,150,1,62.8568
0,151,1,62.6012
0,152,1,58.0428
0,153,1,56.7649
1,154,1,57.2662
0,155,1,57.5594
1,156,1,55.9059
0,157,1,52.9867
0,158,1,51.982
0,159,1,50.7049
0,160,1,49.731
1,161,1,48.812
0,162,1,47.7569
1,163,1,46.6738
1,164,1,47.3223
0,165,1,48.2754
1,166,1,49.4001
1,167,1,50.0746
1,168,1,38.3919
1,169,1,37.7127
0,170,1,36.8604
0,171,1,35.8893
0,172,1,70.0548
0,173,1,70.0522
0,174,1,70.0494
0,175,1,64.1389
1,176,1,63.8828
1,177,1,64.3094
1,178,1,64.1897
1,179,1,63.7354
0,180,1,62.7799
