VARIABLE, PARCEL, DEPOT, PLANT, VALUE
TC,,,,5.58E+07
D,,3,,1
D,,11,,1
D,,31,,1
D,,36,,1
D,,45,,1
D,,52,,1
X,1,31,,823.04
X,2,3,,1164.52
X,3,45,,1218.2
X,5,36,,1147.72
X,71,36,,1219.3
X,72,36,,1219.3
X,73,36,,1170.74
X,74,52,,1232.08
X,75,36,,1280.62
X,76,52,,1269.22
X,77,36,,1269.22
X,79,45,,1242
X,80,36,,1242
X,141,45,,1249.38
X,142,3,,1209.94
X,211,45,,1219.86
X,212,45,,1201.12
X,213,45,,1208.48
X,215,36,,1208.48
X,217,45,,1189.68
X,218,31,,1153.36
X,219,11,,1169.84
X,220,45,,1169.84
X,221,31,,1205.18
X,222,31,,1176.82
X,223,11,,1215.54
X,225,31,,1215.54
X,280,36,,1201.08
X,281,36,,1201.08
X,282,36,,1201.08
X,283,36,,1201.08
X,284,52,,1201.08
X,285,36,,1201.08
X,287,45,,1207.7
X,288,36,,1209.92
X,289,11,,1194.34
X,290,36,,1205.18
X,291,36,,1208.48
X,292,36,,1205.18
X,293,45,,1208.48
X,294,36,,1208.48
X,295,36,,1169.8
X,352,36,,1156.9
X,353,36,,1162.94
X,354,52,,1140.42
X,355,36,,1178.76
X,356,52,,1140.42
X,357,36,,1162.94
X,358,31,,1140.42
X,359,52,,1182.72
X,360,45,,1201.02
X,361,36,,1201.02
X,362,31,,1201.02
X,363,45,,1194.32
X,364,31,,1175.52
X,365,31,,1207.8
X,367,3,,1201.02
X,369,45,,1194.32
X,370,45,,1194.32
X,371,36,,1219.92
X,422,31,,1169.76
X,423,31,,1169.76
X,424,52,,1205.22
X,425,31,,1224.2
X,427,36,,1211.02
X,480,31,,1217.96
X,484,36,,1182.7
X,485,36,,1182.7
X,492,31,,1194.28
X,493,45,,1219.82
X,495,36,,1200.98
X,496,31,,1175.54
X,497,45,,1169.76
X,498,36,,1208.38
X,499,11,,1224.12
X,500,45,,1208.38
X,501,36,,1205.14
X,502,31,,1208.38
X,503,11,,1169.76
X,504,45,,1250.7
X,505,36,,1187.5
X,506,31,,1203.08
X,507,31,,1204.24
X,508,11,,1205.14
X,509,11,,1232.6
X,510,3,,1215.56
X,511,3,,1184.84
X,512,3,,1184.84
X,569,52,,1140.08
X,570,45,,1159
X,571,36,,1189.3
X,572,31,,1189.3
X,573,3,,1166.1
X,574,36,,1140.4
X,575,31,,1219.8
X,576,36,,1209.82
X,577,11,,1209.82
X,580,52,,1201
X,581,45,,1223.16
X,582,45,,1194.34
X,583,3,,1219.8
X,584,52,,1209.82
X,631,45,,1159.26
X,632,45,,1139.88
X,633,31,,1159.26
X,634,45,,1145.18
X,635,31,,1164.02
X,636,52,,1182.3
X,637,36,,1133.76
X,638,31,,1182.3
X,639,52,,1120.4
X,640,45,,1121.98
X,641,36,,1122.68
X,642,31,,1122.68
X,643,3,,1147.7
X,644,36,,1143.76
X,645,31,,1177.36
X,646,31,,1227.18
X,647,11,,1173.92
X,648,3,,1173.92
X,649,3,,1173.92
X,650,3,,1271.92
X,651,52,,1173.92
X,715,31,,1096.22
X,716,31,,1101.88
X,717,11,,1096.22
X,718,3,,1105.62
X,719,3,,1124.22
X,720,3,,1130.98
X,721,36,,1111.96
X,722,45,,1111.96
X,723,36,,1139.94
X,724,45,,1181.4
X,725,3,,1139.92
X,774,3,,1145.18
X,776,45,,1182.32
X,777,36,,1210.6
X,779,52,,1133.76
X,780,36,,1160.62
X,781,31,,1143.76
X,783,45,,1122.68
X,784,36,,1152.16
X,785,31,,1176.94
X,787,11,,1210.96
X,788,11,,1185.72
X,789,3,,1197.76
X,790,3,,1173.06
X,830,36,,1180.3
X,832,31,,1197.76
X,833,3,,1197.76
X,834,45,,1185.72
X,835,36,,1219.38
X,836,52,,1197.76
X,837,36,,1272
X,850,45,,1139.92
X,851,36,,1139.92
X,853,45,,1131
X,854,36,,1131
X,855,36,,1124.12
X,856,36,,1124.12
X,857,31,,1111.92
X,858,11,,1131
X,859,11,,1139.92
X,860,3,,1120.7
X,861,3,,1163.04
X,862,3,,1143.62
X,863,3,,1143.62
X,864,3,,1159.46
X,865,3,,1147.84
X,866,11,,1182.3
X,867,31,,1182.3
X,868,31,,1127.28
X,869,36,,1182.3
X,870,36,,1127.28
X,871,45,,1190.24
X,872,45,,1204.42
X,874,52,,1202.76
X,875,45,,1219.44
X,876,36,,1214.3
X,877,36,,1173.86
X,919,45,,1163.88
X,920,36,,1171.86
X,921,36,,1176.84
X,922,52,,1202.72
X,923,36,,1222.98
X,924,36,,1219.34
X,925,31,,1207.06
X,926,31,,1173.96
X,927,3,,1166.76
X,928,11,,1150.76
X,929,3,,1185.7
X,930,3,,1173.96
X,931,52,,1207.44
X,1001,52,,1097.08
X,1002,52,,1097.08
X,1003,52,,1131.02
X,1004,3,,1131.02
X,1005,3,,1183.42
X,1006,3,,1190.74
X,1008,31,,1093.84
X,1009,31,,1131.02
X,1010,36,,1162.44
X,1011,45,,1120.7
X,1012,45,,1170.42
X,1013,45,,1193.12
X,1014,45,,1146.48
X,1015,36,,1170.42
X,1016,36,,1170.42
X,1017,31,,1178.56
X,1054,31,,1097.06
X,1056,36,,1097.06
X,1057,31,,1131.02
X,1059,45,,1150.96
X,1060,36,,1131.02
X,1062,3,,1131.02
X,1063,36,,1170.4
X,1064,31,,1146.44
X,1065,31,,1170.4
X,1067,11,,1193.14
X,1068,3,,1146.44
X,1069,52,,1178.6
X,1070,52,,1178.6
X,1071,52,,1165.88
X,1072,52,,1170.4
X,1073,45,,1165.88
X,1074,3,,1133.94
X,1075,3,,1158.84
X,1076,3,,1211.42
X,1079,31,,1219.3
X,1080,31,,1185.66
X,1081,45,,1219.3
X,1082,45,,1200.58
X,1129,36,,1231.1
X,1132,52,,1278.76
X,1133,45,,1185.58
X,1134,36,,1207.06
X,1135,31,,1219.3
X,1136,3,,1161.98
X,1138,52,,1199.34
X,1139,3,,1180.3
X,1140,52,,1215.82
X,1141,45,,1245
X,1142,52,,1301.62
X,1143,52,,1215.38
X,1144,3,,1218.68
X,1184,45,,1213.36
X,1185,36,,1197.6
X,1186,36,,1220.88
X,1217,3,,1097.06
X,1218,11,,1130.88
X,1221,31,,1097.06
X,1222,36,,1122.2
X,1223,36,,1130.88
X,1224,31,,1148.5
X,1272,36,,1117.68
X,1273,36,,1090.84
X,1274,36,,1090.84
X,1278,3,,1171.16
X,1279,3,,1174.66
X,1280,52,,1151.84
X,1281,52,,1143.66
X,1282,52,,1165.74
X,1283,3,,1165.74
X,1284,3,,1128.6
X,1285,3,,1165.74
X,1286,11,,1143.66
X,1288,31,,174.68
X,1289,31,,1191
X,1290,36,,1229.18
X,1291,45,,1186.92
X,1292,45,,1268.16
X,1293,45,,1170.62
X,1294,36,,1218.98
X,1295,36,,1218.98
X,1296,31,,1234.04
X,1300,45,,1182.42
X,1342,31,,1151.76
X,1346,3,,1148.46
X,1347,52,,1229.18
X,1348,45,,1229.18
X,1349,45,,1229.18
X,1350,45,,1176.48
X,1351,45,,1169.42
X,1352,52,,1186.02
X,1353,52,,1186.02
X,1354,52,,1201.68
X,1355,3,,1186.02
X,1356,3,,1240.84
X,1357,31,,1297.72
X,1358,36,,1332.28
X,1359,31,,1243.72
X,1360,36,,1263.88
X,1361,36,,1243.06
X,1362,45,,1243.72
X,1363,36,,1233.34
X,1364,31,,1233.34
X,1365,31,,811.9
X,1412,36,,1185.92
X,1417,3,,1263.92
X,1419,45,,1263.92
X,1420,45,,1252.24
X,1422,52,,1243.72
X,1423,52,,811.88
X,1425,3,,851.64
X,1572,36,,1090.78
X,1573,31,,1129.06
X,1577,3,,1235.18
X,1637,3,,1129.06
X,1639,31,,1090.86
X,1640,31,,1164.94
X,1641,36,,1235.16
X,1642,36,,1165.72
X,1643,31,,1179.04
X,1644,31,,1136.8
X,1646,11,,1186.46
X,1649,36,,1176.82
X,1676,31,,1263.86
X,1703,45,,1090.74
X,1704,52,,1118.32
X,1706,3,,1172.7
X,1707,3,,1235.18
X,1708,11,,1136.7
X,1711,31,,1176.8
X,1712,31,,1203.84
X,1715,11,,1135.34
X,1717,3,,1128.56
X,1719,36,,1229.08
X,1771,36,,1090.72
X,1777,3,,1148.4
X,1781,31,,1151.64
X,1782,31,,1235.18
X,1784,11,,1140.98
X,1786,3,,1229.08
X,1787,52,,1229.08
X,1841,36,,1135.34
X,1842,36,,1165.7
X,1843,36,,1165.7
X,1844,45,,1165.7
X,1847,3,,1235.12
X,1848,11,,1182.66
X,1850,31,,1229.06
X,1851,31,,835.94
X,1852,31,,1247.24
X,1853,31,,1186.8
X,1854,11,,835.94
X,1855,11,,1206.64
X,1856,3,,1249.32
X,1857,52,,1248.16
X,1858,36,,1224.12
X,1908,31,,1235.12
X,1910,31,,1121.12
X,1911,36,,1176.76
X,1912,36,,1121.12
X,1913,45,,1165.66
X,1914,45,,1171.16
X,1917,3,,1194.38
X,1918,11,,1215
X,1921,31,,1238.36
X,1923,11,,1229.04
X,1924,11,,1224.14
X,1925,3,,1240.7
X,1926,3,,1234.04
X,1927,45,,1297.54
X,1928,45,,1263.82
X,1989,31,,1240.7
X,1990,31,,1185.84
X,1991,31,,1297.56
X,1993,3,,1263.6
X,1997,45,,1332.26
X,1998,36,,1243.6
X,2049,36,,1163.98
X,2050,36,,1180.86
X,2051,31,,1277.28
X,2052,31,,1221.46
X,2053,36,,1188.2
X,2054,45,,1274.68
X,2060,31,,1312.82
X,2063,11,,1253.58
X,2064,3,,1274.98
