VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
D,0,3,0,-98.55479,29.1627
D,0,11,0,-98.45479,28.9628
D,0,31,0,-98.20511,29.3224
D,0,36,0,-98.28511,29.2424
D,0,45,0,-98.20511,29.1624
D,0,52,0,-98.20511,29.0824
X,1,31,823.04,-98.7698,29.2377
X,2,3,1164.52,-98.7798,29.2277
X,3,45,1218.2,-98.7398,29.2277
X,5,36,1147.72,-98.7898,29.2177
X,71,36,1219.3,-98.7998,29.1577
X,72,36,1219.3,-98.7698,29.1577
X,73,36,1170.74,-98.7598,29.1577
X,74,52,1232.08,-98.7498,29.1577
X,75,36,1280.62,-98.7398,29.1577
X,76,52,1269.22,-98.7298,29.1577
X,77,36,1269.22,-98.7098,29.1577
X,79,45,1242,-98.6898,29.1577
X,80,36,1242,-98.6498,29.1577
X,141,45,1249.38,-98.6198,29.1177
X,142,3,1209.94,-98.6098,29.1177
X,211,45,1219.86,-98.5198,29.0977
X,212,45,1201.12,-98.5098,29.0977
X,213,45,1208.48,-98.4998,29.0977
X,215,36,1208.48,-98.4798,29.0977
X,217,45,1189.68,-98.4498,29.0977
X,218,31,1153.36,-98.4398,29.0977
X,219,11,1169.84,-98.4298,29.0977
X,220,45,1169.84,-98.4198,29.0977
X,221,31,1205.18,-98.4098,29.0977
X,222,31,1176.82,-98.3998,29.0977
X,223,11,1215.54,-98.7998,29.0877
X,225,31,1215.54,-98.7798,29.0877
X,280,36,1201.08,-98.6098,29.0777
X,281,36,1201.08,-98.5998,29.0777
X,282,36,1201.08,-98.5898,29.0777
X,283,36,1201.08,-98.5798,29.0777
X,284,52,1201.08,-98.5698,29.0777
X,285,36,1201.08,-98.5598,29.0777
X,287,45,1207.7,-98.5398,29.0777
X,288,36,1209.92,-98.5298,29.0777
X,289,11,1194.34,-98.5098,29.0777
X,290,36,1205.18,-98.4998,29.0777
X,291,36,1208.48,-98.4898,29.0777
X,292,36,1205.18,-98.4798,29.0777
X,293,45,1208.48,-98.4698,29.0777
X,294,36,1208.48,-98.4598,29.0777
X,295,36,1169.8,-98.4498,29.0777
X,352,36,1156.9,-98.7098,29.0577
X,353,36,1162.94,-98.6998,29.0577
X,354,52,1140.42,-98.6798,29.0577
X,355,36,1178.76,-98.6698,29.0577
X,356,52,1140.42,-98.6598,29.0577
X,357,36,1162.94,-98.6498,29.0577
X,358,31,1140.42,-98.6398,29.0577
X,359,52,1182.72,-98.6298,29.0577
X,360,45,1201.02,-98.6198,29.0577
X,361,36,1201.02,-98.6098,29.0577
X,362,31,1201.02,-98.5998,29.0577
X,363,45,1194.32,-98.5898,29.0577
X,364,31,1175.52,-98.5798,29.0577
X,365,31,1207.8,-98.5698,29.0577
X,367,3,1201.02,-98.5498,29.0577
X,369,45,1194.32,-98.5298,29.0577
X,370,45,1194.32,-98.5198,29.0577
X,371,36,1219.92,-98.5098,29.0577
X,422,31,1169.76,-98.4198,29.0477
X,423,31,1169.76,-98.4098,29.0477
X,424,52,1205.22,-98.3998,29.0477
X,425,31,1224.2,-98.3898,29.0477
X,427,36,1211.02,-98.3498,29.0477
X,480,31,1217.96,-98.6898,29.0277
X,484,36,1182.7,-98.6398,29.0277
X,485,36,1182.7,-98.6298,29.0277
X,492,31,1194.28,-98.5598,29.0277
X,493,45,1219.82,-98.5498,29.0277
X,495,36,1200.98,-98.5198,29.0277
X,496,31,1175.54,-98.5098,29.0277
X,497,45,1169.76,-98.4998,29.0277
X,498,36,1208.38,-98.4898,29.0277
X,499,11,1224.12,-98.4798,29.0277
X,500,45,1208.38,-98.4698,29.0277
X,501,36,1205.14,-98.4598,29.0277
X,502,31,1208.38,-98.4498,29.0277
X,503,11,1169.76,-98.4298,29.0277
X,504,45,1250.7,-98.4198,29.0277
X,505,36,1187.5,-98.4098,29.0277
X,506,31,1203.08,-98.3998,29.0277
X,507,31,1204.24,-98.3898,29.0277
X,508,11,1205.14,-98.3798,29.0277
X,509,11,1232.6,-98.3698,29.0277
X,510,3,1215.56,-98.3598,29.0277
X,511,3,1184.84,-98.3498,29.0277
X,512,3,1184.84,-98.3398,29.0277
X,569,52,1140.08,-98.6798,29.0077
X,570,45,1159,-98.6698,29.0077
X,571,36,1189.3,-98.6598,29.0077
X,572,31,1189.3,-98.6498,29.0077
X,573,3,1166.1,-98.6398,29.0077
X,574,36,1140.4,-98.6298,29.0077
X,575,31,1219.8,-98.6198,29.0077
X,576,36,1209.82,-98.6098,29.0077
X,577,11,1209.82,-98.5998,29.0077
X,580,52,1201,-98.5598,29.0077
X,581,45,1223.16,-98.5498,29.0077
X,582,45,1194.34,-98.5398,29.0077
X,583,3,1219.8,-98.5298,29.0077
X,584,52,1209.82,-98.5198,29.0077
X,631,45,1159.26,-98.5398,28.9977
X,632,45,1139.88,-98.5298,28.9977
X,633,31,1159.26,-98.5198,28.9977
X,634,45,1145.18,-98.5098,28.9977
X,635,31,1164.02,-98.4998,28.9977
X,636,52,1182.3,-98.4898,28.9977
X,637,36,1133.76,-98.4698,28.9977
X,638,31,1182.3,-98.4598,28.9977
X,639,52,1120.4,-98.4498,28.9977
X,640,45,1121.98,-98.4398,28.9977
X,641,36,1122.68,-98.4298,28.9977
X,642,31,1122.68,-98.4198,28.9977
X,643,3,1147.7,-98.3998,28.9977
X,644,36,1143.76,-98.3898,28.9977
X,645,31,1177.36,-98.3698,28.9977
X,646,31,1227.18,-98.3598,28.9977
X,647,11,1173.92,-98.3498,28.9977
X,648,3,1173.92,-98.3398,28.9977
X,649,3,1173.92,-98.3298,28.9977
X,650,3,1271.92,-98.3098,28.9977
X,651,52,1173.92,-98.2998,28.9977
X,715,31,1096.22,-98.6598,28.9777
X,716,31,1101.88,-98.6498,28.9777
X,717,11,1096.22,-98.6398,28.9777
X,718,3,1105.62,-98.6298,28.9777
X,719,3,1124.22,-98.6198,28.9777
X,720,3,1130.98,-98.6098,28.9777
X,721,36,1111.96,-98.5998,28.9777
X,722,45,1111.96,-98.5898,28.9777
X,723,36,1139.94,-98.5798,28.9777
X,724,45,1181.4,-98.5598,28.9777
X,725,3,1139.92,-98.5498,28.9777
X,774,3,1145.18,-98.5198,28.9677
X,776,45,1182.32,-98.4698,28.9677
X,777,36,1210.6,-98.4598,28.9677
X,779,52,1133.76,-98.4298,28.9677
X,780,36,1160.62,-98.4098,28.9677
X,781,31,1143.76,-98.3998,28.9677
X,783,45,1122.68,-98.3798,28.9677
X,784,36,1152.16,-98.3698,28.9677
X,785,31,1176.94,-98.3598,28.9677
X,787,11,1210.96,-98.3398,28.9677
X,788,11,1185.72,-98.3298,28.9677
X,789,3,1197.76,-98.3198,28.9677
X,790,3,1173.06,-98.3098,28.9677
X,830,36,1180.3,-98.3398,28.9577
