RunID, LON, LAT,tag,YIELD,land cover
5,-98.7698,29.2377,-98.7698.29.2377,8.2304,52
8,-98.7798,29.2277,-98.7798.29.2277,11.6452,82
12,-98.7398,29.2277,-98.7398.29.2277,12.182,81
13,-98.7998,29.2177,-98.7998.29.2177,11.6798,52
14,-98.7898,29.2177,-98.7898.29.2177,11.4772,82
15,-98.7798,29.2177,-98.7798.29.2177,11.3226,81
16,-98.7698,29.2177,-98.7698.29.2177,11.4772,82
17,-98.7598,29.2177,-98.7598.29.2177,11.6452,82
18,-98.7498,29.2177,-98.7498.29.2177,12.2854,82
19,-98.7398,29.2177,-98.7398.29.2177,12.1816,52
20,-98.7298,29.2177,-98.7298.29.2177,12.003,52
24,-98.7898,29.2077,-98.7898.29.2077,11.6506,52
25,-98.7798,29.2077,-98.7798.29.2077,11.681,90
26,-98.7698,29.2077,-98.7698.29.2077,11.3226,90
27,-98.7598,29.2077,-98.7598.29.2077,11.645,82
28,-98.7498,29.2077,-98.7498.29.2077,12.2852,82
29,-98.7398,29.2077,-98.7398.29.2077,11.9232,82
30,-98.7298,29.2077,-98.7298.29.2077,12.1818,82
31,-98.7198,29.2077,-98.7198.29.2077,12.2732,52
33,-98.6998,29.2077,-98.6998.29.2077,12.693,52
34,-98.6898,29.2077,-98.6898.29.2077,12.2018,81
35,-98.6798,29.2077,-98.6798.29.2077,12.2438,81
36,-98.7998,29.1977,-98.7998.29.1977,11.322,52
37,-98.7898,29.1977,-98.7898.29.1977,11.681,82
38,-98.7798,29.1977,-98.7798.29.1977,11.6436,82
39,-98.7698,29.1977,-98.7698.29.1977,11.6436,81
40,-98.7598,29.1977,-98.7598.29.1977,11.322,82
41,-98.7498,29.1977,-98.7498.29.1977,12.2848,81
42,-98.7398,29.1977,-98.7398.29.1977,12.1818,81
43,-98.7298,29.1977,-98.7298.29.1977,12.1818,52
44,-98.7198,29.1977,-98.7198.29.1977,12.2016,81
45,-98.7098,29.1977,-98.7098.29.1977,11.923,90
46,-98.6998,29.1977,-98.6998.29.1977,12.4532,52
49,-98.6698,29.1977,-98.6698.29.1977,12.1818,52
50,-98.6598,29.1977,-98.6598.29.1977,11.8872,52
51,-98.6498,29.1977,-98.6498.29.1977,11.8872,81
52,-98.7998,29.1877,-98.7998.29.1877,11.707,81
53,-98.7898,29.1877,-98.7898.29.1877,11.3218,71
54,-98.7798,29.1877,-98.7798.29.1877,11.6446,52
55,-98.7698,29.1877,-98.7698.29.1877,11.9152,82
56,-98.7598,29.1877,-98.7598.29.1877,11.6446,81
57,-98.7498,29.1877,-98.7498.29.1877,12.321,81
58,-98.7398,29.1877,-98.7398.29.1877,12.321,52
59,-98.7298,29.1877,-98.7298.29.1877,12.2022,52
61,-98.7098,29.1877,-98.7098.29.1877,12.6924,52
65,-98.6698,29.1877,-98.6698.29.1877,11.8872,82
66,-98.6598,29.1877,-98.6598.29.1877,11.9918,81
69,-98.6298,29.1877,-98.6298.29.1877,12.4204,81
70,-98.7998,29.1777,-98.7998.29.1777,12.1932,81
71,-98.7898,29.1777,-98.7898.29.1777,12.1932,52
72,-98.7798,29.1777,-98.7798.29.1777,12.1932,52
74,-98.7598,29.1777,-98.7598.29.1777,11.7034,81
75,-98.7498,29.1777,-98.7498.29.1777,12.3214,81
76,-98.7398,29.1777,-98.7398.29.1777,12.3214,81
77,-98.7298,29.1777,-98.7298.29.1777,12.6924,52
86,-98.6398,29.1777,-98.6398.29.1777,12.42,71
88,-98.6198,29.1777,-98.6198.29.1777,12.639,52
91,-98.7998,29.1677,-98.7998.29.1677,12.193,81
92,-98.7898,29.1677,-98.7898.29.1677,12.193,82
93,-98.7798,29.1677,-98.7798.29.1677,12.193,52
94,-98.7698,29.1677,-98.7698.29.1677,12.193,52
95,-98.7598,29.1677,-98.7598.29.1677,11.7028,81
96,-98.7498,29.1677,-98.7498.29.1677,12.8064,81
107,-98.6398,29.1677,-98.6398.29.1677,12.42,52
108,-98.6298,29.1677,-98.6298.29.1677,12.42,71
110,-98.6098,29.1677,-98.6098.29.1677,12.6394,52
111,-98.5998,29.1677,-98.5998.29.1677,12.6394,81
112,-98.5898,29.1677,-98.5898.29.1677,12.6394,52
113,-98.5798,29.1677,-98.5798.29.1677,12.6394,52
114,-98.5698,29.1677,-98.5698.29.1677,12.6394,31
115,-98.7998,29.1577,-98.7998.29.1577,12.193,81
118,-98.7698,29.1577,-98.7698.29.1577,12.193,52
119,-98.7598,29.1577,-98.7598.29.1577,11.7074,81
120,-98.7498,29.1577,-98.7498.29.1577,12.3208,90
121,-98.7398,29.1577,-98.7398.29.1577,12.8062,52
122,-98.7298,29.1577,-98.7298.29.1577,12.6922,81
124,-98.7098,29.1577,-98.7098.29.1577,12.6922,52
125,-98.6998,29.1577,-98.6998.29.1577,12.6922,52
126,-98.6898,29.1577,-98.6898.29.1577,12.42,81
130,-98.6498,29.1577,-98.6498.29.1577,12.42,52
131,-98.6398,29.1577,-98.6398.29.1577,11.993,71
132,-98.6298,29.1577,-98.6298.29.1577,11.993,52
135,-98.5998,29.1577,-98.5998.29.1577,12.6392,81
136,-98.5898,29.1577,-98.5898.29.1577,12.6392,31
137,-98.5798,29.1577,-98.5798.29.1577,12.6392,71
