id, lon, lat
1,29.16274,-98.75479
2,29.16274,-98.65479
3,29.16274,-98.55479
4,29.06274,-98.75479
5,29.06274,-98.65479
6,29.06274,-98.55479
7,29.06274,-98.45479
8,28.96275,-98.75479
9,28.96275,-98.65479
10,28.96275,-98.55479
11,28.96275,-98.45479
12,28.96275,-98.35479
13,28.86275,-98.75479
14,28.86275,-98.65479
15,28.86275,-98.55479
16,28.86275,-98.45479
17,28.86275,-98.35479
18,28.86275,-98.25479
19,28.76274,-98.75479
20,28.76274,-98.65479
21,28.76274,-98.55479
22,28.76274,-98.45479
23,28.76274,-98.35479
24,28.76274,-98.25479
25,28.76274,-98.15479
26,28.66274,-98.75479
27,28.66274,-98.65479
28,28.66274,-98.55479
29,28.66274,-98.45479
30,28.66274,-98.35479
31,29.32235,-98.20511
32,29.32235,-98.12511
33,29.32235,-98.04511
34,29.32235,-97.96511
35,29.32235,-97.88511
36,29.24235,-98.28511
37,29.24235,-98.20511
38,29.24235,-98.12511
39,29.24235,-98.04511
40,29.24235,-97.96511
41,29.24235,-97.88511
42,29.24235,-97.80511
43,29.16235,-98.36511
44,29.16235,-98.28511
45,29.16235,-98.20511
46,29.16235,-98.12511
47,29.16235,-98.04511
48,29.16235,-97.96511
49,29.16235,-97.88511
50,29.08235,-98.36511
51,29.08235,-98.28511
52,29.08235,-98.20511
53,29.08235,-98.04511
54,29.08235,-97.96511
55,29.00235,-98.28511
56,29.00235,-98.20511
57,29.00235,-98.12511
58,29.00235,-98.04511
59,28.92235,-98.20511
