VARIABLE, PARCEL, DEPOT, PLANT, VALUE
TC,,,,35814606.83
D,,31,,1
D,,36,,1
D,,52,,1
X,1,31,,690.58
X,2,31,,1064.64
X,71,52,,1090.7
X,72,36,,1090.7
X,73,36,,1070.18
X,74,52,,1135.4
X,75,31,,1153.32
X,76,52,,1132.46
X,77,31,,1132.46
X,142,31,,1089.24
X,214,52,,1039.72
X,215,31,,1084.74
X,216,31,,1080.3
X,217,52,,1075.54
X,218,31,,1008.7
X,219,52,,1039.72
X,220,52,,1039.72
X,221,31,,1080.3
X,222,31,,1042.94
X,223,52,,1074.12
X,224,36,,1074.12
X,280,31,,1083.18
X,281,31,,1083.18
X,282,31,,1083.18
X,283,36,,1083.18
X,284,52,,1083.18
X,285,31,,1083.18
X,286,52,,1046.46
X,287,36,,1093.78
X,288,31,,1089.2
X,289,52,,1080
X,290,36,,1080.28
X,291,31,,1084.7
X,293,52,,1084.7
X,294,31,,1084.7
X,352,36,,1020.44
X,353,31,,1050.78
X,354,52,,1011.46
X,355,31,,1035.98
X,356,52,,1011.46
X,357,36,,1050.78
X,358,31,,1011.46
X,359,52,,1056.1
X,360,36,,1083.1
X,361,31,,1083.1
X,363,36,,1079.92
X,364,36,,1046.46
X,367,52,,1083.1
X,371,36,,1093.52
X,422,52,,1039.58
X,423,31,,1039.58
X,424,36,,1080.24
X,425,31,,1080.4
X,426,52,,1106.22
X,427,31,,1084.38
X,437,52,,1056.24
X,480,31,,1076.96
X,482,31,,1035.94
X,484,31,,1056.06
X,485,31,,1056.06
X,493,36,,1093.5
X,494,52,,1093.5
X,495,36,,1083.08
X,496,52,,1046.42
X,497,36,,1039.56
X,498,31,,1084.64
X,499,52,,1080.42
X,500,52,,1084.64
X,501,31,,1080.22
X,502,31,,1084.64
X,503,52,,1039.56
X,504,36,,1138.44
X,505,31,,1055.9
X,506,31,,1090.26
X,510,52,,1085.06
X,511,52,,1056.68
X,512,52,,1056.68
X,513,52,,1056.68
X,569,52,,1016
X,570,36,,1054.08
X,571,31,,1064.34
X,572,52,,1064.34
X,573,52,,1022.68
X,574,31,,1011.42
X,575,31,,1093.5
X,576,31,,1089.16
X,578,52,,1046.42
X,581,36,,1087.44
X,582,36,,1079.86
X,631,36,,1016.7
X,632,36,,1003.76
X,633,52,,1016.7
X,634,36,,1011.6
X,635,31,,1062.7
X,636,52,,1071.58
X,637,31,,1026.62
X,638,31,,1071.58
X,639,52,,1011.28
X,640,36,,992.88
X,641,31,,990.4
X,642,52,,990.4
X,643,36,,1015.34
X,644,31,,1031.22
X,645,31,,1098.7
X,646,31,,1144.96
X,647,52,,1098.38
X,648,52,,1098.38
X,649,52,,1098.38
X,650,36,,1207.88
X,651,36,,1098.38
X,701,31,,1098.34
X,713,36,,507.3
X,716,52,,1016.36
X,717,52,,1010.54
X,718,52,,989.74
X,719,36,,962.14
X,720,36,,1000.82
X,721,31,,975.58
X,722,36,,975.58
X,723,31,,1011.98
X,724,36,,1081.06
X,725,52,,1003.76
X,773,52,,1003.74
X,774,31,,1011.52
X,775,52,,1003.74
X,776,36,,1071.58
X,778,52,,1066.68
X,779,36,,1026.64
X,780,31,,1039.54
X,782,52,,999.6
X,783,31,,990.34
X,784,31,,1060.24
X,786,52,,1144.92
X,788,52,,1128.84
X,789,52,,1145.36
X,792,36,,1128.84
X,831,36,,1159.34
X,832,52,,1145.34
X,833,31,,1145.34
X,834,31,,1128.82
X,835,52,,1144.8
X,837,36,,1207.82
X,849,36,,1008.76
X,850,36,,1011.9
X,852,52,,1011.9
X,853,36,,1000.82
X,854,36,,1000.82
X,855,31,,962.08
X,858,52,,1000.82
X,859,52,,1011.9
X,860,52,,996.76
X,861,52,,1044.92
X,862,52,,1031.18
X,863,52,,1031.18
X,864,52,,1062.28
X,865,52,,1015.28
X,869,31,,1071.62
X,870,31,,1022.38
X,871,36,,1076.78
X,872,36,,1123.4
X,873,36,,1060.24
X,874,36,,1145.66
X,875,36,,1144.8
X,876,31,,1142.38
X,919,31,,1062.52
X,920,36,,1090.58
X,921,52,,1098.64
X,922,36,,1145.66
X,923,36,,1146.48
X,924,31,,1145.2
X,925,31,,1145.52
X,926,52,,1098.3
X,927,52,,1089.12
X,928,52,,1075.04
X,929,52,,1128.8
X,930,36,,1098.3
X,931,36,,1128.76
X,983,36,,1169.5
X,997,52,,566.5
X,998,52,,566.2
X,1000,36,,495.2
X,1001,36,,937.86
X,1002,36,,937.86
X,1003,36,,1000.82
X,1004,52,,1000.82
X,1005,52,,1089.3
X,1006,52,,1084.3
X,1010,31,,1030.06
X,1011,31,,996.76
X,1012,31,,1088.1
X,1013,36,,1084.72
X,1014,31,,1039.14
X,1057,52,,1000.8
X,1059,31,,1029.92
X,1061,36,,982.88
X,1062,31,,1000.8
X,1063,31,,1088.06
X,1065,52,,1088.06
X,1066,52,,1084.72
X,1067,52,,1084.72
X,1068,36,,1039.12
X,1069,36,,1059.14
