VARIABLE, PARCEL, DEPOT, PLANT, VALUE,
TC,,,, 3.565524770742729e7,
D,,31,,1,
D,,36,,1,
D,,44,,1,
D,,52,,1,
X,1,31,,690.5800,
X,2,31,,1064.6400,
X,71,44,,1090.7000,
X,72,36,,1090.7000,
X,73,36,,1070.1800,
X,74,52,,1135.4000,
X,75,31,,1153.3200,
X,76,52,,1132.4600,
X,77,31,,1132.4600,
X,141,44,,1106.9800,
X,142,31,,1089.2400,
X,212,44,,1083.2400,
X,213,44,,1084.7400,
X,214,52,,1039.7200,
X,215,31,,1084.7400,
X,216,31,,1080.3000,
X,217,44,,1075.5400,
X,218,31,,1008.7000,
X,219,52,,1039.7200,
X,220,44,,1039.7200,
X,221,31,,1080.3000,
X,222,31,,1042.9400,
X,224,36,,1074.1200,
X,280,44,,1083.1800,
X,281,31,,1083.1800,
X,282,31,,1083.1800,
X,283,36,,1083.1800,
X,284,52,,1083.1800,
X,285,31,,1083.1800,
X,286,52,,1046.4600,
X,287,36,,1093.7800,
X,288,31,,1089.2000,
X,289,52,,1080.0000,
X,290,36,,1080.2800,
X,291,31,,1084.7000,
X,293,52,,1084.7000,
X,294,31,,1084.7000,
X,352,36,,1020.4400,
X,353,31,,1050.7800,
X,354,52,,1011.4600,
X,355,31,,1035.9800,
X,356,52,,1011.4600,
X,357,36,,1050.7800,
X,358,31,,1011.4600,
X,359,52,,1056.1000,
X,360,36,,1083.1000,
X,361,31,,1083.1000,
X,363,44,,1079.9200,
X,364,36,,1046.4600,
X,367,52,,1083.1000,
X,369,44,,1079.9200,
X,421,44,,1084.6800,
X,422,52,,1039.5800,
X,423,31,,1039.5800,
X,424,44,,1080.2400,
X,425,31,,1080.4000,
X,426,52,,1106.2200,
X,427,36,,1084.3800,
X,480,31,,1076.9600,
X,482,31,,1035.9400,
X,493,36,,1093.5000,
X,494,52,,1093.5000,
X,495,36,,1083.0800,
X,496,52,,1046.4200,
X,497,36,,1039.5600,
X,498,31,,1084.6400,
X,499,52,,1080.4200,
X,500,44,,1084.6400,
X,501,31,,1080.2200,
X,502,31,,1084.6400,
X,503,52,,1039.5600,
X,504,36,,1138.4400,
X,505,31,,1055.9000,
X,506,31,,1090.2600,
X,510,52,,1085.0600,
X,511,52,,1056.6800,
X,512,52,,1056.6800,
X,513,52,,1056.6800,
X,569,52,,1016.0000,
X,570,36,,1054.0800,
X,571,31,,1064.3400,
X,572,52,,1064.3400,
X,573,44,,1022.6800,
X,574,31,,1011.4200,
X,575,31,,1093.5000,
X,576,31,,1089.1600,
X,578,52,,1046.4200,
X,579,44,,1086.2200,
X,580,44,,1083.1000,
X,581,36,,1087.4400,
X,582,36,,1079.8600,
X,583,44,,1093.5000,
