VARIABLE, PARCEL, DEPOT, PLANT, VALUE
TC,,,,5.65E+07
D,,7,,1
D,,31,,1
D,,36,,1
D,,44,,1
D,,52,,1
D,,58,,1
X,1,31,,690.58
X,2,31,,1064.64
X,5,36,,1012.32
X,70,58,,1135.16
X,71,44,,1090.7
X,72,36,,1090.7
X,73,36,,1070.18
X,74,52,,1135.4
X,75,31,,1153.32
X,76,7,,1132.46
X,77,31,,1132.46
X,79,44,,1112.94
X,80,36,,1112.94
X,141,44,,1106.98
X,142,31,,1089.24
X,210,44,,1046.52
X,211,36,,1093.6
X,212,44,,1083.24
X,213,44,,1084.74
X,214,52,,1039.72
X,215,31,,1084.74
X,216,58,,1080.3
X,217,44,,1075.54
X,218,31,,1008.7
X,219,7,,1039.72
X,220,44,,1039.72
X,221,36,,1080.3
X,222,31,,1042.94
X,223,7,,1074.12
X,224,36,,1074.12
X,225,31,,1074.12
X,280,44,,1083.18
X,281,31,,1083.18
X,282,31,,1083.18
X,283,36,,1083.18
X,284,52,,1083.18
X,285,31,,1083.18
X,286,52,,1046.46
X,287,36,,1093.78
X,288,31,,1089.2
X,289,7,,1080
X,290,36,,1080.28
X,291,31,,1084.7
X,292,58,,1080.28
X,293,7,,1084.7
X,294,31,,1084.7
X,295,31,,1039.68
X,300,36,,1039.68
X,352,36,,1020.44
X,353,31,,1050.78
X,354,52,,1011.46
X,355,31,,1035.98
X,356,52,,1011.46
X,357,36,,1050.78
X,358,31,,1011.46
X,359,7,,1056.1
X,360,36,,1083.1
X,361,31,,1083.1
X,362,7,,1083.1
X,363,44,,1079.92
X,364,36,,1046.46
X,366,7,,1083.1
X,367,52,,1083.1
X,368,44,,1069.2
X,369,44,,1079.92
X,370,36,,1079.92
X,371,36,,1093.52
X,421,44,,1084.68
X,422,52,,1039.58
X,423,31,,1039.58
X,424,44,,1080.24
X,425,31,,1080.4
X,426,52,,1106.22
X,427,36,,1084.38
X,439,36,,1050.82
X,480,31,,1076.96
X,482,31,,1035.94
X,484,31,,1056.06
X,485,31,,1056.06
X,493,36,,1093.5
