VARIABLE, PARCEL, DEPOT, VALUE,LON,LAT
D,0,7,0,-98.45479,29.0627
D,0,31,0,-98.20511,29.3224
D,0,36,0,-98.28511,29.2424
D,0,44,0,-98.28511,29.1624
D,0,52,0,-98.20511,29.0824
D,0,58,0,-98.04511,29.0024
X,1,31,690.58,-98.7698,29.2377
X,2,31,1064.64,-98.7798,29.2277
X,5,36,1012.32,-98.7898,29.2177
X,70,58,1135.16,-98.5698,29.1677
X,71,44,1090.7,-98.7998,29.1577
X,72,36,1090.7,-98.7698,29.1577
X,73,36,1070.18,-98.7598,29.1577
X,74,52,1135.4,-98.7498,29.1577
X,75,31,1153.32,-98.7398,29.1577
X,76,7,1132.46,-98.7298,29.1577
X,77,31,1132.46,-98.7098,29.1577
X,79,44,1112.94,-98.6898,29.1577
X,80,36,1112.94,-98.6498,29.1577
X,141,44,1106.98,-98.6198,29.1177
X,142,31,1089.24,-98.6098,29.1177
X,210,44,1046.52,-98.5298,29.0977
X,211,36,1093.6,-98.5198,29.0977
X,212,44,1083.24,-98.5098,29.0977
X,213,44,1084.74,-98.4998,29.0977
X,214,52,1039.72,-98.4898,29.0977
X,215,31,1084.74,-98.4798,29.0977
X,216,58,1080.3,-98.4698,29.0977
X,217,44,1075.54,-98.4498,29.0977
X,218,31,1008.7,-98.4398,29.0977
X,219,7,1039.72,-98.4298,29.0977
X,220,44,1039.72,-98.4198,29.0977
X,221,36,1080.3,-98.4098,29.0977
X,222,31,1042.94,-98.3998,29.0977
X,223,7,1074.12,-98.7998,29.0877
X,224,36,1074.12,-98.7898,29.0877
X,225,31,1074.12,-98.7798,29.0877
X,280,44,1083.18,-98.6098,29.0777
X,281,31,1083.18,-98.5998,29.0777
X,282,31,1083.18,-98.5898,29.0777
X,283,36,1083.18,-98.5798,29.0777
X,284,52,1083.18,-98.5698,29.0777
X,285,31,1083.18,-98.5598,29.0777
X,286,52,1046.46,-98.5498,29.0777
X,287,36,1093.78,-98.5398,29.0777
X,288,31,1089.2,-98.5298,29.0777
X,289,7,1080,-98.5098,29.0777
X,290,36,1080.28,-98.4998,29.0777
X,291,31,1084.7,-98.4898,29.0777
X,292,58,1080.28,-98.4798,29.0777
X,293,7,1084.7,-98.4698,29.0777
X,294,31,1084.7,-98.4598,29.0777
