index,RunID, LON, LAT,tag,Coord_ID,YIELD,land cover,county,p
1,5,-98.7698,29.2377,-98.7698.29.2377,5,6.9058,52,ATASCOSA,1
2,8,-98.7798,29.2277,-98.7798.29.2277,8,10.6464,82,ATASCOSA,1
3,12,-98.7398,29.2277,-98.7398.29.2277,12,11.0768,81,ATASCOSA,1
4,13,-98.7998,29.2177,-98.7998.29.2177,13,10.5058,52,ATASCOSA,1
5,14,-98.7898,29.2177,-98.7898.29.2177,14,10.1232,82,ATASCOSA,1
6,15,-98.7798,29.2177,-98.7798.29.2177,15,10.2236,81,ATASCOSA,1
7,16,-98.7698,29.2177,-98.7698.29.2177,16,10.1232,82,ATASCOSA,1
8,17,-98.7598,29.2177,-98.7598.29.2177,17,10.646,82,ATASCOSA,1
9,18,-98.7498,29.2177,-98.7498.29.2177,18,11.2854,82,ATASCOSA,1
10,19,-98.7398,29.2177,-98.7398.29.2177,19,11.0764,52,ATASCOSA,1
11,20,-98.7298,29.2177,-98.7298.29.2177,20,10.6036,52,ATASCOSA,1
12,24,-98.7898,29.2077,-98.7898.29.2077,24,10.38,52,ATASCOSA,1
13,25,-98.7798,29.2077,-98.7798.29.2077,25,10.506,90,ATASCOSA,1
14,26,-98.7698,29.2077,-98.7698.29.2077,26,10.224,90,ATASCOSA,1
15,27,-98.7598,29.2077,-98.7598.29.2077,27,10.6462,82,ATASCOSA,1
16,28,-98.7498,29.2077,-98.7498.29.2077,28,11.2854,82,ATASCOSA,1
17,29,-98.7398,29.2077,-98.7398.29.2077,29,10.6614,82,ATASCOSA,1
18,30,-98.7298,29.2077,-98.7298.29.2077,30,11.0758,82,ATASCOSA,1
19,31,-98.7198,29.2077,-98.7198.29.2077,31,10.943,52,ATASCOSA,1
20,33,-98.6998,29.2077,-98.6998.29.2077,33,11.3254,52,ATASCOSA,1
21,34,-98.6898,29.2077,-98.6898.29.2077,34,11.164,81,ATASCOSA,1
22,35,-98.6798,29.2077,-98.6798.29.2077,35,11.1474,81,ATASCOSA,1
23,36,-98.7998,29.1977,-98.7998.29.1977,36,10.2234,52,ATASCOSA,1
24,37,-98.7898,29.1977,-98.7898.29.1977,37,10.5054,82,ATASCOSA,1
25,38,-98.7798,29.1977,-98.7798.29.1977,38,10.6456,82,ATASCOSA,1
26,39,-98.7698,29.1977,-98.7698.29.1977,39,10.6456,81,ATASCOSA,1
27,40,-98.7598,29.1977,-98.7598.29.1977,40,10.2234,82,ATASCOSA,1
28,41,-98.7498,29.1977,-98.7498.29.1977,41,11.285,81,ATASCOSA,1
29,42,-98.7398,29.1977,-98.7398.29.1977,42,11.076,81,ATASCOSA,1
30,43,-98.7298,29.1977,-98.7298.29.1977,43,11.076,52,ATASCOSA,1
31,44,-98.7198,29.1977,-98.7198.29.1977,44,11.1634,81,ATASCOSA,1
32,45,-98.7098,29.1977,-98.7098.29.1977,45,10.6612,90,ATASCOSA,1
33,46,-98.6998,29.1977,-98.6998.29.1977,46,11.1996,52,ATASCOSA,1
34,49,-98.6698,29.1977,-98.6698.29.1977,49,11.076,52,ATASCOSA,1
35,50,-98.6598,29.1977,-98.6598.29.1977,50,10.8722,52,ATASCOSA,1
36,51,-98.6498,29.1977,-98.6498.29.1977,51,10.8722,81,ATASCOSA,1
37,52,-98.7998,29.1877,-98.7998.29.1877,52,10.7016,81,ATASCOSA,1
38,53,-98.7898,29.1877,-98.7898.29.1877,53,10.2236,71,ATASCOSA,1
39,54,-98.7798,29.1877,-98.7798.29.1877,54,10.6454,52,ATASCOSA,1
40,55,-98.7698,29.1877,-98.7698.29.1877,55,10.7358,82,ATASCOSA,1
41,56,-98.7598,29.1877,-98.7598.29.1877,56,10.6454,81,ATASCOSA,1
42,57,-98.7498,29.1877,-98.7498.29.1877,57,11.3538,81,ATASCOSA,1
43,58,-98.7398,29.1877,-98.7398.29.1877,58,11.3538,52,ATASCOSA,1
44,59,-98.7298,29.1877,-98.7298.29.1877,59,11.1636,52,ATASCOSA,1
45,61,-98.7098,29.1877,-98.7098.29.1877,61,11.3252,52,ATASCOSA,1
46,65,-98.6698,29.1877,-98.6698.29.1877,65,10.8718,82,ATASCOSA,1
47,66,-98.6598,29.1877,-98.6598.29.1877,66,10.9516,81,ATASCOSA,1
48,69,-98.6298,29.1877,-98.6298.29.1877,69,11.1298,81,ATASCOSA,1
49,70,-98.7998,29.1777,-98.7998.29.1777,70,10.907,81,ATASCOSA,1
50,71,-98.7898,29.1777,-98.7898.29.1777,71,10.907,52,ATASCOSA,1
51,72,-98.7798,29.1777,-98.7798.29.1777,72,10.907,52,ATASCOSA,1
52,74,-98.7598,29.1777,-98.7598.29.1777,74,10.7016,81,ATASCOSA,1
