index,parcels,plants,distance
1,5,1,50.7105
2,8,1,52.8821
3,12,1,50.7265
4,13,1,53.9648
5,14,1,54.0813
6,15,1,58.4046
7,16,1,58.0054
8,17,1,52.2536
9,18,1,51.2085
10,19,1,52.3926
11,20,1,53.3776
12,24,1,55.2021
13,25,1,56.1368
14,26,1,57.0563
15,27,1,54.0822
16,28,1,52.853
17,29,1,54.6291
18,30,1,54.5542
19,31,1,54.9794
20,33,1,51.0845
21,34,1,51.4056
22,35,1,49.779
23,36,1,56.5953
24,37,1,56.7224
25,38,1,57.2106
26,39,1,57.8817
27,40,1,55.1433
28,41,1,54.06
29,42,1,55.8432
30,43,1,56.0572
31,44,1,56.5452
32,45,1,54.293
33,46,1,53.4881
34,49,1,48.9382
35,50,1,49.6238
36,51,1,47.2524
37,52,1,57.4567
38,53,1,57.8776
39,54,1,58.4798
40,55,1,59.0006
41,56,1,60.0358
42,57,1,55.8758
43,58,1,57.458
44,59,1,57.5477
45,61,1,54.9096
46,65,1,50.2784
47,66,1,50.7362
48,69,1,45.7271
49,70,1,59.048
50,71,1,58.0281
51,72,1,59.6077
52,74,1,60.3732
53,75,1,57.2233
54,76,1,58.6336
55,77,1,58.4231
56,86,1,48.6662
57,88,1,50.3076
58,91,1,59.2342
59,92,1,58.0281
60,93,1,60.2408
61,94,1,60.2408
62,95,1,58.8227
63,96,1,58.4402
64,107,1,49.9174
65,108,1,50.0561
66,110,1,47.15
67,111,1,45.7742
68,112,1,44.6372
69,113,1,46.867
70,114,1,49.6214
71,115,1,65.0154
72,118,1,64.1389
73,119,1,64.1389
74,120,1,64.0091
75,121,1,62.1916
76,122,1,60.9594
77,124,1,61.9987
78,125,1,56.9081
79,126,1,56.4127
80,130,1,51.9425
81,131,1,52.223
82,132,1,51.7534
83,135,1,46.3855
84,136,1,45.5354
85,137,1,48.7327
86,138,1,48.4408
87,139,1,49.4458
88,146,1,64.1389
89,147,1,63.8468
90,148,1,62.7564
91,149,1,62.5608
92,150,1,62.8568
93,154,1,57.2662
94,156,1,55.9059
95,161,1,48.812
96,163,1,46.6738
97,164,1,47.3223
98,166,1,49.4001
99,167,1,50.0746
100,168,1,38.3919
101,169,1,37.7127
102,176,1,63.8828
103,177,1,64.3094
104,178,1,64.1897
105,179,1,63.7354
106,184,1,57.5784
107,190,1,53.3291
108,191,1,49.6246
109,192,1,48.5418
110,193,1,47.7589
111,194,1,49.2093
112,195,1,51.9635
113,196,1,52.0459
114,199,1,42.9543
115,203,1,34.6889
116,204,1,34.0351
117,215,1,60.114
118,219,1,62.315
119,220,1,62.2122
120,224,1,50.1024
121,225,1,49.1562
122,226,1,48.8916
123,227,1,50.2043
124,228,1,50.9624
125,230,1,46.1126
126,231,1,46.2388
127,233,1,42.176
128,235,1,39.9645
129,236,1,36.294
130,238,1,32.2857
131,239,1,31.28
132,240,1,31.8876
133,241,1,76.8745
134,249,1,61.8914
135,250,1,61.8914
136,251,1,61.1623
137,253,1,59.8719
138,254,1,60.7822
139,255,1,61.6396
140,257,1,56.1902
141,259,1,53.9726
142,260,1,51.0626
143,261,1,50.4649
144,262,1,50.0069
145,263,1,50.5761
146,264,1,52.3416
147,266,1,45.182
148,267,1,44.5917
149,268,1,42.7556
150,269,1,40.5172
151,270,1,39.883
152,271,1,38.8086
153,273,1,37.023
154,274,1,37.8696
155,275,1,38.9284
156,276,1,31.2676
157,277,1,31.1321
158,278,1,29.8477
159,279,1,35.278
160,280,1,77.4102
161,281,1,78.5307
162,285,1,71.744
163,289,1,64.6338
164,290,1,62.3201
165,291,1,62.0613
166,292,1,60.9886
167,293,1,63.7854
168,294,1,63.4098
169,295,1,63.6598
170,296,1,55.6298
171,297,1,55.3492
172,298,1,56.6006
173,302,1,54.2255
174,303,1,53.731
175,304,1,53.9507
176,305,1,44.259
177,306,1,43.8035
178,307,1,42.6849
179,308,1,41.5166
180,309,1,41.2779
181,310,1,41.212
182,311,1,38.5365
183,312,1,36.9169
184,313,1,35.4516
185,314,1,34.3162
186,315,1,33.057
187,316,1,32.8617
188,317,1,30.9916
189,318,1,32.4165
190,319,1,33.2197
191,321,1,79.7546
192,322,1,80.3104
193,324,1,82.4202
194,325,1,83.3952
195,326,1,71.744
196,329,1,67.4007
197,330,1,64.6338
198,332,1,62.1747
199,333,1,63.9002
200,334,1,66.864
201,336,1,61.2763
202,337,1,56.4374
203,338,1,56.0456
204,339,1,54.4994
205,340,1,52.9135
206,342,1,56.5779
207,343,1,57.1699
208,344,1,46.8487
209,345,1,45.7333
210,347,1,50.5945
211,348,1,49.168
212,349,1,41.1977
213,350,1,40.0592
214,351,1,39.317
215,352,1,39.6574
216,353,1,35.5296
217,355,1,33.4324
218,356,1,32.8828
219,357,1,32.0823
220,358,1,33.3508
221,359,1,33.8129
222,360,1,35.6346
223,361,1,79.2339
224,362,1,80.2086
225,363,1,81.1394
226,364,1,81.628
227,365,1,82.4897
228,366,1,83.7283
229,367,1,70.8162
230,368,1,71.0622
231,369,1,68.2101
232,370,1,66.8926
233,371,1,66.0341
234,372,1,63.9206
235,373,1,63.1272
236,374,1,65.5526
237,375,1,64.692
238,376,1,64.3431
239,377,1,61.2653
240,378,1,59.3959
241,379,1,56.2156
242,380,1,55.7244
243,381,1,53.6312
244,382,1,53.7899
245,383,1,55.6186
246,384,1,57.2283
247,385,1,51.6447
248,386,1,50.2529
249,387,1,49.8064
250,388,1,50.2671
251,389,1,47.909
252,390,1,46.9078
253,391,1,44.3925
254,392,1,43.894
255,394,1,42.4762
256,395,1,35.0907
257,396,1,34.8712
258,398,1,33.2029
259,399,1,36.3209
260,400,1,37.294
261,401,1,37.4455
262,402,1,38.8013
263,403,1,84.2674
264,404,1,81.3165
265,405,1,85.8731
266,406,1,84.2014
267,408,1,84.214
268,409,1,70.4103
269,410,1,69.256
270,411,1,68.7627
271,412,1,67.1319
272,413,1,65.5419
273,414,1,64.563
274,415,1,64.5345
275,416,1,64.9712
276,418,1,63.2919
277,419,1,62.5526
278,420,1,61.7904
279,421,1,58.3824
280,422,1,57.1566
281,423,1,55.1278
282,424,1,54.5427
283,425,1,55.2654
284,426,1,52.8295
285,427,1,51.6856
286,428,1,50.8866
287,429,1,48.1945
288,430,1,47.32
289,432,1,45.5175
290,433,1,45.0347
291,434,1,42.4022
292,435,1,41.3437
293,436,1,42.4762
294,437,1,36.9491
295,438,1,35.7681
296,439,1,35.5933
297,440,1,34.317
298,441,1,35.867
299,442,1,38.5327
300,443,1,38.2352
301,444,1,38.0484
302,445,1,38.4254
303,447,1,84.5228
304,448,1,85.5344
305,449,1,88.5754
306,450,1,89.4637
307,451,1,89.356
308,452,1,70.6142
309,453,1,69.9722
310,454,1,68.808
311,456,1,66.0549
312,457,1,67.2773
313,458,1,69.3056
314,459,1,65.8105
315,460,1,65.336
316,461,1,64.0351
317,462,1,62.3604
318,463,1,61.0531
319,464,1,60.2119
320,465,1,58.0208
321,466,1,56.9675
322,467,1,55.7609
323,468,1,56.3683
324,469,1,52.2322
325,470,1,51.5966
326,471,1,49.0169
327,472,1,48.2609
328,473,1,48.8805
329,474,1,46.0047
330,475,1,44.9877
331,476,1,43.978
332,477,1,43.0299
333,479,1,42.6261
334,480,1,41.5792
335,481,1,42.7989
336,482,1,36.2554
